dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
MNIST,tt_type1,3,2,2,96.29,2815,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:13:03.440083
MNIST,tt_standard,3,2,2,93.66,1336,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:14:04.445915
MNIST,tt_type1,4,2,2,96.51,4379,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:16:15.051745
MNIST,tt_standard,4,2,2,92.81,1604,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:17:33.554757
MNIST,tt_type1,5,2,2,93.98,6203,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:19:24.708114
MNIST,tt_standard,5,2,2,94.57,1872,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T14:21:00.831663
MNIST,tt_type1,3,2,2,95.88,2815,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:22:37.738869
MNIST,tt_standard,3,2,2,93.21,1336,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:23:34.792771
MNIST,tt_type1,4,2,2,96.38,4379,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:25:44.246389
MNIST,tt_standard,4,2,2,93.9,1604,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:27:00.741577
MNIST,tt_type1,5,2,2,96.28,6203,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:29:43.663702
MNIST,tt_standard,5,2,2,91.98,1872,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-17T14:31:19.593886
MNIST,tt_type1,3,2,2,96.05,2815,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-17T14:32:59.216086
