samples, features, name
6600000, 22 higgs
377657, 54 covtype
325000, 136 microsoft
334974, 90 year
70200, 128 aloi
63732, 28 higgs_small
54426, 54 jannis
42376, 27 helena
40220, 93 otto
27126, 52 bank
21625, 100 wecperth49
14809, 16 house
13416, 8 california_housing
11841, 29 energyprediction
11412, 11 gammatelescope
10778, 100 wecsid49
8166, 17 drybean
7107, 26 eye
6417, 32 gesture
5740, 5 powerplant
4366, 202 wecperth100
3898, 12 winec
2506, 11 abaloner
2506, 9 abalonec
1390, 202 wecsid100
618, 9 concrete
310, 30 forest
90, 5 iris
