model_type,rank,N,CB,num_parameters,avg_test_accuracy,std_test_accuracy,num_experiments,num_seeds
MPO_type_I,8,4,8,25475,88.3525,0.2405,4,4
MPO_type_I,8,4,12,29699,88.0375,0.4774,4,4
MPO_type_I,16,3,8,30227,88.425,0.133,4,4
MPO_type_I,16,4,8,65459,86.0525,4.53,4,4
MPO_type_I,16,4,12,69683,88.26,,1,1
MPO_type_I,18,3,8,35519,88.275,0.0778,2,2
MPO_type_I,18,3,12,37055,88.22,0.0283,2,2
MPO_type_I,18,4,8,78395,84.2,5.1477,2,2
MPO_type_I,18,4,12,82619,88.105,0.4172,2,2
MPO_type_I,22,3,8,47279,88.43,,1,1
MPO_type_I,22,3,12,48815,88.295,0.2616,2,2
MPO_type_I,22,4,8,107795,82.67,2.8001,2,2
MPO_type_I,22,4,12,112019,87.81,,1,1
MPO_type_II,8,3,12,10056,86.85,0.1903,4,4
MPO_type_II,8,4,8,12848,75.5975,23.3538,4,4
MPO_type_II,8,4,12,15704,86.5775,0.5011,4,4
MPO_type_II,16,3,8,22160,78.675,13.9742,4,4
MPO_type_II,16,4,8,36048,78.165,17.5034,4,4
MPO_type_II,18,3,8,26560,85.99,2.5314,2,2
MPO_type_II,18,3,12,28056,76.31,15.8392,2,2
MPO_type_II,18,4,8,43848,70.255,23.978,2,2
MPO_type_II,18,4,12,46704,87.23,0.1556,2,2
MPO_type_II,22,3,8,36560,66.235,15.4361,2,2
MPO_type_II,22,3,12,38056,78.785,12.8057,2,2
MPO_type_II,22,4,8,61848,78.955,11.8723,2,2
MPO_type_II,22,4,12,64704,76.775,15.026,2,2
