model,d,data_degree,seed,r2,rmse,degree,time,params,rank
tt,1,1,42,-7.192613317275671e+30,3.5730149408915546,1,0.07206487655639648,8,4
tt,1,1,42,-7.450355757970586e+30,3.6364697677507674,1,0.06767845153808594,16,8
tt,1,1,42,-6.357498138479262e+30,3.3591902159655547,1,0.07325911521911621,48,24
poly,1,1,42,0.9235555555555556,3.683531942280588e-16,9,0.03805351257324219,10,-1
tt,1,1,43,0.999999999845313,1.2413480471920302e-12,1,0.07704448699951172,8,4
tt,1,1,43,0.9999999999613903,6.201755903888688e-13,1,0.07809305191040039,16,8
tt,1,1,43,0.9999999999957153,2.0659918560638777e-13,1,0.08551025390625,48,24
poly,1,1,43,1.0,7.499143576176367e-18,1,0.008495807647705078,2,-1
tt,1,1,44,1.0,4.121728042207811e-16,1,0.07736372947692871,8,4
tt,1,1,44,1.0,3.04648533933538e-16,1,0.08503246307373047,16,8
tt,1,1,44,1.0,4.5520755467341893e-17,1,0.08564615249633789,48,24
poly,1,1,44,1.0,2.7165972228610136e-20,1,0.008601188659667969,2,-1
tt,1,1,45,1.0,1.681143210906948e-14,1,0.0771031379699707,8,4
tt,1,1,45,1.0,8.396414255498434e-15,1,0.0774075984954834,16,8
tt,1,1,45,1.0,2.852890460111688e-15,1,0.0853874683380127,48,24
poly,1,1,45,1.0,2.1915263627927614e-18,2,0.009890079498291016,3,-1
tt,1,1,46,1.0,1.2096826198040854e-16,1,0.0813288688659668,8,4
tt,1,1,46,1.0,8.001572538927533e-18,2,0.092437744140625,144,8
tt,1,1,46,1.0,5.189098305645251e-19,3,0.11200213432312012,2352,24
poly,1,1,46,1.0,1.609919761856218e-22,7,0.017453670501708984,8,-1
tt,1,1,47,1.0,1.708868874701166e-11,1,0.0787210464477539,8,4
tt,1,1,47,1.0,8.546988639673292e-12,1,0.07837581634521484,16,8
tt,1,1,47,1.0,2.8547170316935565e-12,1,0.08461713790893555,48,24
poly,1,1,47,1.0,2.4924445086331347e-16,2,0.009782552719116211,3,-1
tt,1,1,48,1.0,4.648891969225602e-13,1,0.0787651538848877,8,4
tt,1,1,48,1.0,2.3237652365903474e-13,1,0.08221077919006348,16,8
tt,1,1,48,1.0,7.753322550283869e-14,1,0.08597135543823242,48,24
poly,1,1,48,1.0,1.387084717831917e-17,1,0.008674383163452148,2,-1
tt,1,1,49,1.0,5.360071450761839e-13,1,0.07745218276977539,8,4
tt,1,1,49,1.0,2.680311467378406e-13,1,0.07851076126098633,16,8
tt,1,1,49,1.0,8.972382187898725e-14,1,0.08610415458679199,48,24
poly,1,1,49,1.0,1.2146037779459697e-17,12,0.02260446548461914,13,-1
tt,1,1,50,1.0,7.997258099980448e-11,1,0.08250880241394043,8,4
tt,1,1,50,1.0,3.999529318595373e-11,1,0.07943606376647949,16,8
