dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
MNIST,tt_type1,3,2,2,96.29,2815,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-17T13:57:58.174319
FashionMNIST,tt_type1,4,12,8,88.44,43115,5,5.0,0.1,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:07:28.931271
FashionMNIST,tt_type1,4,6,12,87.66,22643,5,5.0,0.1,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:22:10.685339
FashionMNIST,tt_type1,4,8,12,88.29,29699,5,5.0,0.1,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:32:24.182541
FashionMNIST,tt_type1,4,10,12,88.0,37931,5,5.0,0.1,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:37:29.798535
FashionMNIST,tt_type1,4,10,12,88.0,37931,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T13:41:29.982348
FashionMNIST,tt_type1,5,8,8,88.18,42131,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T13:45:48.730726
FashionMNIST,tt_type1,5,12,8,88.36,73491,5,5.0,0.25,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T14:33:08.678788
FashionMNIST,tt_type1,5,12,8,87.43,73491,5,5.0,0.01,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T14:42:45.778414
FashionMNIST,tt_type1,6,6,6,85.98,39527,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T14:47:32.832102
FashionMNIST,tt_type1,3,16,8,88.32,30227,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T14:51:11.183717
FashionMNIST,tt_type1,3,12,9,88.4,21155,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T15:00:07.075379
FashionMNIST,tt_type1,3,10,10,87.78,17407,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T15:02:12.608278
FashionMNIST,tt_type1,3,10,11,87.48,17807,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T15:07:37.615054
FashionMNIST,tt,3,12,8,87.26,14560,5,5.0,0.1,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T15:24:15.173154
FashionMNIST,tt,3,14,4,86.83,17208,5,10.0,0.25,4,4,10,1e-06,1e-05,42,0.1,2025-09-19T15:31:21.633669
