model_type,rank,N,CB,num_parameters,avg_test_accuracy,std_test_accuracy,num_experiments,num_seeds
MPO_type_I,2,3,2,2815,96.084,0.1596,5,5
MPO_type_I,2,4,2,4379,96.688,0.2617,5,5
MPO_type_I,8,3,8,12979,97.688,0.074,5,5
MPO_type_I,8,3,12,14515,97.772,0.1038,5,5
MPO_type_I,8,4,8,25475,97.862,0.1741,5,5
MPO_type_I,8,4,12,29699,97.904,0.1128,5,5
MPO_type_I,16,3,8,30227,97.988,0.0719,5,5
MPO_type_I,16,4,8,65459,98.072,0.111,5,5
MPO_type_I,18,3,8,35519,98.084,0.0713,5,5
MPO_type_I,18,3,12,37055,97.966,0.2492,5,5
MPO_type_I,18,4,8,78395,98.136,0.1001,5,5
MPO_type_I,18,4,12,82619,98.128,0.1355,5,5
MPO_type_II,2,3,2,1336,93.358,0.2666,5,5
MPO_type_II,2,4,2,1604,93.498,0.4846,5,5
MPO_type_II,8,3,8,8560,97.256,0.1553,5,5
MPO_type_II,8,3,12,10056,97.174,0.2933,5,5
MPO_type_II,8,4,8,12848,97.132,0.2807,5,5
MPO_type_II,8,4,12,15704,97.266,0.3547,5,5
MPO_type_II,16,3,8,22160,97.628,0.1621,5,5
MPO_type_II,16,4,8,36048,97.61,0.2058,5,5
MPO_type_II,18,3,8,26560,97.61,0.2168,5,5
MPO_type_II,18,3,12,28056,97.762,0.1867,5,5
MPO_type_II,18,4,8,43848,97.706,0.1986,5,5
MPO_type_II,18,4,12,46704,97.4675,0.2988,4,4
