dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.178594974103521,0.52692856495927,,96,20,42,100,5.0,0.25,10,cpd
abalone,2,4,,2.18855493151847,0.5225931635774062,,96,23,43,100,5.0,0.25,10,cpd
abalone,2,4,,2.1748719567690333,0.5285440540838169,,96,16,44,100,5.0,0.25,10,cpd
abalone,2,4,,2.185291798199027,0.5240157285419464,,96,21,45,100,5.0,0.25,10,cpd
abalone,2,4,,2.193302676328979,0.5205195904358144,,96,16,46,100,5.0,0.25,10,cpd
abalone,2,8,,2.182131639164825,0.5253913785967295,,192,19,42,100,5.0,0.25,10,cpd
abalone,2,8,,2.179632746729355,0.5264777629324247,,192,19,43,100,5.0,0.25,10,cpd
abalone,2,8,,2.1800057315148216,0.5263156881959068,,192,19,44,100,5.0,0.25,10,cpd
abalone,2,8,,2.181695460977918,0.5255810951423644,,192,16,45,100,5.0,0.25,10,cpd
abalone,2,8,,2.1818846516092507,0.5254988109689667,,192,19,46,100,5.0,0.25,10,cpd
abalone,2,12,,2.1852665349925116,0.5240267337719582,,288,15,42,100,5.0,0.25,10,cpd
abalone,2,12,,2.1790349118548913,0.5267374849287443,,288,15,43,100,5.0,0.25,10,cpd
abalone,2,12,,2.1796881445364047,0.5264536924307118,,288,15,44,100,5.0,0.25,10,cpd
abalone,2,12,,2.1822871312458654,0.5253237378456366,,288,15,45,100,5.0,0.25,10,cpd
abalone,2,12,,2.1781720745903432,0.5271122083297883,,288,19,46,100,5.0,0.25,10,cpd
abalone,2,16,,2.1843571126038976,0.5244228142206455,,384,15,42,100,5.0,0.25,10,cpd
abalone,2,16,,2.182538195107237,0.5252145121540828,,384,15,43,100,5.0,0.25,10,cpd
abalone,2,16,,2.1796298626779897,0.5264790160440351,,384,15,44,100,5.0,0.25,10,cpd
abalone,2,16,,2.180039672776668,0.5263009381719186,,384,15,45,100,5.0,0.25,10,cpd
abalone,2,16,,2.1829182185158196,0.5250491585231256,,384,15,46,100,5.0,0.25,10,cpd
abalone,2,64,,2.1824949567980667,0.525233323937913,,1536,14,42,100,5.0,0.25,10,cpd
abalone,2,64,,2.18242633290941,0.5252631795150863,,1536,14,43,100,5.0,0.25,10,cpd
abalone,2,64,,2.184957739241934,0.5241612419749826,,1536,17,44,100,5.0,0.25,10,cpd
abalone,2,64,,2.184059966877359,0.5245521942709517,,1536,14,45,100,5.0,0.25,10,cpd
abalone,2,64,,2.1820185833051444,0.5254405561025721,,1536,17,46,100,5.0,0.25,10,cpd
abalone,2,144,,2.181405545132113,0.5257071736183786,,3456,14,42,100,5.0,0.25,10,cpd
abalone,2,144,,2.1864795405324498,0.5234981772406829,,3456,16,43,100,5.0,0.25,10,cpd
abalone,2,144,,2.1845496812874283,0.5243389586011886,,3456,16,44,100,5.0,0.25,10,cpd
abalone,2,144,,2.185968320846851,0.5237209724965667,,3456,15,45,100,5.0,0.25,10,cpd
abalone,2,144,,2.180895808450131,0.52592880705575,,3456,14,46,100,5.0,0.25,10,cpd
abalone,2,256,,2.1843017349568727,0.5244469275046291,,6144,15,42,100,5.0,0.25,10,cpd
abalone,2,256,,2.183924193039449,0.5246113056211732,,6144,15,43,100,5.0,0.25,10,cpd
abalone,2,256,,2.185978440114613,0.523716562911928,,6144,15,44,100,5.0,0.25,10,cpd
abalone,2,256,,2.1856235458122177,0.5238711998964347,,6144,15,45,100,5.0,0.25,10,cpd
abalone,2,256,,2.1859001654276233,0.5237506714546306,,6144,15,46,100,5.0,0.25,10,cpd
abalone,3,4,,2.1972928729598973,0.518773400580065,,144,28,42,100,5.0,0.25,10,cpd
abalone,3,4,,2.155498077592051,0.5369061534957076,,144,39,43,100,5.0,0.25,10,cpd
abalone,3,4,,2.1488201054611578,0.5397711407911907,,144,52,44,100,5.0,0.25,10,cpd
abalone,3,4,,2.176186678131089,0.5279738866791335,,144,47,45,100,5.0,0.25,10,cpd
abalone,3,4,,2.1774758440246664,0.5274144675677952,,144,30,46,100,5.0,0.25,10,cpd
abalone,3,8,,2.161785516258629,0.5342005878883449,,288,36,42,100,5.0,0.25,10,cpd
abalone,3,8,,2.165331812396446,0.5326710952158242,,288,27,43,100,5.0,0.25,10,cpd
abalone,3,8,,2.1751405975622955,0.528427578149711,,288,33,44,100,5.0,0.25,10,cpd
abalone,3,8,,2.1714185929815635,0.5300400651865291,,288,29,45,100,5.0,0.25,10,cpd
abalone,3,8,,2.177542058038082,0.5273857257926426,,288,23,46,100,5.0,0.25,10,cpd
abalone,3,12,,2.1768591662238586,0.5276821093325531,,432,55,42,100,5.0,0.25,10,cpd
abalone,3,12,,2.1492217240322997,0.539599089413314,,432,31,43,100,5.0,0.25,10,cpd
abalone,3,12,,2.189367536852382,0.5222385776747508,,432,21,44,100,5.0,0.25,10,cpd
abalone,3,12,,2.1623901021022345,0.5339400115193261,,432,28,45,100,5.0,0.25,10,cpd
abalone,3,12,,2.1573742081641254,0.5360996553209973,,432,26,46,100,5.0,0.25,10,cpd
abalone,3,16,,2.1903981628350015,0.5217886676235417,,576,21,42,100,5.0,0.25,10,cpd
abalone,3,16,,2.1894854477008603,0.5221871155326723,,576,21,43,100,5.0,0.25,10,cpd
abalone,3,16,,2.1547422102781844,0.5372308822734647,,576,25,44,100,5.0,0.25,10,cpd
