dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.18410563468476,0.5245323112218119,,100,26,2582264110,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.185884859814555,0.5237573408007814,,100,24,1011906602,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.1745715972190194,0.5286742654437038,,100,26,1729841207,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.172144175735128,0.5297259370892262,,100,25,3653141251,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.171588579517704,0.529966481964373,,100,26,826749499,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.1752487564686627,0.528380679088948,,100,25,1399498030,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.1860356420046734,0.5236916361617228,,100,25,358916519,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.200199557872282,0.5174993789909619,,100,26,328531638,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.171469128534326,0.5300181901215161,,100,27,787755760,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.190022759062482,0.5219525711160351,,100,25,4192420569,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1688476212530023,0.5311522767336718,,188,23,2582264110,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.170564863328809,0.5304095378071608,,188,23,1011906602,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.174762641918106,0.5285914461531196,,188,23,1729841207,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1715768457293296,0.5299715614338277,,188,23,3653141251,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.19089429258383,0.521572011362953,,188,24,826749499,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1776260856515157,0.5273492503403214,,188,23,1399498030,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.166309506280549,0.5322489818375553,,188,23,358916519,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1790041882544102,0.5267508304936548,,188,23,328531638,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1695812492397404,0.5308350409985745,,188,23,787755760,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1691242138017492,0.5310326850625047,,188,23,4192420569,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.171348523934769,0.5300703947724233,,276,23,2582264110,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.1771001324096657,0.5275775376252225,,276,23,1011906602,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.176031982163772,0.5280409930000857,,276,23,1729841207,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.1779922987526983,0.5271902648722777,,276,23,3653141251,100,5.0,0.25,10,cpd_type1
