dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,1,4,,2.327935760852692,0.45984834117626194,,264,90,2582264110,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.266914098236481,0.4877949484458387,,264,89,1011906602,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.2821719253173733,0.4808767889769767,,264,98,1729841207,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.2849864118765884,0.47959558293588656,,264,98,3653141251,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.289635672163028,0.47747569543934465,,264,99,826749499,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.282245876788624,0.48084314510748305,,264,88,1399498030,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.3216362690810284,0.46276773189891274,,264,78,358916519,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.340382803866982,0.4540567165592325,,264,96,328531638,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.221893121118671,0.5079377373422584,,264,139,787755760,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.290586963111859,0.4770414115848075,,264,109,4192420569,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2837645250661143,0.48015200224254717,,808,90,2582264110,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2910993173662013,0.47680743660101255,,808,95,1011906602,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2835699172883506,0.480240594697793,,808,97,1729841207,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.280074009226838,0.48183077176088707,,808,95,3653141251,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2711045774557124,0.4858995361193771,,808,95,826749499,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2895125646891494,0.47753188334611285,,808,97,1399498030,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.268512119863653,0.4870725538483295,,808,95,358916519,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2946434477301265,0.47518751831360395,,808,95,328531638,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2646368899811855,0.4888234935729723,,808,95,787755760,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.269244396509789,0.48674135401970187,,808,95,4192420569,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.279040857827557,0.4823002529902479,,1416,102,2582264110,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2775166097218373,0.4829925082217217,,1416,101,1011906602,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2826872768380357,0.4806423095850775,,1416,95,1729841207,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2627594462592655,0.48967069986604017,,1416,102,3653141251,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.278078267479201,0.4827374786227666,,1416,103,826749499,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2705142204076583,0.48616677470327996,,1416,102,1399498030,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2831425125735563,0.4804351381882782,,1416,87,358916519,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2768783607040772,0.4832822389624988,,1416,95,328531638,100,5.0,0.25,12,tnml_polynomial
