dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,,4,,6.412656726871313,-3.0987338222976852,,264,58,2582264110,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.157210716113172,-2.7786943445069165,,264,98,1011906602,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.111121928130916,-2.7223364758112187,,264,116,1729841207,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.084144514634832,-2.689544670083729,,264,116,3653141251,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.20698494805724,-2.8400344003361253,,264,78,826749499,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.080736527528215,-2.6854124871476217,,264,91,1399498030,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.2583190700015034,-2.9038141401858852,,264,78,358916519,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.104912082040712,-2.714775378977105,,264,116,328531638,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.348226527454094,-3.0167847688764233,,264,69,787755760,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,6.443271666812539,-3.1379631248580537,,264,78,4192420569,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,6.0131961256893876,-2.6039973954170534,,808,57,2582264110,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.9973518369212835,-2.58502992998028,,808,57,1011906602,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.999617033524894,-2.587738569210583,,808,57,1729841207,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.967587913548252,-2.5495343379352504,,808,50,3653141251,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,6.005856996422315,-2.5952053783522726,,808,50,826749499,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,6.04278778162174,-2.639556077707895,,808,50,1399498030,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.959476721383848,-2.5398917858420855,,808,47,358916519,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,6.006012329184426,-2.5953913502806403,,808,50,328531638,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.995421434223992,-2.582722432319419,,808,47,787755760,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,5.992064753896618,-2.5787118093793264,,808,50,4192420569,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.971349592416723,-2.5540106579488513,,1416,54,2582264110,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.951823281530614,-2.530805433632861,,1416,54,1011906602,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.9655120549795155,-2.5470653170109863,,1416,54,1729841207,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.939826295628085,-2.516585813916348,,1416,54,3653141251,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.943446147516532,-2.5208732788962247,,1416,49,826749499,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.955581871791002,-2.535266265405873,,1416,49,1399498030,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.977405440225333,-2.561222917379931,,1416,54,358916519,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.932714030501475,-2.5081694341910006,,1416,54,328531638,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.931468712942054,-2.506696810883581,,1416,54,787755760,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,5.968946639444294,-2.5511508682106645,,1416,54,4192420569,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.951876762008088,-2.53086888646064,,2216,44,2582264110,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.9586136523393405,-2.5388665448906935,,2216,54,1011906602,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.95861365233934,-2.5388665448906926,,2216,54,1729841207,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.945293601100924,-2.52306246703609,,2216,44,3653141251,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.967645712770065,-2.5496030964752316,,2216,40,826749499,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.95861365233934,-2.5388665448906926,,2216,54,1399498030,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.95861365233934,-2.538866544890692,,2216,54,358916519,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.9586136523393405,-2.5388665448906935,,2216,54,328531638,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.95861365233934,-2.538866544890692,,2216,54,787755760,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,5.963651663958422,-2.544853302537532,,2216,39,4192420569,100,5.0,0.25,12,tnml_sin-cos
