dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,3,8,,2.157454554311457,0.5360651010008766,,960,27,2582264110,100,5.0,0.25,10,tt
abalone,3,8,,2.156893290247132,0.5363064559032177,,960,29,1011906602,100,5.0,0.25,10,tt
abalone,3,8,,2.1516970224652745,0.5385379742142211,,960,26,1729841207,100,5.0,0.25,10,tt
abalone,3,8,,2.1394461919642973,0.5437777447777759,,960,25,3653141251,100,5.0,0.25,10,tt
abalone,3,8,,2.1674535588220145,0.5317548021793752,,960,29,826749499,100,5.0,0.25,10,tt
abalone,3,8,,2.154968191366463,0.5371338102876213,,960,29,1399498030,100,5.0,0.25,10,tt
abalone,3,8,,2.1530966122891484,0.5379374550886676,,960,25,358916519,100,5.0,0.25,10,tt
abalone,3,8,,2.1499759608017723,0.5392758912780378,,960,25,328531638,100,5.0,0.25,10,tt
abalone,3,8,,2.1525576262468675,0.5381687629539231,,960,25,787755760,100,5.0,0.25,10,tt
abalone,3,8,,2.157160129838661,0.5361917173111999,,960,25,4192420569,100,5.0,0.25,10,tt
abalone,3,12,,2.158111946425532,0.5357823292415935,,2016,24,2582264110,100,5.0,0.25,10,tt
abalone,3,12,,2.1485801311623534,0.5398739292289079,,2016,25,1011906602,100,5.0,0.25,10,tt
abalone,3,12,,2.152648394614776,0.5381298134262058,,2016,25,1729841207,100,5.0,0.25,10,tt
abalone,3,12,,2.169637862893856,0.5308105556383067,,2016,19,3653141251,100,5.0,0.25,10,tt
abalone,3,12,,2.1653793032112305,0.532650595748985,,2016,24,826749499,100,5.0,0.25,10,tt
abalone,3,12,,2.160127314851891,0.5349148983537887,,2016,24,1399498030,100,5.0,0.25,10,tt
abalone,3,12,,2.1655143938367174,0.5325922812609678,,2016,24,358916519,100,5.0,0.25,10,tt
abalone,3,12,,2.1568351957893115,0.5363314341090308,,2016,25,328531638,100,5.0,0.25,10,tt
abalone,3,12,,2.154006844271272,0.5375466941672128,,2016,26,787755760,100,5.0,0.25,10,tt
abalone,3,12,,2.1515187130534303,0.5386144530234429,,2016,25,4192420569,100,5.0,0.25,10,tt
abalone,3,16,,2.1688300952469004,0.5311598540247442,,3456,19,2582264110,100,5.0,0.25,10,tt
abalone,3,16,,2.167564864802106,0.531706709034603,,3456,24,1011906602,100,5.0,0.25,10,tt
abalone,3,16,,2.147204285927154,0.5404630248478107,,3456,25,1729841207,100,5.0,0.25,10,tt
abalone,3,16,,2.1639787086143216,0.5332549751834676,,3456,26,3653141251,100,5.0,0.25,10,tt
abalone,3,16,,2.14257600244243,0.5424419470983977,,3456,25,826749499,100,5.0,0.25,10,tt
abalone,3,16,,2.1495819203710775,0.5394447557613241,,3456,25,1399498030,100,5.0,0.25,10,tt
abalone,3,16,,2.145295934259598,0.5412794990467764,,3456,25,358916519,100,5.0,0.25,10,tt
abalone,3,16,,2.1440161834142573,0.5418266243559258,,3456,25,328531638,100,5.0,0.25,10,tt
abalone,3,16,,2.1382194207535066,0.5443007959005479,,3456,25,787755760,100,5.0,0.25,10,tt
abalone,3,16,,2.1674760072647743,0.5317451028435705,,3456,19,4192420569,100,5.0,0.25,10,tt
abalone,4,8,,2.1639281308305574,0.5332767930072446,,1728,32,2582264110,100,5.0,0.25,10,tt
abalone,4,8,,2.179326750980795,0.5266107079166151,,1728,28,1011906602,100,5.0,0.25,10,tt
abalone,4,8,,2.154902850573054,0.5371618789947923,,1728,32,1729841207,100,5.0,0.25,10,tt
abalone,4,8,,2.158676217685145,0.5355395439357034,,1728,31,3653141251,100,5.0,0.25,10,tt
abalone,4,8,,2.16179535918477,0.5341963461727692,,1728,31,826749499,100,5.0,0.25,10,tt
abalone,4,8,,2.1789679821775367,0.5267665572678861,,1728,32,1399498030,100,5.0,0.25,10,tt
abalone,4,8,,2.150496476057765,0.5390527790557795,,1728,31,358916519,100,5.0,0.25,10,tt
abalone,4,8,,2.1893548596318504,0.5222441104775126,,1728,29,328531638,100,5.0,0.25,10,tt
abalone,4,8,,2.1760560420257784,0.528030556268043,,1728,29,787755760,100,5.0,0.25,10,tt
abalone,4,8,,2.187227056147593,0.5231723077923119,,1728,29,4192420569,100,5.0,0.25,10,tt
abalone,4,12,,2.1679291661746083,0.5315492842417258,,3744,35,2582264110,100,5.0,0.25,10,tt
abalone,4,12,,2.17522704196073,0.5283900949595137,,3744,32,1011906602,100,5.0,0.25,10,tt
abalone,4,12,,2.1614857053277254,0.5343297793094064,,3744,32,1729841207,100,5.0,0.25,10,tt
abalone,4,12,,2.173596961614428,0.5290966639507204,,3744,29,3653141251,100,5.0,0.25,10,tt
abalone,4,12,,2.161567691005961,0.5342944526701052,,3744,29,826749499,100,5.0,0.25,10,tt
abalone,4,12,,2.160697432953239,0.5346693679871277,,3744,32,1399498030,100,5.0,0.25,10,tt
abalone,4,12,,2.1616436541343984,0.5342617198789339,,3744,32,358916519,100,5.0,0.25,10,tt
abalone,4,12,,2.1658444638748398,0.5324497848254447,,3744,29,328531638,100,5.0,0.25,10,tt
abalone,4,12,,2.170969977220358,0.5302342328662696,,3744,29,787755760,100,5.0,0.25,10,tt
abalone,4,12,,2.164073438533169,0.5332141100068237,,3744,31,4192420569,100,5.0,0.25,10,tt
abalone,4,16,,2.1602487413261886,0.534862609554865,,6528,29,2582264110,100,5.0,0.25,10,tt
abalone,4,16,,2.1741815096287302,0.5288433487054089,,6528,27,1011906602,100,5.0,0.25,10,tt
abalone,4,16,,2.1802808220755403,0.5261961341024604,,6528,26,1729841207,100,5.0,0.25,10,tt
abalone,4,16,,2.1780458700664056,0.5271670055153336,,6528,29,3653141251,100,5.0,0.25,10,tt
abalone,4,16,,2.1722863466924136,0.5296643744153557,,6528,27,826749499,100,5.0,0.25,10,tt
abalone,4,16,,2.16869466754683,0.531218403526101,,6528,29,1399498030,100,5.0,0.25,10,tt
abalone,4,16,,2.1673258786285157,0.531809967261271,,6528,29,358916519,100,5.0,0.25,10,tt
abalone,4,16,,2.178154726921999,0.527119740763063,,6528,29,328531638,100,5.0,0.25,10,tt
abalone,4,16,,2.1782659236443016,0.5270714576209921,,6528,29,787755760,100,5.0,0.25,10,tt
abalone,4,16,,2.167575521150836,0.5317021045044554,,6528,26,4192420569,100,5.0,0.25,10,tt
