dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,3,8,,2.1568061407622,0.5363439263124574,,1068,55,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1867423645610473,0.5233836153128675,,1068,48,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.170329502290666,0.5305113705681714,,1068,47,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1784789987691617,0.5269789305923271,,1068,46,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1789594932293426,0.526770244560574,,1068,45,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.182831285482809,0.5250869868711423,,1068,38,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.2002079861718435,0.5174956823557662,,1068,50,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.181390154124808,0.5257138663845353,,1068,37,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1904241285397297,0.5217773298055475,,1068,46,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1964989814030247,0.5191210763243821,,1068,45,4192420569,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1556233121999164,0.5368523403546589,,2124,39,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1608667544080173,0.5345964345485613,,2124,36,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.181046043578609,0.5258634902263626,,2124,46,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.169484233444524,0.5308769987670949,,2124,45,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1530068969811014,0.5379759607643183,,2124,47,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.160361103434675,0.5348142214446086,,2124,46,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1659624669073367,0.532398835787183,,2124,55,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1829726490339936,0.5250254726676559,,2124,36,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.160117794092928,0.5349189980689875,,2124,46,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1588156762841675,0.535479530214087,,2124,45,4192420569,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1837290265098974,0.5246962681087194,,3532,38,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.170742103744527,0.5303328445847757,,3532,46,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1838431554058264,0.5246465849227306,,3532,46,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1847855963333287,0.5242362173757553,,3532,37,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1742086778182723,0.5288315736506346,,3532,36,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1526073104740706,0.5381474432060642,,3532,36,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1711214925837243,0.5301686592144748,,3532,35,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1897028899390416,0.5220922056877717,,3532,45,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1699103343590758,0.5306927030096049,,3532,35,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1533080826221758,0.5378466859906148,,3532,46,4192420569,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,7.103777053671276,-4.029819224920911,,2652,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,7.10928873804885,-4.03762733337353,,2652,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.166306429472876,0.5322503105294119,,2652,74,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.1718620434275473,0.5298480937042471,,2652,76,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.1623832080407235,0.5339429832690612,,2652,72,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,7.1178464674363475,-4.04976261161404,,2652,14,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,7.13751062793968,-4.077702665648749,,2652,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.1563753465251096,0.5365291264683545,,2652,76,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.1639096118140535,0.5332847814590468,,2652,76,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,8,,2.1977056189534974,0.51859259354386,,2652,69,4192420569,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.1694824247873807,0.5308777809643569,,5556,52,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.15552872741354,0.5368929835979577,,5556,59,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.213327933562976,0.5117241319947299,,5556,52,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.17664346849134,0.5277757055120899,,5556,52,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.163294515126523,0.5335500736713354,,5556,59,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.1602397595305702,0.534866477406016,,5556,60,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.16331580263613,0.5335408935933816,,5556,52,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.170933816220456,0.5302498821461427,,5556,52,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.161820883389429,0.5341853466691124,,5556,53,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,12,,2.797834466521211,0.21977877180067473,,5556,33,4192420569,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1715945177734364,0.5299639113273051,,9516,51,2582264110,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.159691866100516,0.5351023875937574,,9516,60,1011906602,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1826668498867248,0.5251585358392291,,9516,58,1729841207,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1719569629156776,0.5298069975825036,,9516,51,3653141251,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.180387442182924,0.526149793049747,,9516,55,826749499,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.141838390095142,0.5427569346408341,,9516,60,1399498030,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1480542627968715,0.5400991348244496,,9516,51,358916519,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1526560985595276,0.5381265075182127,,9516,54,328531638,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1641458979442674,0.5331828508116946,,9516,51,787755760,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,16,,2.1828540401579715,0.5250770854667219,,9516,51,4192420569,100,5.0,0.25,10,tt_cumsum_type1
