dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,0.25,2.180018691152357,0.5263100562884806,,96,18,42,100,5.0,0.25,10,tt_lin
abalone,2,4,0.25,2.1806415003319963,0.5260393608230434,,96,18,43,100,5.0,0.25,10,tt_lin
abalone,2,4,0.25,2.1824733271242405,0.5252427342666095,,96,18,44,100,5.0,0.25,10,tt_lin
abalone,2,4,0.25,2.180895399664684,0.5259289847748188,,96,18,45,100,5.0,0.25,10,tt_lin
abalone,2,4,0.25,2.1805243088541912,0.5260903023970696,,96,18,46,100,5.0,0.25,10,tt_lin
abalone,2,4,0.5,2.179920905460819,0.526352550474475,,96,18,42,100,5.0,0.25,10,tt_lin
abalone,2,4,0.5,2.1819094045839913,0.5254880446962751,,96,18,43,100,5.0,0.25,10,tt_lin
abalone,2,4,0.5,2.178956620485759,0.5267714923734421,,96,18,44,100,5.0,0.25,10,tt_lin
abalone,2,4,0.5,2.1821428251473107,0.525386512733242,,96,20,45,100,5.0,0.25,10,tt_lin
abalone,2,4,0.5,2.180146522675086,0.526254502377512,,96,18,46,100,5.0,0.25,10,tt_lin
abalone,2,4,0.75,2.1808960277272402,0.5259287117252295,,96,18,42,100,5.0,0.25,10,tt_lin
abalone,2,4,0.75,2.1801672749630274,0.5262454833967543,,96,18,43,100,5.0,0.25,10,tt_lin
abalone,2,4,0.75,2.180693254356771,0.5260168631665134,,96,18,44,100,5.0,0.25,10,tt_lin
abalone,2,4,0.75,2.179391442632607,0.5265826030995919,,96,18,45,100,5.0,0.25,10,tt_lin
abalone,2,4,0.75,2.1813114139271645,0.5257481057523202,,96,19,46,100,5.0,0.25,10,tt_lin
abalone,2,8,0.25,2.1859600534711476,0.5237245750832801,,192,18,42,100,5.0,0.25,10,tt_lin
abalone,2,8,0.25,2.185561141828747,0.5238983883934245,,192,18,43,100,5.0,0.25,10,tt_lin
abalone,2,8,0.25,2.1832104542876682,0.5249219829695375,,192,19,44,100,5.0,0.25,10,tt_lin
abalone,2,8,0.25,2.181899862110926,0.5254921951964212,,192,18,45,100,5.0,0.25,10,tt_lin
abalone,2,8,0.25,2.18667494749617,0.52341300293798,,192,18,46,100,5.0,0.25,10,tt_lin
abalone,2,8,0.5,2.186199754403767,0.5236201176183326,,192,18,42,100,5.0,0.25,10,tt_lin
abalone,2,8,0.5,2.1859501544611697,0.523728888652049,,192,18,43,100,5.0,0.25,10,tt_lin
abalone,2,8,0.5,2.185756702565048,0.5238131828638553,,192,18,44,100,5.0,0.25,10,tt_lin
abalone,2,8,0.5,2.1862197253016835,0.5236114141341837,,192,18,45,100,5.0,0.25,10,tt_lin
abalone,2,8,0.5,2.1847052682864314,0.5242712015617926,,192,18,46,100,5.0,0.25,10,tt_lin
abalone,2,8,0.75,2.184790368138737,0.5242341391355162,,192,19,42,100,5.0,0.25,10,tt_lin
abalone,2,8,0.75,2.180857995217118,0.5259452461804512,,192,19,43,100,5.0,0.25,10,tt_lin
