dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,0.25,2.191061335886558,0.5214990537234494,,100,26,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.1723860532934953,0.529621197195276,,100,23,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.183140155358039,0.5249525773067221,,100,25,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.17949347020608,0.5265382762678771,,100,25,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.188017675223157,0.5228275267569292,,100,34,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.178349866840161,0.527035006701234,,100,26,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.1809760453716796,0.5258939234884614,,100,25,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.171387329220363,0.530053597915273,,100,25,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.1777138339524806,0.5273111582765669,,100,25,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.189533958206121,0.5221659423376206,,100,25,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1770279263690955,0.5276088739788414,,100,25,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1843009954773622,0.524447249494662,,100,25,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1817131655187443,0.525573395256564,,100,27,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1737634276726645,0.5290245324329697,,100,25,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1759545320865255,0.5280745886561615,,100,25,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1778480270646434,0.5272529012731642,,188,22,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1735060599208733,0.529136050291807,,188,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.175330480988705,0.528345240763505,,188,22,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1809044318417508,0.5259250580370036,,188,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1791507000929378,0.5266871877183847,,188,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1773228090430203,0.5274808927151033,,188,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1712825298258687,0.5300989596148851,,188,22,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1721905067150202,0.5297058753541317,,188,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1775103390427457,0.5273994942897633,,188,22,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1769561019364647,0.5276400436891602,,188,22,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.75,2.1759009594320733,0.5280978262609806,,188,22,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.75,2.17828139851309,0.5270647380253206,,188,22,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.75,2.171313080080698,0.5300857363725628,,188,22,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.75,2.1788970678383506,0.5267973594559481,,188,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.75,2.172654331420388,0.5295050114593229,,188,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.25,2.1739718907567362,0.5289341953659259,,276,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.25,2.1707626136435993,0.5303239693973958,,276,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.25,2.167594920566522,0.5316937221010706,,276,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.25,2.1661274414858966,0.5323276016416032,,276,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.25,2.171551563359763,0.5299825058897315,,276,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.5,2.1674632848335644,0.5317505998578063,,276,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.5,2.1700675592803074,0.530624691465704,,276,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.5,2.1725339334484035,0.5295571551179701,,276,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.5,2.1661565853822253,0.5323150170749495,,276,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.5,2.172563470918561,0.529544362879617,,276,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.75,2.1816306027095087,0.5256093021326149,,276,22,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.75,2.1739429546469884,0.5289467352898913,,276,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.75,2.1768216939345897,0.5276983700815877,,276,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.75,2.1707875417462295,0.5303131822210867,,276,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,12,0.75,2.1770799377208907,0.5275863019261451,,276,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.25,2.165980631635397,0.5323909927301262,,364,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.25,2.1635436210473227,0.5334426429654251,,364,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.25,2.17228799277342,0.5296636616080092,,364,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.25,2.168649014547358,0.5312381398781456,,364,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.25,2.1693944448872853,0.5309158291998297,,364,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.5,2.1677033599265725,0.531646864542151,,364,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.5,2.1674394587984747,0.5317608943485106,,364,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.5,2.1706768706306674,0.5303610721578462,,364,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.5,2.1675770971613675,0.5317014235199395,,364,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.5,2.167623139486042,0.5316815286943948,,364,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.75,2.1653041814470035,0.5326830219412155,,364,21,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.75,2.166610688866259,0.5321189096997607,,364,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.75,2.1668027928120255,0.5320359360591593,,364,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.75,2.170410126903578,0.5304764882684521,,364,21,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,16,0.75,2.1660808578320867,0.5323477164828871,,364,21,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.25,2.1819585495443774,0.5254666688006274,,364,40,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.25,2.1690633165775335,0.5310590168019761,,364,46,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.25,2.162380170276388,0.5339442927228009,,364,48,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.25,2.1682691110232413,0.5314023607207548,,364,44,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.25,2.1586213174879734,0.5355631682719127,,364,46,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.5,2.1729810197460697,0.5293635100951464,,364,42,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.5,2.1673194599785504,0.5318127403961439,,364,46,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.5,2.1612697091657065,0.534422843033663,,364,41,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.5,2.1628516402971303,0.5337410396118787,,364,41,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.5,2.1405200083770306,0.5433196618488938,,364,56,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.75,2.170844892966589,0.5302883640686866,,364,45,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.75,2.197371976607706,0.5187387511574808,,364,45,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.75,2.162558096276531,0.5338675931298691,,364,56,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.75,2.1698418992161277,0.5307223047908298,,364,50,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,4,0.75,2.1702129686938787,0.5305617866268852,,364,47,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.25,2.1901606750180296,0.5218923594642153,,1068,37,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.25,2.196406717480078,0.5191614741069464,,1068,45,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.25,2.1974043355731636,0.5187245767428077,,1068,53,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.25,2.175787114362734,0.5281472056502591,,1068,45,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.25,2.1795484383049284,0.5265143940040637,,1068,38,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.5,2.1786521667267325,0.5269037264263637,,1068,45,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.5,2.2109690515024987,0.5127643496718097,,1068,46,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.5,2.1578187891633562,0.5359084390465176,,1068,50,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.5,2.1765474178113418,0.5278173811144466,,1068,38,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.5,2.1515056414058793,0.5386200593431998,,1068,49,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.75,2.1753788042510758,0.5283242856488408,,1068,45,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.75,2.173669189481624,0.529065367524264,,1068,46,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.75,2.1698997436188523,0.5306972841201323,,1068,38,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.75,2.178595903625556,0.5269281612766927,,1068,45,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,8,0.75,2.191082039442885,0.5214900108747293,,1068,38,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.25,2.160829445845045,0.534612505311183,,2124,46,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.25,2.151303785936942,0.5387066291328725,,2124,50,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.25,2.1573532769284047,0.5361086569678368,,2124,44,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.25,2.1698667143978496,0.5307115710337957,,2124,37,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.25,2.180360826005427,0.5261613616397992,,2124,38,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.5,2.1697455884972103,0.530763962636194,,2124,46,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.5,2.174077133013561,0.528888585550459,,2124,36,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.5,2.1742937002996365,0.5287947228253858,,2124,38,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.5,2.1729170269483955,0.5293912295293571,,2124,38,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.5,2.174166245506006,0.5288499643147042,,2124,36,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.75,2.162808091928133,0.5337598153914662,,2124,45,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.75,2.173859432553962,0.5289829299827951,,2124,56,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.75,2.1674553621241093,0.5317540230273663,,2124,46,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.75,2.164561733869121,0.5330034377777036,,2124,45,45,100,5.0,0.25,10,tt_lin_type1
abalone,3,12,0.75,2.176337295810807,0.5279085449150372,,2124,46,46,100,5.0,0.25,10,tt_lin_type1
abalone,3,16,0.25,2.1583315151962923,0.5356878643658276,,3532,35,42,100,5.0,0.25,10,tt_lin_type1
abalone,3,16,0.25,2.1663426464842903,0.5322346704175417,,3532,46,43,100,5.0,0.25,10,tt_lin_type1
abalone,3,16,0.25,2.1504091429454144,0.5390902170506537,,3532,36,44,100,5.0,0.25,10,tt_lin_type1
abalone,3,16,0.25,2.157326571038024,0.5361201419247131,,3532,46,45,100,5.0,0.25,10,tt_lin_type1
