dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.185709303665839,0.5238338351955596,,100,25,42,100,5.0,0.25,10,tt_type1
abalone,2,4,,2.1799922693120792,0.5263215384691053,,100,26,43,100,5.0,0.25,10,tt_type1
abalone,2,4,,2.1819040720875766,0.5254903640686588,,100,25,44,100,5.0,0.25,10,tt_type1
abalone,2,4,,2.1804180305920897,0.5261364977744187,,100,25,45,100,5.0,0.25,10,tt_type1
abalone,2,4,,2.170243541508686,0.5305485601381857,,100,25,46,100,5.0,0.25,10,tt_type1
abalone,2,8,,2.1761340938190443,0.5279966980204602,,188,21,42,100,5.0,0.25,10,tt_type1
abalone,2,8,,2.1743220759395996,0.5287824238075121,,188,21,43,100,5.0,0.25,10,tt_type1
abalone,2,8,,2.178212322594641,0.5270947322396884,,188,22,44,100,5.0,0.25,10,tt_type1
abalone,2,8,,2.174005822767614,0.5289194901760217,,188,22,45,100,5.0,0.25,10,tt_type1
abalone,2,8,,2.175806533519745,0.528138782928818,,188,22,46,100,5.0,0.25,10,tt_type1
abalone,2,12,,2.1675303745790675,0.5317216118518739,,276,21,42,100,5.0,0.25,10,tt_type1
abalone,2,12,,2.1700769316233766,0.5306206370703459,,276,21,43,100,5.0,0.25,10,tt_type1
abalone,2,12,,2.1707341227810546,0.5303362981406029,,276,21,44,100,5.0,0.25,10,tt_type1
abalone,2,12,,2.17317550736244,0.5292792598743763,,276,21,45,100,5.0,0.25,10,tt_type1
abalone,2,12,,2.1683410846972087,0.5313712508799118,,276,21,46,100,5.0,0.25,10,tt_type1
abalone,2,16,,2.1680043106993274,0.5315168089034956,,364,21,42,100,5.0,0.25,10,tt_type1
abalone,2,16,,2.1665810232745835,0.5321317222224954,,364,21,43,100,5.0,0.25,10,tt_type1
abalone,2,16,,2.1632341558419395,0.5335761026663448,,364,21,44,100,5.0,0.25,10,tt_type1
abalone,2,16,,2.1673114476830952,0.5318162020433883,,364,21,45,100,5.0,0.25,10,tt_type1
abalone,2,16,,2.1650302618863115,0.5328012493623027,,364,21,46,100,5.0,0.25,10,tt_type1
abalone,3,4,,2.181706839669656,0.5255761464401765,,364,48,42,100,5.0,0.25,10,tt_type1
abalone,3,4,,2.173973619869465,0.5289334460221039,,364,40,43,100,5.0,0.25,10,tt_type1
abalone,3,4,,2.159411880536827,0.5352229197722091,,364,47,44,100,5.0,0.25,10,tt_type1
