dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,,,,0.5634725634725635,896,23,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5627900627900628,896,25,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5623805623805623,896,21,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5631995631995632,896,20,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5612885612885613,896,15,826749499,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5634725634725635,896,24,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5606060606060606,896,13,358916519,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5627900627900628,896,25,328531638,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5622440622440622,896,23,787755760,100,5.0,0.25,10,cpd_type1
adult,2,4,,,,0.5627900627900628,896,24,4192420569,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5633360633360633,1648,21,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5630630630630631,1648,21,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.564018564018564,1648,23,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5634725634725635,1648,23,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5627900627900628,1648,26,826749499,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5637455637455637,1648,23,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5636090636090636,1648,23,358916519,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.564018564018564,1648,24,328531638,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.562926562926563,1648,22,787755760,100,5.0,0.25,10,cpd_type1
adult,2,8,,,,0.5638820638820639,1648,23,4192420569,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5633360633360633,2400,22,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5631995631995632,2400,20,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5637455637455637,2400,22,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5638820638820639,2400,23,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5633360633360633,2400,22,826749499,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5636090636090636,2400,23,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5633360633360633,2400,22,358916519,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5636090636090636,2400,23,328531638,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.5637455637455637,2400,23,787755760,100,5.0,0.25,10,cpd_type1
adult,2,12,,,,0.562926562926563,2400,20,4192420569,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5642915642915642,3152,23,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5638820638820639,3152,20,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5637455637455637,3152,23,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5637455637455637,3152,23,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5638820638820639,3152,23,826749499,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5636090636090636,3152,23,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5638820638820639,3152,23,358916519,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.564018564018564,3152,23,328531638,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5644280644280645,3152,23,787755760,100,5.0,0.25,10,cpd_type1
adult,2,16,,,,0.5641550641550641,3152,23,4192420569,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5631995631995632,12176,20,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5634725634725635,12176,20,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5633360633360633,12176,20,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5633360633360633,12176,19,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5626535626535627,12176,18,826749499,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5627900627900628,12176,20,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.562926562926563,12176,19,358916519,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5634725634725635,12176,20,328531638,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5636090636090636,12176,19,787755760,100,5.0,0.25,10,cpd_type1
adult,2,64,,,,0.5633360633360633,12176,19,4192420569,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5604695604695604,27216,10,2582264110,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5597870597870598,27216,10,1011906602,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5581490581490581,27216,9,1729841207,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5592410592410593,27216,10,3653141251,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5578760578760579,27216,10,826749499,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5573300573300574,27216,10,1399498030,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5599235599235599,27216,9,358916519,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5599235599235599,27216,10,328531638,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5556920556920557,27216,10,787755760,100,5.0,0.25,10,cpd_type1
adult,2,144,,,,0.5581490581490581,27216,9,4192420569,100,5.0,0.25,10,cpd_type1
adult,3,4,,,,0.561971061971062,1836,32,2582264110,100,5.0,0.25,10,cpd_type1
adult,3,4,,,,0.561971061971062,1836,51,1011906602,100,5.0,0.25,10,cpd_type1
