dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
adult,16,1,,,0.5647010647010647,868,42,mlp,48
adult,16,1,,,0.5636090636090636,868,43,mlp,48
adult,16,1,,,0.5653835653835654,868,44,mlp,48
adult,16,1,,,0.5626535626535627,868,45,mlp,48
adult,16,1,,,0.5637455637455637,868,46,mlp,48
adult,64,1,,,0.5581490581490581,3460,42,mlp,48
adult,64,1,,,0.5603330603330603,3460,43,mlp,48
adult,64,1,,,0.561015561015561,3460,44,mlp,48
adult,64,1,,,0.56006006006006,3460,45,mlp,48
adult,64,1,,,0.5601965601965602,3460,46,mlp,48
adult,256,1,,,0.5546000546000546,13828,42,mlp,48
adult,256,1,,,0.5511875511875511,13828,43,mlp,48
adult,256,1,,,0.5376740376740377,13828,44,mlp,48
adult,256,1,,,0.5438165438165438,13828,45,mlp,48
adult,256,1,,,0.5455910455910455,13828,46,mlp,48
adult,16,3,,,0.5625170625170626,1476,42,mlp,48
adult,16,3,,,0.5608790608790609,1476,43,mlp,48
adult,16,3,,,0.5626535626535627,1476,44,mlp,48
adult,16,3,,,0.5642915642915642,1476,45,mlp,48
adult,16,3,,,0.5631995631995632,1476,46,mlp,48
adult,64,3,,,0.5307125307125307,12036,42,mlp,48
adult,64,3,,,0.5345345345345346,12036,43,mlp,48
adult,64,3,,,0.5454545454545454,12036,44,mlp,48
adult,64,3,,,0.5364455364455365,12036,45,mlp,48
adult,64,3,,,0.5372645372645373,12036,46,mlp,48
adult,256,3,,,0.5184275184275184,146436,42,mlp,48
adult,256,3,,,0.5248430248430248,146436,43,mlp,48
adult,256,3,,,0.5143325143325144,146436,44,mlp,48
adult,256,3,,,0.5099645099645099,146436,45,mlp,48
adult,256,3,,,0.5296205296205296,146436,46,mlp,48
adult,16,5,,,0.5626535626535627,2084,42,mlp,48
adult,16,5,,,0.5625170625170626,2084,43,mlp,48
adult,16,5,,,0.5627900627900628,2084,44,mlp,48
adult,16,5,,,0.5633360633360633,2084,45,mlp,48
adult,16,5,,,0.5622440622440622,2084,46,mlp,48
adult,64,5,,,0.5358995358995359,20612,42,mlp,48
adult,64,5,,,0.5290745290745291,20612,43,mlp,48
adult,64,5,,,0.5391755391755392,20612,44,mlp,48
adult,64,5,,,0.527027027027027,20612,45,mlp,48
adult,64,5,,,0.5247065247065247,20612,46,mlp,48
adult,256,5,,,0.5324870324870324,279044,42,mlp,48
adult,256,5,,,0.5395850395850396,279044,43,mlp,48
adult,256,5,,,0.525935025935026,279044,44,mlp,48
adult,256,5,,,0.5354900354900355,279044,45,mlp,48
adult,256,5,,,0.5378105378105378,279044,46,mlp,48
