dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,1,4,,,,0.5563745563745564,1424,255,42,100,5.0,0.25,48,tnml_polynomial
adult,1,4,,,,0.5558285558285558,1424,269,43,100,5.0,0.25,48,tnml_polynomial
adult,1,4,,,,0.5565110565110565,1424,327,44,100,5.0,0.25,48,tnml_polynomial
adult,1,4,,,,0.5570570570570571,1424,261,45,100,5.0,0.25,48,tnml_polynomial
adult,1,4,,,,0.5561015561015561,1424,260,46,100,5.0,0.25,48,tnml_polynomial
adult,1,8,,,,0.5554190554190555,5424,268,42,100,5.0,0.25,48,tnml_polynomial
adult,1,8,,,,0.44894894894894893,5424,98,43,100,5.0,0.25,48,tnml_polynomial
adult,1,8,,,,0.5556920556920557,5424,237,44,100,5.0,0.25,48,tnml_polynomial
adult,1,8,,,,0.5561015561015561,5424,238,45,100,5.0,0.25,48,tnml_polynomial
adult,1,8,,,,0.5522795522795523,5424,178,46,100,5.0,0.25,48,tnml_polynomial
adult,1,12,,,,0.5552825552825553,11792,237,42,100,5.0,0.25,48,tnml_polynomial
adult,1,12,,,,0.5511875511875511,11792,155,43,100,5.0,0.25,48,tnml_polynomial
adult,1,12,,,,0.5563745563745564,11792,238,44,100,5.0,0.25,48,tnml_polynomial
adult,1,12,,,,0.5547365547365547,11792,237,45,100,5.0,0.25,48,tnml_polynomial
adult,1,12,,,,0.555965055965056,11792,235,46,100,5.0,0.25,48,tnml_polynomial
adult,1,16,,,,0.5547365547365547,20656,173,42,100,5.0,0.25,48,tnml_polynomial
adult,1,16,,,,0.5208845208845209,20656,164,43,100,5.0,0.25,48,tnml_polynomial
adult,1,16,,,,0.5537810537810538,20656,169,44,100,5.0,0.25,48,tnml_polynomial
adult,1,16,,,,0.555965055965056,20656,236,45,100,5.0,0.25,48,tnml_polynomial
adult,1,16,,,,0.5522795522795523,20656,146,46,100,5.0,0.25,48,tnml_polynomial
adult,2,4,,,,0.35626535626535627,2172,65,42,100,5.0,0.25,48,tnml_polynomial
adult,2,4,,,,0.5397215397215397,2172,196,43,100,5.0,0.25,48,tnml_polynomial
adult,2,4,,,,0.32118482118482117,2172,51,44,100,5.0,0.25,48,tnml_polynomial
adult,2,4,,,,0.5462735462735463,2172,141,45,100,5.0,0.25,48,tnml_polynomial
adult,2,4,,,,0.5401310401310402,2172,161,46,100,5.0,0.25,48,tnml_polynomial
adult,2,8,,,,0.549003549003549,8436,178,42,100,5.0,0.25,48,tnml_polynomial
adult,2,8,,,,0.5543270543270543,8436,140,43,100,5.0,0.25,48,tnml_polynomial
adult,2,8,,,,0.5476385476385477,8436,157,44,100,5.0,0.25,48,tnml_polynomial
adult,2,8,,,,0.5546000546000546,8436,139,45,100,5.0,0.25,48,tnml_polynomial
adult,2,8,,,,0.5555555555555556,8436,141,46,100,5.0,0.25,48,tnml_polynomial
adult,2,12,,,,0.5571935571935572,18558,140,42,100,5.0,0.25,48,tnml_polynomial
adult,2,12,,,,0.5556920556920557,18558,137,43,100,5.0,0.25,48,tnml_polynomial
adult,2,12,,,,0.44335244335244334,18558,96,44,100,5.0,0.25,48,tnml_polynomial
adult,2,12,,,,0.5509145509145509,18558,139,45,100,5.0,0.25,48,tnml_polynomial
adult,2,12,,,,0.5524160524160524,18558,141,46,100,5.0,0.25,48,tnml_polynomial
adult,2,16,,,,0.4774774774774775,32550,84,42,100,5.0,0.25,48,tnml_polynomial
adult,2,16,,,,0.5323505323505323,32550,141,43,100,5.0,0.25,48,tnml_polynomial
adult,2,16,,,,0.5533715533715534,32550,141,44,100,5.0,0.25,48,tnml_polynomial
adult,2,16,,,,0.5537810537810538,32550,125,45,100,5.0,0.25,48,tnml_polynomial
adult,2,16,,,,0.5562380562380562,32550,141,46,100,5.0,0.25,48,tnml_polynomial
adult,3,4,,,,0.337018837018837,2944,139,42,100,5.0,0.25,48,tnml_polynomial
