dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,,4,,,,0.3731913731913732,1424,229,2582264110,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.36745836745836746,1424,262,1011906602,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.3637728637728638,1424,166,1729841207,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.34466284466284464,1424,217,3653141251,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.3705978705978706,1424,256,826749499,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.35995085995085996,1424,157,1399498030,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.35872235872235875,1424,139,358916519,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.36431886431886434,1424,228,328531638,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.3731913731913732,1424,169,787755760,100,5.0,0.25,48,tnml_sin-cos
adult,,4,,,,0.361998361998362,1424,94,4192420569,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.35585585585585583,5424,167,2582264110,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.35107835107835106,5424,136,1011906602,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.37482937482937484,5424,156,1729841207,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.36418236418236416,5424,260,3653141251,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.3366093366093366,5424,49,826749499,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.3583128583128583,5424,141,1399498030,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.371962871962872,5424,264,358916519,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.3325143325143325,5424,51,328531638,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.37373737373737376,5424,49,787755760,100,5.0,0.25,48,tnml_sin-cos
adult,,8,,,,0.36814086814086816,5424,155,4192420569,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.3783783783783784,11792,174,2582264110,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.3621348621348621,11792,265,1011906602,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.3726453726453726,11792,119,1729841207,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.37987987987987987,11792,124,3653141251,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.37046137046137045,11792,241,826749499,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.37346437346437344,11792,172,1399498030,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.3523068523068523,11792,91,358916519,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.3539448539448539,11792,88,328531638,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.35981435981435983,11792,49,787755760,100,5.0,0.25,48,tnml_sin-cos
adult,,12,,,,0.37919737919737917,11792,123,4192420569,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.37496587496587497,20656,168,2582264110,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.3712803712803713,20656,158,1011906602,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.34302484302484304,20656,71,1729841207,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.377013377013377,20656,255,3653141251,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.36677586677586677,20656,259,826749499,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.35285285285285284,20656,49,1399498030,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.3506688506688507,20656,166,358916519,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.37291837291837293,20656,157,328531638,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.36936936936936937,20656,165,787755760,100,5.0,0.25,48,tnml_sin-cos
adult,,16,,,,0.3759213759213759,20656,143,4192420569,100,5.0,0.25,48,tnml_sin-cos
