dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,,,,0.5631995631995632,768,17,42,100,5.0,0.25,10,tt
adult,2,4,,,,0.5636090636090636,768,26,43,100,5.0,0.25,10,tt
adult,2,4,,,,0.5630630630630631,768,19,44,100,5.0,0.25,10,tt
adult,2,4,,,,0.5637455637455637,768,19,45,100,5.0,0.25,10,tt
adult,2,4,,,,0.564018564018564,768,20,46,100,5.0,0.25,10,tt
adult,2,8,,,,0.5634725634725635,1536,17,42,100,5.0,0.25,10,tt
adult,2,8,,,,0.5626535626535627,1536,17,43,100,5.0,0.25,10,tt
adult,2,8,,,,0.5634725634725635,1536,17,44,100,5.0,0.25,10,tt
adult,2,8,,,,0.5626535626535627,1536,17,45,100,5.0,0.25,10,tt
adult,2,8,,,,0.5630630630630631,1536,17,46,100,5.0,0.25,10,tt
adult,2,12,,,,0.5631995631995632,2304,17,42,100,5.0,0.25,10,tt
adult,2,12,,,,0.5630630630630631,2304,17,43,100,5.0,0.25,10,tt
adult,2,12,,,,0.5634725634725635,2304,17,44,100,5.0,0.25,10,tt
adult,2,12,,,,0.5631995631995632,2304,17,45,100,5.0,0.25,10,tt
adult,2,12,,,,0.5631995631995632,2304,17,46,100,5.0,0.25,10,tt
adult,2,16,,,,0.5631995631995632,3072,16,42,100,5.0,0.25,10,tt
adult,2,16,,,,0.5631995631995632,3072,16,43,100,5.0,0.25,10,tt
adult,2,16,,,,0.5631995631995632,3072,16,44,100,5.0,0.25,10,tt
adult,2,16,,,,0.5631995631995632,3072,16,45,100,5.0,0.25,10,tt
adult,2,16,,,,0.562926562926563,3072,16,46,100,5.0,0.25,10,tt
adult,3,4,,,,0.5616980616980617,1536,24,42,100,5.0,0.25,10,tt
adult,3,4,,,,0.561971061971062,1536,21,43,100,5.0,0.25,10,tt
adult,3,4,,,,0.5627900627900628,1536,23,44,100,5.0,0.25,10,tt
adult,3,4,,,,0.5618345618345618,1536,19,45,100,5.0,0.25,10,tt
adult,3,4,,,,0.5612885612885613,1536,19,46,100,5.0,0.25,10,tt
adult,4,4,,,,0.5458640458640459,2304,16,42,100,5.0,0.25,10,tt
adult,4,4,,,,0.5630630630630631,2304,29,43,100,5.0,0.25,10,tt
adult,4,4,,,,0.5604695604695604,2304,25,44,100,5.0,0.25,10,tt
adult,4,4,,,,0.5612885612885613,2304,25,45,100,5.0,0.25,10,tt
adult,4,4,,,,0.5576030576030576,2304,23,46,100,5.0,0.25,10,tt
adult,5,4,,,,0.4131859131859132,3072,11,42,100,5.0,0.25,10,tt
adult,5,4,,,,0.3282828282828283,3072,11,43,100,5.0,0.25,10,tt
adult,5,4,,,,0.3817908817908818,3072,12,44,100,5.0,0.25,10,tt
adult,5,4,,,,0.4082719082719083,3072,11,45,100,5.0,0.25,10,tt
adult,5,4,,,,0.44676494676494677,3072,13,46,100,5.0,0.25,10,tt
adult,6,4,,,,0.3488943488943489,3840,14,42,100,5.0,0.25,10,tt
adult,6,4,,,,0.23027573027573028,3840,5,43,100,5.0,0.25,10,tt
adult,6,4,,,,0.32364182364182364,3840,12,44,100,5.0,0.25,10,tt
adult,6,4,,,,0.3555828555828556,3840,16,45,100,5.0,0.25,10,tt
adult,6,4,,,,0.40417690417690416,3840,23,46,100,5.0,0.25,10,tt
