dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,3,8,,,,0.5614250614250614,4608,13,2582264110,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5616980616980617,4608,20,1011906602,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5611520611520612,4608,20,1729841207,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5457275457275458,4608,13,3653141251,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5621075621075621,4608,17,826749499,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5622440622440622,4608,23,1399498030,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5615615615615616,4608,19,358916519,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5621075621075621,4608,19,328531638,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.5607425607425608,4608,20,787755760,100,5.0,0.25,10,tt_cumsum
adult,3,8,,,,0.562926562926563,4608,18,4192420569,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5623805623805623,9216,19,2582264110,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5630630630630631,9216,19,1011906602,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5604695604695604,9216,17,1729841207,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5607425607425608,9216,19,3653141251,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5607425607425608,9216,18,826749499,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5611520611520612,9216,17,1399498030,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5608790608790609,9216,19,358916519,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.561015561015561,9216,20,328531638,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5612885612885613,9216,17,787755760,100,5.0,0.25,10,tt_cumsum
adult,3,12,,,,0.5615615615615616,9216,19,4192420569,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5618345618345618,7680,27,2582264110,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5615615615615616,7680,23,1011906602,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5622440622440622,7680,27,1729841207,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5621075621075621,7680,24,3653141251,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5615615615615616,7680,23,826749499,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5621075621075621,7680,26,1399498030,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5621075621075621,7680,22,358916519,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5615615615615616,7680,23,328531638,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5618345618345618,7680,28,787755760,100,5.0,0.25,10,tt_cumsum
adult,4,8,,,,0.5614250614250614,7680,27,4192420569,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5616980616980617,16128,23,2582264110,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5625170625170626,16128,23,1011906602,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5625170625170626,16128,22,1729841207,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5626535626535627,16128,20,3653141251,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5616980616980617,16128,22,826749499,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5644280644280645,16128,21,1399498030,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5623805623805623,16128,22,358916519,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5625170625170626,16128,22,328531638,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5622440622440622,16128,24,787755760,100,5.0,0.25,10,tt_cumsum
adult,4,12,,,,0.5621075621075621,16128,21,4192420569,100,5.0,0.25,10,tt_cumsum
