dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,0.25,,,0.5642915642915642,768,25,42,100,5.0,0.25,10,tt_lin
adult,2,4,0.25,,,0.5641550641550641,768,20,43,100,5.0,0.25,10,tt_lin
adult,2,4,0.25,,,0.5435435435435435,768,7,44,100,5.0,0.25,10,tt_lin
adult,2,4,0.25,,,0.5631995631995632,768,19,45,100,5.0,0.25,10,tt_lin
adult,2,4,0.25,,,0.5637455637455637,768,26,46,100,5.0,0.25,10,tt_lin
adult,2,4,0.5,,,0.564018564018564,768,25,42,100,5.0,0.25,10,tt_lin
adult,2,4,0.5,,,0.5631995631995632,768,19,43,100,5.0,0.25,10,tt_lin
adult,2,4,0.5,,,0.564018564018564,768,24,44,100,5.0,0.25,10,tt_lin
adult,2,4,0.5,,,0.553098553098553,768,7,45,100,5.0,0.25,10,tt_lin
adult,2,4,0.5,,,0.5637455637455637,768,22,46,100,5.0,0.25,10,tt_lin
adult,2,4,0.75,,,0.5634725634725635,768,17,42,100,5.0,0.25,10,tt_lin
adult,2,4,0.75,,,0.5648375648375649,768,21,43,100,5.0,0.25,10,tt_lin
adult,2,4,0.75,,,0.5641550641550641,768,26,44,100,5.0,0.25,10,tt_lin
adult,2,4,0.75,,,0.5641550641550641,768,25,45,100,5.0,0.25,10,tt_lin
adult,2,4,0.75,,,0.5641550641550641,768,20,46,100,5.0,0.25,10,tt_lin
adult,2,8,0.25,,,0.5630630630630631,1536,17,42,100,5.0,0.25,10,tt_lin
adult,2,8,0.25,,,0.5626535626535627,1536,17,43,100,5.0,0.25,10,tt_lin
adult,2,8,0.25,,,0.5625170625170626,1536,17,44,100,5.0,0.25,10,tt_lin
adult,2,8,0.25,,,0.5630630630630631,1536,17,45,100,5.0,0.25,10,tt_lin
adult,2,8,0.25,,,0.5634725634725635,1536,17,46,100,5.0,0.25,10,tt_lin
adult,2,8,0.5,,,0.5626535626535627,1536,17,42,100,5.0,0.25,10,tt_lin
adult,2,8,0.5,,,0.5630630630630631,1536,17,43,100,5.0,0.25,10,tt_lin
adult,2,8,0.5,,,0.5466830466830467,1536,7,44,100,5.0,0.25,10,tt_lin
adult,2,8,0.5,,,0.5637455637455637,1536,19,45,100,5.0,0.25,10,tt_lin
adult,2,8,0.5,,,0.5637455637455637,1536,17,46,100,5.0,0.25,10,tt_lin
adult,2,8,0.75,,,0.5626535626535627,1536,17,42,100,5.0,0.25,10,tt_lin
adult,2,8,0.75,,,0.5634725634725635,1536,17,43,100,5.0,0.25,10,tt_lin
adult,2,8,0.75,,,0.5634725634725635,1536,17,44,100,5.0,0.25,10,tt_lin
adult,2,8,0.75,,,0.562926562926563,1536,19,45,100,5.0,0.25,10,tt_lin
adult,2,8,0.75,,,0.5631995631995632,1536,17,46,100,5.0,0.25,10,tt_lin
adult,2,12,0.25,,,0.5636090636090636,2304,17,42,100,5.0,0.25,10,tt_lin
adult,2,12,0.25,,,0.5627900627900628,2304,17,43,100,5.0,0.25,10,tt_lin
adult,2,12,0.25,,,0.5627900627900628,2304,17,44,100,5.0,0.25,10,tt_lin
adult,2,12,0.25,,,0.5636090636090636,2304,17,45,100,5.0,0.25,10,tt_lin
adult,2,12,0.25,,,0.5633360633360633,2304,17,46,100,5.0,0.25,10,tt_lin
adult,2,12,0.5,,,0.5633360633360633,2304,16,42,100,5.0,0.25,10,tt_lin
adult,2,12,0.5,,,0.562926562926563,2304,17,43,100,5.0,0.25,10,tt_lin
