dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,0.25,,,0.5647010647010647,896,33,42,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.25,,,0.5637455637455637,896,22,43,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.25,,,0.5644280644280645,896,22,44,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.25,,,0.5633360633360633,896,21,45,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.25,,,0.5637455637455637,896,22,46,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.5,,,0.5651105651105651,896,24,42,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.5,,,0.5648375648375649,896,24,43,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.5,,,0.5485940485940486,896,12,44,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.5,,,0.5645645645645646,896,26,45,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.5,,,0.5644280644280645,896,26,46,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.75,,,0.5651105651105651,896,33,42,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.75,,,0.5648375648375649,896,49,43,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.75,,,0.564018564018564,896,24,44,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.75,,,0.5647010647010647,896,41,45,100,5.0,0.25,10,tt_lin_type1
adult,2,4,0.75,,,0.5648375648375649,896,28,46,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.25,,,0.5641550641550641,1648,22,42,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.25,,,0.5637455637455637,1648,21,43,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.25,,,0.5644280644280645,1648,24,44,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.25,,,0.5634725634725635,1648,21,45,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.25,,,0.5645645645645646,1648,21,46,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.5,,,0.5637455637455637,1648,22,42,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.5,,,0.5634725634725635,1648,21,43,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.5,,,0.5631995631995632,1648,22,44,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.5,,,0.5633360633360633,1648,19,45,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.5,,,0.5645645645645646,1648,21,46,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.75,,,0.5644280644280645,1648,22,42,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.75,,,0.5636090636090636,1648,21,43,100,5.0,0.25,10,tt_lin_type1
adult,2,8,0.75,,,0.5638820638820639,1648,22,44,100,5.0,0.25,10,tt_lin_type1
