dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,3,8,,,,0.562926562926563,6160,23,2582264110,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5627900627900628,6160,19,1011906602,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5625170625170626,6160,26,1729841207,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5622440622440622,6160,21,3653141251,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.561971061971062,6160,24,826749499,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.561971061971062,6160,18,1399498030,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5625170625170626,6160,25,358916519,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5623805623805623,6160,31,328531638,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5622440622440622,6160,25,787755760,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5630630630630631,6160,24,4192420569,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5633360633360633,11424,22,2582264110,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5623805623805623,11424,19,1011906602,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5623805623805623,11424,27,1729841207,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5622440622440622,11424,24,3653141251,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5626535626535627,11424,25,826749499,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5625170625170626,11424,19,1399498030,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5627900627900628,11424,32,358916519,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5626535626535627,11424,23,328531638,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5630630630630631,11424,22,787755760,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.561971061971062,11424,20,4192420569,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5631995631995632,13680,38,2582264110,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5621075621075621,13680,27,1011906602,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5621075621075621,13680,31,1729841207,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5623805623805623,13680,28,3653141251,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5622440622440622,13680,42,826749499,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.551051051051051,13680,14,1399498030,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5623805623805623,13680,27,358916519,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5623805623805623,13680,31,328531638,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5611520611520612,13680,28,787755760,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5627900627900628,13680,28,4192420569,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5623805623805623,27216,27,2582264110,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5494130494130494,27216,15,1011906602,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.54995904995905,27216,13,1729841207,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5614250614250614,27216,27,3653141251,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.551051051051051,27216,13,826749499,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5614250614250614,27216,28,1399498030,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5618345618345618,27216,27,358916519,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5623805623805623,27216,29,328531638,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5517335517335518,27216,13,787755760,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5503685503685504,27216,13,4192420569,100,5.0,0.25,10,tt_type1
