dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,2,4,,0.14797313924969852,0.32046741567346204,,82,27,2582264110,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14789113499374743,0.32122037831844996,,82,27,1011906602,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14792060464204382,0.32094983621030837,,82,27,1729841207,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14800464052697704,0.3201780601459404,,82,27,3653141251,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.1485705004679813,0.3149698535042831,,82,26,826749499,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14791652931439364,0.32098725241467974,,82,26,1399498030,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.1476889345308706,0.32307519846284816,,82,26,358916519,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14812578921796868,0.3190646728171903,,82,25,328531638,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14798183496024794,0.32038754722821183,,82,27,787755760,100,5.0,0.25,10,cpd_type1
ai4i,2,4,,0.14800837408301282,0.3201437614197463,,82,28,4192420569,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14810752620238274,0.319232572896188,,154,25,2582264110,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14793719578225525,0.3207974997818761,,154,22,1011906602,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14807614207001166,0.3195210529205361,,154,25,1729841207,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14809164093312888,0.31937859645378963,,154,25,3653141251,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14799494287866163,0.32026714462439687,,154,22,826749499,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.14795296455125087,0.3206526983602299,,154,24,1399498030,100,5.0,0.25,10,cpd_type1
ai4i,2,8,,0.1479214892999905,0.32094171389467296,,154,22,358916519,100,5.0,0.25,10,cpd_type1
