dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
ai4i,16,1,0.1267036959573546,0.5017777961266076,,209,42,mlp,10
ai4i,16,1,0.13016278333544154,0.47420292589426927,,209,43,mlp,10
ai4i,16,1,0.13151219593915783,0.4632444168046379,,209,44,mlp,10
ai4i,16,1,0.13370197787917645,0.4452207931060892,,209,45,mlp,10
ai4i,16,1,0.12701122177016347,0.49935636517259707,,209,46,mlp,10
ai4i,64,1,0.13200645094657537,0.45920231784967047,,833,42,mlp,10
ai4i,64,1,0.12743356896067762,0.4960212741982689,,833,43,mlp,10
ai4i,64,1,0.1257101792552173,0.509560543050311,,833,44,mlp,10
ai4i,64,1,0.12683020002934983,0.5007824249815032,,833,45,mlp,10
ai4i,64,1,0.12828102140454087,0.4892959169885155,,833,46,mlp,10
ai4i,256,1,0.13077091077788316,0.46927834499622845,,3329,42,mlp,10
ai4i,256,1,0.1261150236914473,0.5063965765301762,,3329,43,mlp,10
ai4i,256,1,0.12831970460287345,0.4889878644678678,,3329,44,mlp,10
ai4i,256,1,0.1314927494714141,0.4634031432001079,,3329,45,mlp,10
ai4i,256,1,0.13067918677001955,0.47002259071081753,,3329,46,mlp,10
ai4i,16,3,0.13020483754007456,0.47386311217401766,,817,42,mlp,10
ai4i,16,3,0.11722109523084624,0.5735618396411306,,817,43,mlp,10
ai4i,16,3,0.12956914156801178,0.47898806199985056,,817,44,mlp,10
ai4i,16,3,0.12176598871023425,0.5398530894509377,,817,45,mlp,10
ai4i,16,3,0.12659523938648207,0.5026303733865989,,817,46,mlp,10
ai4i,64,3,0.1308861450488371,0.4683425976148031,,9409,42,mlp,10
ai4i,64,3,0.11977151990260426,0.5548036109723469,,9409,43,mlp,10
ai4i,64,3,0.11817198541439848,0.5666152992033541,,9409,44,mlp,10
ai4i,64,3,0.12269532014488733,0.5328025025203187,,9409,45,mlp,10
ai4i,64,3,0.11371178652361874,0.5987126429326297,,9409,46,mlp,10
ai4i,256,3,0.12184241562492404,0.5392752820418945,,135937,42,mlp,10
ai4i,256,3,0.11742378551368682,0.5720858322783484,,135937,43,mlp,10
ai4i,256,3,0.1200266570604331,0.5529048770830159,,135937,44,mlp,10
ai4i,256,3,0.11462536754471153,0.592238710472959,,135937,45,mlp,10
ai4i,256,3,0.12281842028437173,0.5318645543091821,,135937,46,mlp,10
ai4i,16,5,0.13635560341152686,0.42298049918795033,,1425,42,mlp,10
ai4i,16,5,0.12799865563478338,0.4915417151765282,,1425,43,mlp,10
ai4i,16,5,0.1310579520579176,0.4669459269705557,,1425,44,mlp,10
ai4i,16,5,0.12248838599478815,0.5343770954052622,,1425,45,mlp,10
ai4i,16,5,0.127912803529163,0.4922235594475436,,1425,46,mlp,10
ai4i,64,5,0.13635320639906634,0.4230007860077327,,17985,42,mlp,10
ai4i,64,5,0.12449567728968278,0.5189911621574084,,17985,43,mlp,10
ai4i,64,5,0.13064945945526038,0.47026368516011874,,17985,44,mlp,10
ai4i,64,5,0.12818860151117986,0.49003152408093575,,17985,45,mlp,10
ai4i,64,5,0.14118431342473137,0.38138933374167217,,17985,46,mlp,10
ai4i,256,5,0.12482234619264809,0.5164635759264289,,268545,42,mlp,10
ai4i,256,5,0.13978260378983598,0.3936117693089777,,268545,43,mlp,10
ai4i,256,5,0.11757430024465267,0.5709881217166288,,268545,44,mlp,10
ai4i,256,5,0.13042490040498053,0.4720831316867522,,268545,45,mlp,10
ai4i,256,5,0.12118654529494333,0.5442220384665166,,268545,46,mlp,10
