dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,1,4,,0.16272184361831973,0.17825660167274415,,200,32,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16250272494921322,0.18046820502318328,,200,32,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16266742318743124,0.17880615483465645,,200,41,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16226853245998218,0.18282865641225265,,200,32,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.1625907740037593,0.1795798685507799,,200,40,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16254168435057428,0.1800751987458773,,200,32,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16255214554235048,0.1799696545386431,,200,32,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16239292560483926,0.1815753083500352,,200,32,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.1627048471645983,0.17842825649069782,,200,32,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16261230492317488,0.17936256754534996,,200,40,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16237845327954722,0.18172117653405873,,552,34,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16225971231559366,0.18291748908050698,,552,34,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.1623865822278897,0.18163924555552846,,552,30,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238637197530217,0.18164136472513492,,552,30,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.1623865822278897,0.18163924555552846,,552,30,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623155237279471,0.18235529935275874,,840,34,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16231726442318345,0.18233776217782427,,840,33,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16223353738748875,0.18318108317476056,,1192,33,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672472,0.18293300422439296,,1192,23,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672472,0.18293300422439296,,1192,23,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.1620968785422585,0.18455661276450575,,1192,34,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14962084112669158,0.305249776223696,,330,85,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14977580252078582,0.30380993383893473,,330,85,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.1497429144079326,0.30411564228126575,,330,85,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.1503744876567073,0.29823317640636204,,330,94,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14985168919131753,0.3031042800640651,,330,85,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.1500302238193649,0.3014427154013841,,330,85,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14958419047613636,0.30559010219445004,,330,83,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14987035991879596,0.3029306102079137,,330,94,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14968463004148413,0.3046572543589523,,330,85,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.1495764667416388,0.3056618116337475,,330,85,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14771436610839503,0.3228420496784665,,1122,75,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14769199361237337,0.3230471558800825,,1122,75,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14764548407703992,0.3234734458100308,,1122,75,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14765319441884733,0.3234027848316917,,1122,75,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14764031240276423,0.323520839250095,,1122,75,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.147877597306795,0.321344641148015,,1122,75,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14769406097229787,0.32302820407448396,,1122,75,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14767173848460913,0.32323282371172013,,1122,75,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14765778539046204,0.3233607093870974,,1122,75,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.1476441444365538,0.3234857224909734,,1122,75,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15065529305879263,0.29560980710456464,,2124,62,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.14862666679080908,0.31445181126856636,,2124,75,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15065964633615153,0.29556909894066086,,2124,62,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.14924780273626367,0.30870979450198577,,2124,75,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.1509808301512155,0.29256241497120117,,2124,62,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15060158288450332,0.2961119623935815,,2124,62,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15055034519541824,0.29659083466849534,,2124,62,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15056965895080807,0.2964103456239173,,2124,62,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.15076860119711655,0.2945498621985634,,2124,62,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,2,12,,0.1516936039684794,0.28586708494995583,,2124,62,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.15084068939226739,0.2938750959068607,,3348,62,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14855106419942535,0.31514907561022,,3348,75,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14854875152993147,0.31517039920720036,,3348,75,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14855066905701633,0.31515271898074215,,3348,75,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.1485578066608898,0.3150869059343142,,3348,75,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14858422912782307,0.3148432472083281,,3348,75,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14858130583233461,0.3148702069462904,,3348,75,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14856289813480514,0.3150399575175433,,3348,75,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.1485779598243517,0.31490106444793065,,3348,75,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,2,16,,0.14855851571589343,0.3150803678435026,,3348,75,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.18252338933300086,-0.033907203042951695,,480,11,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.17648008313729677,0.03342421483681146,,480,62,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.1745680931649986,0.05425457806423195,,480,76,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.18201214153372225,-0.02812336893526135,,480,14,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.18170930272952,-0.02470495271046591,,480,13,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.17413600522161699,0.0589305695486646,,480,76,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.17450701652177267,0.05491624366216463,,480,76,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.18206991556993798,-0.028776163451031733,,480,14,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.1745131616653733,0.05484968155171521,,480,76,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,3,4,,0.17456441392536634,0.054294443165656014,,480,76,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17641307774197437,0.034158048325644286,,1568,56,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17649373857239956,0.0332746282849562,,1568,56,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17648272305246407,0.03339529715822531,,1568,56,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17648241065096867,0.033398719232433094,,1568,56,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17641843800372045,0.034099353761885776,,1568,56,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17647118682101126,0.03352166206156415,,1568,56,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17635676940763115,0.03477451364459472,,1568,55,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17647323636176607,0.03349921252426946,,1568,56,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17638647109220904,0.03444936324391623,,1568,56,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,3,8,,0.17625376710550905,0.03590167665535415,,1568,56,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17710850747543389,0.026528238684198402,,3296,48,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17727992754514388,0.02464291588378187,,3296,45,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17728837716978324,0.024549937532903687,,3296,45,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17645590567410532,0.0336890350847624,,3296,49,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17729098313070285,0.02452126105151564,,3296,45,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.1772777776967791,0.02466657177249032,,3296,45,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17727767838118516,0.024667664586184967,,3296,45,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.177289933205345,0.02453281467723678,,3296,45,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.1768385974473914,0.02949308301915521,,3296,54,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,3,12,,0.17728705526524788,0.024564483856525654,,3296,45,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17738161647869152,0.023523652478129264,,5664,46,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17692264492734253,0.028570342783521552,,5664,50,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.1765540654593271,0.032613647338113005,,5664,50,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17690845855160722,0.02872612288292542,,5664,50,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.176827578308806,0.02961402739650909,,5664,50,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17733293058085056,0.024059605463672584,,5664,45,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17735652015129283,0.023799940822125776,,5664,45,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.1767281421374881,0.03070508272305572,,5664,53,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17732615244268685,0.024134210133989087,,5664,50,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,3,16,,0.17688715479601558,0.02896003521908186,,5664,50,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18205744224580445,-0.02863520859917168,,600,13,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18232843413184202,-0.03169972771284524,,600,21,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18232714402086123,-0.03168512765943077,,600,22,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18209053426199337,-0.0290091862426336,,600,14,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18206873302405696,-0.028762799671958827,,600,13,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18181812724145144,-0.025932698421716305,,600,13,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18185009925831871,-0.026293542766701483,,600,13,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18232133106269688,-0.03161934429055768,,600,22,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18232939217600594,-0.03171056986705545,,600,20,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,4,4,,0.18232611728665624,-0.03167350828775106,,600,20,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.1823180326748461,-0.03158201843391817,,2050,13,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18212219814011296,-0.029367087925790347,,2050,13,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18209522732575723,-0.02906222873576869,,2050,13,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18226204267871857,-0.030948516595763254,,2050,14,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18219641110548823,-0.030206172336140424,,2050,13,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.1823369289194561,-0.03179586493106612,,2050,12,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.182162741049086,-0.029825441512576933,,2050,14,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18187698239507705,-0.026597001814663956,,2050,13,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18233979871599804,-0.03182834400729728,,2050,15,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,4,8,,0.18183768322900729,-0.02615340475460437,,2050,13,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.18183446770675174,-0.026117113157861027,,4250,13,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.182089817975367,-0.02900109066455392,,4250,12,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.18207469367603937,-0.02883016101728364,,4250,13,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.1823168434034346,-0.03156856033562927,,4250,21,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.18239228680788336,-0.032422470976147366,,4250,19,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.182038700890478,-0.028423439989780253,,4250,12,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.1823887916455629,-0.03238290297019675,,4250,19,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.1821937036934597,-0.03017555513745429,,4250,13,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.18229473999842286,-0.031318448551149736,,4250,12,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,4,12,,0.1823409081288283,-0.03184089998349071,,4250,12,4192420569,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.1822042538260929,-0.030294865554860717,,7250,12,2582264110,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18231143621996426,-0.03150737237681023,,7250,12,1011906602,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18199507522976405,-0.02793057472754268,,7250,13,1729841207,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.1820421986343877,-0.02846296121647196,,7250,13,3653141251,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18176314487585843,-0.02531230178089916,,7250,13,826749499,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18231262341417534,-0.03152080657044953,,7250,13,1399498030,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18187378172299548,-0.02656087001384244,,7250,13,358916519,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.1822761723024554,-0.031108368631412864,,7250,11,328531638,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.1821160636242775,-0.029297743689714162,,7250,13,787755760,100,5.0,0.25,10,tnml_polynomial
ai4i,4,16,,0.18198631229231962,-0.027831588813169494,,7250,12,4192420569,100,5.0,0.25,10,tnml_polynomial
