dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,3,8,,0.142346440849493,0.37116350688736577,,800,25,2582264110,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14307260359914573,0.3647312789457081,,800,25,1011906602,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14266087171964012,0.3683823486956256,,800,25,1729841207,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14211060589880586,0.37324545248161545,,800,25,3653141251,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14174544287897778,0.37646229243924834,,800,25,826749499,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14184424200274298,0.3755927555034674,,800,25,1399498030,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14263755343820922,0.3685888108360622,,800,25,358916519,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14208395149142675,0.37348053985254126,,800,25,328531638,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14285732765773962,0.3666415703806998,,800,25,787755760,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14303017836279702,0.3651079748191661,,800,21,4192420569,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14112632419746762,0.38189739850552185,,1680,25,2582264110,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.1418160440949612,0.3758409887424279,,1680,25,1011906602,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14121223163666904,0.38114465767491545,,1680,25,1729841207,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14131880684983888,0.3802101843960046,,1680,25,3653141251,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14161956485085903,0.3775692747002757,,1680,25,826749499,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14154943440368836,0.3781855813102183,,1680,25,1399498030,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14191956420959942,0.374929433279367,,1680,25,358916519,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14134899753330166,0.3799453381619865,,1680,25,328531638,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.1416120244192066,0.37763555468636645,,1680,25,787755760,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.1417717278606595,0.37623101591250996,,1680,25,4192420569,100,5.0,0.25,10,tt_cumsum
ai4i,3,16,,0.14165216028728847,0.3772827219775827,,2880,25,2582264110,100,5.0,0.25,10,tt_cumsum
ai4i,3,16,,0.14131872262006775,0.38021092321824523,,2880,25,1011906602,100,5.0,0.25,10,tt_cumsum
ai4i,3,16,,0.14112277716528415,0.381928468573855,,2880,25,1729841207,100,5.0,0.25,10,tt_cumsum
ai4i,3,16,,0.1416534339733537,0.3772715234207257,,2880,25,3653141251,100,5.0,0.25,10,tt_cumsum
ai4i,3,16,,0.14125556524959396,0.3807647847384804,,2880,25,826749499,100,5.0,0.25,10,tt_cumsum
