dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,3,8,,0.14279016903051417,0.36723692639356786,,874,35,2582264110,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14288033111366658,0.36643758216427913,,874,35,1011906602,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14295418197512558,0.36578247138760045,,874,35,1729841207,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.1429079832637648,0.36619232715638483,,874,35,3653141251,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14240348298511432,0.37065942173577326,,874,37,826749499,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14301114001442367,0.3652769809861177,,874,35,1399498030,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14239529022625258,0.3707318341118332,,874,46,358916519,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.1434077660875328,0.36175142631741797,,874,40,328531638,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14345080357775075,0.36136828474509686,,874,39,787755760,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,8,,0.14296131301156276,0.36571919599341296,,874,33,4192420569,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.14096692549941933,0.3832928732316222,,1738,46,2582264110,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.1411890566826467,0.3813477670951012,,1738,46,1011906602,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.14203817512666747,0.3738841767592249,,1738,36,1729841207,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.14146361532012472,0.37893934436219967,,1738,36,3653141251,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.14207896519249444,0.37352451327058445,,1738,46,826749499,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.1431744263474169,0.3638267336579062,,1738,33,1399498030,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.1415953013854042,0.37778253665582395,,1738,46,358916519,100,5.0,0.25,10,tt_cumsum_type1
ai4i,3,12,,0.14213992810671325,0.3729867846219499,,1738,36,328531638,100,5.0,0.25,10,tt_cumsum_type1
