dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,2,4,0.25,0.14799208682081183,0.3202933798130745,,80,19,42,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.25,0.14793801186258054,0.32079000625973353,,80,19,43,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.25,0.14798807793404758,0.32033020380853894,,80,19,44,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.25,0.14789355273797833,0.32119818457534255,,80,18,45,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.25,0.14797421535475863,0.32045753210790195,,80,18,46,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.5,0.1480681302085745,0.31959468740975716,,80,18,42,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.5,0.1481010425488325,0.31929217504669005,,80,19,43,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.5,0.1476390095622226,0.3235327782737015,,80,19,44,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.5,0.147895676652169,0.3211786877530126,,80,18,45,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.5,0.14793435821411918,0.32082355495858605,,80,19,46,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.75,0.14794741282407753,0.3207036805101994,,80,18,42,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.75,0.1476792166818084,0.32316427807664605,,80,19,43,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.75,0.1478800104564942,0.32132249160856696,,80,19,44,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.75,0.14784435631233922,0.3216497129631404,,80,19,45,100,5.0,0.25,10,tt_lin
ai4i,2,4,0.75,0.1479389900265924,0.32078102437657285,,80,18,46,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.25,0.14781956361869802,0.32187720518689367,,160,17,42,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.25,0.14784915641937443,0.3216056638438418,,160,17,43,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.25,0.14808277838922668,0.31946005758877427,,160,17,44,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.25,0.14779675919201615,0.32208641983115405,,160,17,45,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.25,0.1480041103115372,0.3201829309586651,,160,17,46,100,5.0,0.25,10,tt_lin
ai4i,2,8,0.5,0.14805286601231452,0.31973496479260943,,160,17,42,100,5.0,0.25,10,tt_lin
