dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,2,4,0.25,0.147933686100312,0.3208297263826523,,82,24,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.25,0.14771785546899827,0.32281005717503874,,82,24,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.25,0.14780914374126672,0.32197280426986885,,82,24,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.25,0.14761054864563136,0.3237935632993836,,82,24,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.25,0.1480613280296195,0.3196572009618921,,82,26,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.5,0.14793555427879598,0.3208125724897538,,82,24,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.5,0.14758279555488654,0.32404781415807227,,82,24,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.5,0.14785630238071432,0.3215400848852583,,82,24,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.5,0.14797151855089183,0.3204823009644402,,82,24,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.5,0.14795352976986742,0.3206475077852846,,82,24,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.75,0.1479411055634351,0.32076159848971364,,82,26,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.75,0.1479651334071708,0.32054094366270103,,82,24,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.75,0.14828767422294295,0.3175754864205276,,82,25,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.75,0.1478945260289447,0.32118925012435906,,82,24,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,4,0.75,0.14804609329847926,0.31979720114317833,,82,24,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.25,0.14808256607182443,0.31946200906984035,,154,26,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.25,0.14804611182342295,0.31979703091620293,,154,24,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.25,0.14804089655772895,0.3198449535084624,,154,24,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.25,0.14802556909035947,0.3199857864112997,,154,26,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.25,0.14799888105641534,0.3202309684635901,,154,25,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.5,0.14782218920280618,0.3218531152193377,,154,24,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.5,0.14812427069593703,0.3190786340592099,,154,26,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.5,0.14805943906593905,0.3196745604528113,,154,24,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.5,0.14783290023282436,0.3217548361336763,,154,24,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.5,0.1479654397280607,0.3205381303956367,,154,24,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.75,0.14790004253675368,0.3211386095125448,,154,22,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.75,0.14798144556115833,0.32039112388506663,,154,24,43,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.75,0.14798680513415513,0.3203418950195529,,154,26,44,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.75,0.14778097347663793,0.3222312238092244,,154,24,45,100,5.0,0.25,10,tt_lin_type1
ai4i,2,8,0.75,0.14804843811477755,0.3197756542964617,,154,26,46,100,5.0,0.25,10,tt_lin_type1
ai4i,2,12,0.25,0.14777782819434995,0.3222600739567263,,226,23,42,100,5.0,0.25,10,tt_lin_type1
ai4i,2,12,0.25,0.14761434365657225,0.3237587928329464,,226,24,43,100,5.0,0.25,10,tt_lin_type1
