dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,3,8,,0.14279016903051414,0.3672369263935681,,874,35,2582264110,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.1428803311136666,0.3664375821642789,,874,35,1011906602,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14295418197512552,0.36578247138760067,,874,35,1729841207,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14290798326376486,0.3661923271563845,,874,35,3653141251,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14240348298511257,0.3706594217357887,,874,37,826749499,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.1430111400144237,0.3652769809861176,,874,35,1399498030,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14239529022625516,0.37073183411181043,,874,46,358916519,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14340776608753325,0.3617514263174142,,874,40,328531638,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14345080357775075,0.36136828474509686,,874,39,787755760,100,5.0,0.25,10,tt_type1
ai4i,3,8,,0.14296131301156276,0.36571919599341296,,874,33,4192420569,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14096692549941517,0.3832928732316585,,1738,46,2582264110,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.1411890566826477,0.38134776709509255,,1738,46,1011906602,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14203817512666742,0.3738841767592256,,1738,36,1729841207,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14146361532012455,0.37893934436220134,,1738,36,3653141251,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14207896519249147,0.37352451327061087,,1738,46,826749499,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14317442634741445,0.36382673365792784,,1738,33,1399498030,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14159530138540474,0.37778253665581896,,1738,46,358916519,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.14213992810671303,0.3729867846219519,,1738,36,328531638,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.1421015571311472,0.3733252660280336,,1738,46,787755760,100,5.0,0.25,10,tt_type1
ai4i,3,12,,0.1426652779271745,0.36834333195054625,,1738,33,4192420569,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14172950648010382,0.37660249288329606,,2890,36,2582264110,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.1418750402555348,0.37532157438763225,,2890,36,1011906602,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.1418863224971662,0.37522221860024574,,2890,46,1729841207,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14115090771244393,0.3816820388537179,,2890,36,3653141251,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14162094703119105,0.3775571250272318,,2890,36,826749499,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14185525793618617,0.37549576607835444,,2890,36,1399498030,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14223049388353007,0.37218751547180695,,2890,46,358916519,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14128269532622353,0.3805268965938531,,2890,36,328531638,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.1414123525536783,0.3793893755417509,,2890,36,787755760,100,5.0,0.25,10,tt_type1
ai4i,3,16,,0.14062606406060987,0.3862716929703145,,2890,46,4192420569,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14201108438650736,0.3741229903528087,,2170,49,2582264110,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.1409125433854202,0.38376860706851246,,2170,63,1011906602,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.1435933906409969,0.3600980809586155,,2170,52,1729841207,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14405575714602536,0.3559705155095455,,2170,49,3653141251,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14218273021369984,0.3726091071062212,,2170,49,826749499,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14079511815904844,0.38479521490764235,,2170,54,1399498030,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14542642206464573,0.3436565582388953,,2170,47,358916519,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14131525813371915,0.380241311611734,,2170,46,328531638,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14407739534864092,0.35577702533090594,,2170,52,787755760,100,5.0,0.25,10,tt_type1
ai4i,4,8,,0.14129460238805167,0.38042247594490153,,2170,52,4192420569,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14261047226353082,0.36882854761018724,,4546,47,2582264110,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.1401861119183697,0.39010581457549276,,4546,55,1011906602,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.1404039991029677,0.3882084597346366,,4546,46,1729841207,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.1402019602236354,0.3899679073967288,,4546,47,3653141251,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14126773596577313,0.3806580723308326,,4546,46,826749499,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14090068281323156,0.3838723387754689,,4546,46,1399498030,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14134243560646448,0.3800029071430757,,4546,47,358916519,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14151818119382084,0.3784601362908139,,4546,46,328531638,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14159035201682366,0.37782603428195727,,4546,47,787755760,100,5.0,0.25,10,tt_type1
ai4i,4,12,,0.14367024419376573,0.3594129255163223,,4546,47,4192420569,100,5.0,0.25,10,tt_type1
ai4i,4,16,,0.13974288672384766,0.39395631203714776,,7786,47,2582264110,100,5.0,0.25,10,tt_type1
ai4i,4,16,,0.14096158302391304,0.3833396172501109,,7786,46,1011906602,100,5.0,0.25,10,tt_type1
ai4i,4,16,,0.14070473423289717,0.385584827172579,,7786,56,1729841207,100,5.0,0.25,10,tt_type1
