dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,,4,,120.34656235164535,-0.6940493279736695,,776,240,42,100,5.0,0.25,28,tnml_sin-cos
appliances,,4,,116.85052527002856,-0.5970555096944739,,776,203,43,100,5.0,0.25,28,tnml_sin-cos
appliances,,4,,119.95594067372832,-0.6830700619216132,,776,195,44,100,5.0,0.25,28,tnml_sin-cos
appliances,,4,,119.04524275144043,-0.6576115467463635,,776,275,45,100,5.0,0.25,28,tnml_sin-cos
appliances,,4,,120.44840305961576,-0.6969176472102865,,776,281,46,100,5.0,0.25,28,tnml_sin-cos
appliances,,8,,112.61491479702843,-0.48337343984642556,,2856,259,42,100,5.0,0.25,28,tnml_sin-cos
appliances,,8,,108.73252412472962,-0.382858085109272,,2856,194,43,100,5.0,0.25,28,tnml_sin-cos
appliances,,8,,113.92971505927264,-0.5182129650150336,,2856,184,44,100,5.0,0.25,28,tnml_sin-cos
appliances,,8,,111.05490023374878,-0.44256079831426964,,2856,234,45,100,5.0,0.25,28,tnml_sin-cos
appliances,,8,,110.82666450902454,-0.4366375012078487,,2856,153,46,100,5.0,0.25,28,tnml_sin-cos
appliances,,12,,108.0782064099583,-0.3662649624110159,,6024,153,42,100,5.0,0.25,28,tnml_sin-cos
appliances,,12,,106.07574777206014,-0.31610602526422227,,6024,207,43,100,5.0,0.25,28,tnml_sin-cos
appliances,,12,,109.92412914915592,-0.41333378552982425,,6024,172,44,100,5.0,0.25,28,tnml_sin-cos
appliances,,12,,106.43830750665882,-0.3251181231965723,,6024,159,45,100,5.0,0.25,28,tnml_sin-cos
appliances,,12,,106.17382649289576,-0.31854092058045946,,6024,199,46,100,5.0,0.25,28,tnml_sin-cos
appliances,,16,,103.80329445967998,-0.26032034716568564,,10408,159,42,100,5.0,0.25,28,tnml_sin-cos
appliances,,16,,103.40084054247012,-0.2505665605488576,,10408,153,43,100,5.0,0.25,28,tnml_sin-cos
appliances,,16,,105.3515432511502,-0.2981966288122999,,10408,152,44,100,5.0,0.25,28,tnml_sin-cos
appliances,,16,,106.52850598433986,-0.32736495112755604,,10408,148,45,100,5.0,0.25,28,tnml_sin-cos
appliances,,16,,105.29715410505128,-0.2968565520024473,,10408,154,46,100,5.0,0.25,28,tnml_sin-cos
