dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,,81.08123954209006,0.23104764338061134,,244,58,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,4,,81.33458183193365,0.226234877919808,,244,58,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,4,,81.17738798047552,0.22922287096808092,,244,58,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,4,,81.31698143985234,0.22656971940361414,,244,54,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,4,,81.14991648129994,0.2297444649967313,,244,58,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,8,,80.99741357723772,0.2326367866520248,,460,53,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,8,,80.83200075309833,0.23576780283534338,,460,53,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,8,,80.919156573324,0.23411887190480685,,460,53,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,8,,80.9376991746629,0.23376782881045644,,460,55,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,8,,80.75787467647034,0.23716882121846028,,460,55,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,12,,80.63911347967222,0.23941078537471583,,676,51,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,12,,80.60739031412207,0.24000909432265116,,676,51,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,12,,80.49837487262562,0.24206336550271423,,676,54,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,12,,80.62662854739223,0.2396462832448466,,676,51,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,12,,80.53019483911794,0.2414640419754327,,676,51,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,16,,80.56264980267316,0.24085251439378674,,892,53,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,16,,80.55443799316586,0.24100726741738365,,892,51,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,16,,80.55703838920925,0.24095826419411304,,892,51,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,16,,80.55414143699369,0.24101285577652987,,892,53,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,2,16,,80.55664072773571,0.2409657580373864,,892,53,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,4,,79.04856044260134,0.2691191142867869,,892,55,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,4,,79.20885082192319,0.2661520279242562,,892,126,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,4,,79.19799279452079,0.2663532073421362,,892,83,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,4,,79.01350254706675,0.26976725926719947,,892,126,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,4,,79.77115640801127,0.25569583509486926,,892,55,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,8,,77.00573881545147,0.30640675097006387,,2620,65,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,8,,78.03536996515827,0.28773490689802506,,2620,55,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,8,,78.12274626540444,0.28613896569827413,,2620,55,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,8,,77.74700585015927,0.2929892473677459,,2620,55,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,8,,77.64321193211869,0.29487573627093844,,2620,55,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,12,,76.577841850002,0.31409349941328146,,5212,55,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,12,,76.17079685322928,0.32136591087928434,,5212,55,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,12,,77.12913799389572,0.304182048887367,,5212,55,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,12,,76.72098732755552,0.31152679922112947,,5212,55,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,12,,76.46923019651686,0.3160377853026445,,5212,55,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,16,,76.36038889413564,0.317983413868433,,8668,55,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,16,,76.52218697234606,0.3150901368080604,,8668,55,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,16,,76.08552393621167,0.32288451692341236,,8668,55,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,16,,76.64107109872342,0.3129603450592323,,8668,55,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,3,16,,76.3568968108896,0.3180457918701668,,8668,55,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,4,,78.56758331925793,0.27798625890948914,,1972,88,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,4,,79.28105430847029,0.26481352770065913,,1972,90,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,4,,79.93046343011908,0.25272004074993415,,1972,87,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,4,,80.62293894405164,0.23971587165438402,,1972,73,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,4,,78.61157117320484,0.277177560859156,,1972,124,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,8,,77.39797965765645,0.2993229028481694,,6508,73,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,8,,77.21652223816855,0.3026044876341373,,6508,72,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,8,,77.20138051482431,0.30287797144946915,,6508,87,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,8,,77.81670752907829,0.29172098176467887,,6508,85,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,8,,77.62416195241663,0.2952217022533816,,6508,73,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,12,,77.17425920759261,0.30336769169906985,,13636,73,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,12,,77.21962142923446,0.3025485046591654,,13636,79,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,12,,76.43974080311186,0.31656520637618657,,13636,73,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,12,,77.6585493215116,0.2945971328156979,,13636,73,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,12,,76.75784078799997,0.3108652145696985,,13636,79,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,16,,76.6908457353615,0.31206765779950973,,23356,73,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,16,,76.61711287403196,0.3133898191630693,,23356,73,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,16,,75.4605520394604,0.3339625806153347,,23356,73,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,16,,75.99538771166209,0.32448788319634947,,23356,73,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,4,16,,76.28591991645422,0.31931301192674777,,23356,73,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,4,,81.67787044177834,0.2196894378896641,,3484,79,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,4,,79.16652172464472,0.26693615297672646,,3484,108,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,4,,80.89240801410612,0.2346251260879687,,3484,80,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,4,,80.49402740216398,0.24214523096039986,,3484,108,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,4,,81.38421130799537,0.22529030372161096,,3484,79,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,8,,79.98772903665775,0.2516488904572921,,12124,79,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,8,,77.37857232373244,0.2996742445651551,,12124,107,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,8,,80.56666017778791,0.2407769324220348,,12124,79,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,8,,77.39452771669036,0.2993854016898593,,12124,103,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,8,,80.17629423548036,0.2481163659262986,,12124,79,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,12,,80.41319528839259,0.2436665424598874,,25948,79,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,12,,80.22603807912037,0.2471830929474812,,25948,79,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,12,,79.61795166407339,0.25855204109456276,,25948,80,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,12,,79.58567362740277,0.25915310235409206,,25948,79,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,12,,76.16720626053691,0.3214298892350437,,25948,107,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,16,,82.73628193562385,0.19933531376119173,,44956,51,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,16,,82.40779193546503,0.2056804919196774,,44956,51,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,16,,82.75284582091537,0.1990146939495666,,44956,51,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,16,,82.71453738985672,0.199756115897046,,44956,51,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,5,16,,79.14046860386914,0.26741856543901665,,44956,80,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,4,,81.72602310057503,0.21876911262134358,,5428,103,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,4,,82.20237412649617,0.20963555504129205,,5428,97,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,4,,81.43979839021415,0.22423165714541582,,5428,115,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,4,,78.47020747935969,0.2797748623715779,,5428,139,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,4,,81.04309724120796,0.23177093556721584,,5428,113,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,8,,83.91726709933498,0.1763146584617613,,19468,70,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,8,,84.39204277619586,0.16696802365344898,,19468,71,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,8,,84.6038387123015,0.1627815109157864,,19468,71,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,8,,93.40471289724438,-0.02046062796745529,,19468,24,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,8,,80.08918251324761,0.24974932482298207,,19468,99,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,12,,83.1999685566548,0.19033568673746692,,42148,72,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,12,,83.10261512865331,0.19222937687956265,,42148,70,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,12,,82.61279864037891,0.20172350262140648,,42148,72,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,12,,82.87613064216401,0.19662630748490362,,42148,71,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,12,,82.96631941548117,0.19487683603875905,,42148,72,46,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,16,,89.44830888750009,0.06415711723201689,,73468,24,42,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,16,,82.30588921211361,0.20764373528006463,,73468,71,43,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,16,,81.99903260957723,0.2135409198268886,,73468,72,44,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,16,,82.8007179762879,0.198087692978968,,73468,71,45,100,5.0,0.25,10,tt_cumsum_type1
appliances,6,16,,83.04243922837657,0.19339879195428822,,73468,71,46,100,5.0,0.25,10,tt_cumsum_type1
