dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,0.25,81.0838654046686,0.23099783664541074,,224,29,42,100,5.0,0.25,10,tt_lin
appliances,2,4,0.25,80.67835473250418,0.23867035720160068,,224,24,43,100,5.0,0.25,10,tt_lin
appliances,2,4,0.25,81.05336133501105,0.23157633109685272,,224,21,44,100,5.0,0.25,10,tt_lin
appliances,2,4,0.25,81.2714382790085,0.22743582621118275,,224,21,45,100,5.0,0.25,10,tt_lin
appliances,2,4,0.25,80.72076404860269,0.23786974703334152,,224,21,46,100,5.0,0.25,10,tt_lin
appliances,2,4,0.5,80.39210638736348,0.24406319750747874,,224,28,42,100,5.0,0.25,10,tt_lin
appliances,2,4,0.5,80.78184289686635,0.23671595097857234,,224,29,43,100,5.0,0.25,10,tt_lin
appliances,2,4,0.5,81.43813442275797,0.22426335761899963,,224,19,44,100,5.0,0.25,10,tt_lin
appliances,2,4,0.5,80.67168293478916,0.23879627021415062,,224,28,45,100,5.0,0.25,10,tt_lin
appliances,2,4,0.5,80.75091552625047,0.2373002864917928,,224,24,46,100,5.0,0.25,10,tt_lin
appliances,2,4,0.75,80.80407088734233,0.23629584160277017,,224,24,42,100,5.0,0.25,10,tt_lin
appliances,2,4,0.75,80.67351804779203,0.23876163821690521,,224,22,43,100,5.0,0.25,10,tt_lin
appliances,2,4,0.75,80.50958649169631,0.24185222363535386,,224,22,44,100,5.0,0.25,10,tt_lin
appliances,2,4,0.75,81.25806409265117,0.2276900746234336,,224,22,45,100,5.0,0.25,10,tt_lin
appliances,2,4,0.75,80.98169172329207,0.23293465299032745,,224,19,46,100,5.0,0.25,10,tt_lin
appliances,2,8,0.25,80.3066678284969,0.2456691221110684,,448,22,42,100,5.0,0.25,10,tt_lin
appliances,2,8,0.25,80.62035262956753,0.23976464939282371,,448,20,43,100,5.0,0.25,10,tt_lin
appliances,2,8,0.25,80.48648469223804,0.24228725418996822,,448,20,44,100,5.0,0.25,10,tt_lin
appliances,2,8,0.25,80.2147031705843,0.24739580463512445,,448,28,45,100,5.0,0.25,10,tt_lin
appliances,2,8,0.25,80.52767175537005,0.24151157246434762,,448,28,46,100,5.0,0.25,10,tt_lin
appliances,2,8,0.5,80.52125340504897,0.2416324762562454,,448,27,42,100,5.0,0.25,10,tt_lin
appliances,2,8,0.5,80.33043039852024,0.2452226463014704,,448,27,43,100,5.0,0.25,10,tt_lin
appliances,2,8,0.5,80.60023673894139,0.2401439804867842,,448,27,44,100,5.0,0.25,10,tt_lin
appliances,2,8,0.5,80.63292243550856,0.23952756891697002,,448,22,45,100,5.0,0.25,10,tt_lin
appliances,2,8,0.5,80.3720727802156,0.2444399074771565,,448,28,46,100,5.0,0.25,10,tt_lin
appliances,2,8,0.75,80.4009415400804,0.24389703233534898,,448,28,42,100,5.0,0.25,10,tt_lin
appliances,2,8,0.75,80.5887150352839,0.24036120590663235,,448,28,43,100,5.0,0.25,10,tt_lin
appliances,2,8,0.75,80.44772180324686,0.24301691861715458,,448,22,44,100,5.0,0.25,10,tt_lin
appliances,2,8,0.75,80.4833886640849,0.24234554608537873,,448,28,45,100,5.0,0.25,10,tt_lin
appliances,2,8,0.75,80.42807680452124,0.2433865777106874,,448,26,46,100,5.0,0.25,10,tt_lin
appliances,2,12,0.25,80.02701604998241,0.25091358516533446,,672,22,42,100,5.0,0.25,10,tt_lin
appliances,2,12,0.25,80.07177800773523,0.2500753694344162,,672,27,43,100,5.0,0.25,10,tt_lin
appliances,2,12,0.25,80.11148955136463,0.24933133576170952,,672,27,44,100,5.0,0.25,10,tt_lin
appliances,2,12,0.25,80.0177625462158,0.25108680849788967,,672,28,45,100,5.0,0.25,10,tt_lin
appliances,2,12,0.25,80.0227992998857,0.2509925241824158,,672,22,46,100,5.0,0.25,10,tt_lin
appliances,2,12,0.5,80.0480177225696,0.2505203646580181,,672,27,42,100,5.0,0.25,10,tt_lin
appliances,2,12,0.5,80.10940579617355,0.24937038607500583,,672,27,43,100,5.0,0.25,10,tt_lin
appliances,2,12,0.5,79.98492577205613,0.25170134323823323,,672,28,44,100,5.0,0.25,10,tt_lin
appliances,2,12,0.5,79.98526332713374,0.2516950272345183,,672,22,45,100,5.0,0.25,10,tt_lin
appliances,2,12,0.5,80.13517408990882,0.2488874077014287,,672,27,46,100,5.0,0.25,10,tt_lin
appliances,2,12,0.75,80.02078948647109,0.2510301471194214,,672,27,42,100,5.0,0.25,10,tt_lin
appliances,2,12,0.75,80.03007302405432,0.25085635495489333,,672,20,43,100,5.0,0.25,10,tt_lin
appliances,2,12,0.75,80.09241516378043,0.24968875866123397,,672,27,44,100,5.0,0.25,10,tt_lin
appliances,2,12,0.75,80.1225024876725,0.249124932548608,,672,27,45,100,5.0,0.25,10,tt_lin
appliances,2,12,0.75,80.12386092574613,0.24909947088938766,,672,26,46,100,5.0,0.25,10,tt_lin
appliances,2,16,0.25,79.93737165321035,0.25259086347420434,,896,26,42,100,5.0,0.25,10,tt_lin
appliances,2,16,0.25,79.9331178982495,0.2526704060127106,,896,26,43,100,5.0,0.25,10,tt_lin
appliances,2,16,0.25,79.93737409041266,0.2525908178988431,,896,27,44,100,5.0,0.25,10,tt_lin
appliances,2,16,0.25,79.92994715213574,0.2527296942144037,,896,22,45,100,5.0,0.25,10,tt_lin
appliances,2,16,0.25,79.9336713824681,0.2526600564459901,,896,27,46,100,5.0,0.25,10,tt_lin
appliances,2,16,0.5,79.93769357735128,0.2525848435232425,,896,27,42,100,5.0,0.25,10,tt_lin
appliances,2,16,0.5,79.9353243644544,0.2526291470128059,,896,27,43,100,5.0,0.25,10,tt_lin
appliances,2,16,0.5,79.93764321353754,0.2525857853233916,,896,27,44,100,5.0,0.25,10,tt_lin
appliances,2,16,0.5,79.93806453690168,0.25257790658470125,,896,27,45,100,5.0,0.25,10,tt_lin
appliances,2,16,0.5,79.93755317357588,0.252587469063533,,896,26,46,100,5.0,0.25,10,tt_lin
appliances,2,16,0.75,79.93729765803792,0.25259224717349793,,896,27,42,100,5.0,0.25,10,tt_lin
appliances,2,16,0.75,79.91944636036449,0.25292602649566986,,896,24,43,100,5.0,0.25,10,tt_lin
appliances,2,16,0.75,79.89813957140888,0.2533243181843744,,896,22,44,100,5.0,0.25,10,tt_lin
appliances,2,16,0.75,79.91062353499068,0.2530909660612294,,896,22,45,100,5.0,0.25,10,tt_lin
appliances,2,16,0.75,79.93347233354305,0.2526637784576188,,896,26,46,100,5.0,0.25,10,tt_lin
appliances,3,4,0.25,78.66140721216122,0.2762607994964912,,672,51,42,100,5.0,0.25,10,tt_lin
appliances,3,4,0.25,79.73050665527987,0.25645420623447446,,672,49,43,100,5.0,0.25,10,tt_lin
appliances,3,4,0.25,78.19613227242226,0.28479717937081095,,672,51,44,100,5.0,0.25,10,tt_lin
