dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,0.25,80.86980464992665,0.23505279613514263,,244,58,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.25,80.99346421931031,0.23271161664897377,,244,54,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.25,81.03090270416958,0.23200210869074467,,244,58,44,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.25,81.31959574087169,0.2265199877968086,,244,58,45,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.25,81.47022723441566,0.2236518388137294,,244,54,46,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.5,80.8470245889865,0.235483688474041,,244,58,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.5,81.44187186941426,0.2241921541006704,,244,58,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.5,81.10287358922938,0.23063724583442602,,244,58,44,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.5,81.65596351700566,0.22010795791869775,,244,58,45,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.5,81.33417306348773,0.2262426554226742,,244,58,46,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.75,80.7315509828431,0.23766604236530975,,244,58,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.75,81.24870912830362,0.2278678912132558,,244,56,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.75,81.35743681297608,0.22579996151769455,,244,60,44,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.75,81.21902138132288,0.22843205217027762,,244,54,45,100,5.0,0.25,10,tt_lin_type1
appliances,2,4,0.75,81.3316781389412,0.22629012468462928,,244,58,46,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.25,80.69181450870086,0.23841630686971693,,460,54,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.25,80.87124470086523,0.2350255530188412,,460,53,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.25,80.87368088491276,0.23497946379092283,,460,53,44,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.25,80.78764358713687,0.23660632898523537,,460,53,45,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.25,80.7292522515686,0.23770945478436956,,460,55,46,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.5,80.66859838862518,0.2388544795652161,,460,54,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.5,81.12115861721963,0.23029029375491783,,460,53,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.5,80.91108191697666,0.2342717137934851,,460,53,44,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.5,80.82064674198182,0.23598248245158138,,460,53,45,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.5,81.05058070575977,0.23162905351687135,,460,53,46,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.75,81.1332767057917,0.23006031412369932,,460,55,42,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.75,80.99642828749585,0.23265545565564816,,460,53,43,100,5.0,0.25,10,tt_lin_type1
appliances,2,8,0.75,80.84565071437875,0.2355096718822962,,460,53,44,100,5.0,0.25,10,tt_lin_type1
