dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,3,8,,77.07656430142968,0.30513030922812134,,2620,65,2582264110,100,5.0,0.25,10,tt_type1
appliances,3,8,,77.0790193440642,0.30508604254601235,,2620,65,1011906602,100,5.0,0.25,10,tt_type1
appliances,3,8,,78.13601023568539,0.2858965411598108,,2620,55,1729841207,100,5.0,0.25,10,tt_type1
appliances,3,8,,78.10735617222159,0.28642019763672055,,2620,55,3653141251,100,5.0,0.25,10,tt_type1
appliances,3,8,,77.15732238411371,0.30367342689805166,,2620,57,826749499,100,5.0,0.25,10,tt_type1
appliances,3,8,,77.3221400531539,0.3006953686307696,,2620,66,1399498030,100,5.0,0.25,10,tt_type1
appliances,3,8,,76.9579038536262,0.3072681855131787,,2620,65,358916519,100,5.0,0.25,10,tt_type1
appliances,3,8,,78.02351270269779,0.28795134394490907,,2620,55,328531638,100,5.0,0.25,10,tt_type1
appliances,3,8,,77.77780143505385,0.2924290425979209,,2620,55,787755760,100,5.0,0.25,10,tt_type1
appliances,3,8,,78.13435094283314,0.28592687017661467,,2620,55,4192420569,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.1597071285382,0.32156350149613344,,5212,55,2582264110,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.38930162317007,0.31746684515568824,,5212,55,1011906602,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.56253208518969,0.3143677306332989,,5212,55,1729841207,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.13544898927344,0.3219956193881788,,5212,55,3653141251,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.36553574143768,0.3178914721280711,,5212,55,826749499,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.53260539221964,0.31490362451481835,,5212,55,1399498030,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.62275444751381,0.3132887006464635,,5212,55,358916519,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.32675909115959,0.3185840140780767,,5212,55,328531638,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.67642946263433,0.31232626723416335,,5212,55,787755760,100,5.0,0.25,10,tt_type1
appliances,3,12,,76.27973842245571,0.3194233204099264,,5212,55,4192420569,100,5.0,0.25,10,tt_type1
appliances,3,16,,76.01930047630842,0.3240627020329717,,8668,55,2582264110,100,5.0,0.25,10,tt_type1
appliances,3,16,,76.25405455516416,0.3198815521421158,,8668,55,1011906602,100,5.0,0.25,10,tt_type1
