dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,2,4,,,,0.8969330580949573,272,21,2582264110,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8975228546151578,272,21,1011906602,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8964907107048068,272,22,1729841207,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8967856089649071,272,23,3653141251,100,5.0,0.25,10,cpd
bank,2,4,,,,0.896638159834857,272,27,826749499,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8959009141846063,272,22,1399498030,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8960483633146564,272,28,358916519,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8972279563550575,272,23,328531638,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8964907107048068,272,24,787755760,100,5.0,0.25,10,cpd
bank,2,4,,,,0.8964907107048068,272,28,4192420569,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8821881450899439,544,10,2582264110,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8987024476555588,544,18,1011906602,100,5.0,0.25,10,cpd
bank,2,8,,,,0.897670303745208,544,18,1729841207,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8892657033323503,544,12,3653141251,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8979652020053082,544,21,826749499,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8821881450899439,544,10,1399498030,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8970805072250073,544,26,358916519,100,5.0,0.25,10,cpd
bank,2,8,,,,0.897670303745208,544,18,328531638,100,5.0,0.25,10,cpd
bank,2,8,,,,0.897670303745208,544,18,787755760,100,5.0,0.25,10,cpd
bank,2,8,,,,0.8975228546151578,544,23,4192420569,100,5.0,0.25,10,cpd
bank,2,12,,,,0.8979652020053082,816,17,2582264110,100,5.0,0.25,10,cpd
bank,2,12,,,,0.8973754054851076,816,17,1011906602,100,5.0,0.25,10,cpd
bank,2,12,,,,0.8987024476555588,816,18,1729841207,100,5.0,0.25,10,cpd
bank,2,12,,,,0.8969330580949573,816,23,3653141251,100,5.0,0.25,10,cpd
