dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,2,4,,,,0.897817752875258,298,41,2582264110,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.897670303745208,298,31,1011906602,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8970805072250073,298,39,1729841207,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8848422294308463,298,17,3653141251,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.896638159834857,298,27,826749499,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8964907107048068,298,33,1399498030,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8969330580949573,298,27,358916519,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.897670303745208,298,31,328531638,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8984075493954585,298,31,787755760,100,5.0,0.25,10,cpd_type1
bank,2,4,,,,0.8970805072250073,298,27,4192420569,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8858743733411973,562,16,2582264110,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8817457976997936,562,15,1011906602,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8969330580949573,562,27,1729841207,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8873488646416986,562,17,3653141251,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8975228546151578,562,34,826749499,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8970805072250073,562,29,1399498030,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8818932468298437,562,14,358916519,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8982601002654085,562,28,328531638,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.8823355942199941,562,14,787755760,100,5.0,0.25,10,cpd_type1
bank,2,8,,,,0.896638159834857,562,25,4192420569,100,5.0,0.25,10,cpd_type1
bank,2,12,,,,0.8827779416101444,826,15,2582264110,100,5.0,0.25,10,cpd_type1
