dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,3,8,0.25,,,0.8801238572692421,2720,8,2582264110,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8783544677086406,2720,7,1011906602,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8538779121203185,2720,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8829253907401946,2720,7,3653141251,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8789442642288411,2720,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8804187555293423,2720,9,1399498030,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8724565025066352,2720,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8808611029194928,2720,8,328531638,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8608080212326747,2720,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,8,0.25,,,0.8824830433500442,2720,8,4192420569,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8801238572692421,2720,8,2582264110,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8783544677086406,2720,7,1011906602,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8538779121203185,2720,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8829253907401946,2720,7,3653141251,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8789442642288411,2720,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8804187555293423,2720,9,1399498030,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8724565025066352,2720,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8808611029194928,2720,8,328531638,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8608080212326747,2720,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,8,0.5,,,0.8824830433500442,2720,8,4192420569,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8801238572692421,2720,8,2582264110,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8783544677086406,2720,7,1011906602,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8538779121203185,2720,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8829253907401946,2720,7,3653141251,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8789442642288411,2720,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8804187555293423,2720,9,1399498030,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8724565025066352,2720,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8808611029194928,2720,8,328531638,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8608080212326747,2720,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,8,0.75,,,0.8824830433500442,2720,8,4192420569,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8700973164258331,5712,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8826304924800944,5712,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8867590681214981,5712,9,1729841207,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8802713063992923,5712,8,3653141251,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8764376290179888,5712,6,826749499,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8593335299321734,5712,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8804187555293423,5712,7,358916519,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8656738425243291,5712,5,328531638,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8759952816278384,5712,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,12,0.25,,,0.8752580359775878,5712,5,4192420569,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8700973164258331,5712,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8826304924800944,5712,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8867590681214981,5712,9,1729841207,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8802713063992923,5712,8,3653141251,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8764376290179888,5712,6,826749499,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8593335299321734,5712,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8804187555293423,5712,7,358916519,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8656738425243291,5712,5,328531638,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8759952816278384,5712,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,12,0.5,,,0.8752580359775878,5712,5,4192420569,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8700973164258331,5712,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8826304924800944,5712,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8867590681214981,5712,9,1729841207,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8802713063992923,5712,8,3653141251,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8764376290179888,5712,6,826749499,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8593335299321734,5712,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8804187555293423,5712,7,358916519,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8656738425243291,5712,5,328531638,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8759952816278384,5712,6,787755760,100,5.0,0.25,10,tt_lin
bank,3,12,0.75,,,0.8752580359775878,5712,5,4192420569,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8675906812149808,9792,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8815983485697434,9792,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8751105868475376,9792,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8786493659687408,9792,6,3653141251,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8869065172515482,9792,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8718667059864347,9792,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8705396638159835,9792,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8814508994396933,9792,9,328531638,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8802713063992923,9792,7,787755760,100,5.0,0.25,10,tt_lin
bank,3,16,0.25,,,0.8746682394573873,9792,6,4192420569,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8675906812149808,9792,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8815983485697434,9792,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8751105868475376,9792,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8786493659687408,9792,6,3653141251,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8869065172515482,9792,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8718667059864347,9792,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8705396638159835,9792,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8814508994396933,9792,9,328531638,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8802713063992923,9792,7,787755760,100,5.0,0.25,10,tt_lin
bank,3,16,0.5,,,0.8746682394573873,9792,6,4192420569,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8675906812149808,9792,6,2582264110,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8815983485697434,9792,9,1011906602,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8751105868475376,9792,5,1729841207,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8786493659687408,9792,6,3653141251,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8869065172515482,9792,8,826749499,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8718667059864347,9792,6,1399498030,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8705396638159835,9792,5,358916519,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8814508994396933,9792,9,328531638,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8802713063992923,9792,7,787755760,100,5.0,0.25,10,tt_lin
bank,3,16,0.75,,,0.8746682394573873,9792,6,4192420569,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.7783839575346505,4896,5,2582264110,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.8375110586847537,4896,6,1011906602,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.8543202595104689,4896,6,1729841207,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.7677676201710409,4896,4,3653141251,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.8105278678855795,4896,5,826749499,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.7761722205838986,4896,4,1399498030,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.8507814803892657,4896,6,358916519,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.548805662046594,4896,4,328531638,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.8285166617516957,4896,6,787755760,100,5.0,0.25,10,tt_lin
bank,4,8,0.25,,,0.7935712179298142,4896,7,4192420569,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.7783839575346505,4896,5,2582264110,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.8375110586847537,4896,6,1011906602,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.8543202595104689,4896,6,1729841207,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.7677676201710409,4896,4,3653141251,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.8105278678855795,4896,5,826749499,100,5.0,0.25,10,tt_lin
bank,4,8,0.5,,,0.7761722205838986,4896,4,1399498030,100,5.0,0.25,10,tt_lin
