dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,2,4,0.25,,,0.8973754054851076,298,45,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.896638159834857,298,32,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8961958124447066,298,27,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8835151872603951,298,11,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8969330580949573,298,28,46,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8964907107048068,298,35,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8970805072250073,298,31,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.897817752875258,298,27,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8970805072250073,298,31,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8957534650545562,298,25,46,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.897670303745208,298,30,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.896638159834857,298,29,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8839575346505456,298,15,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8967856089649071,298,37,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8973754054851076,298,30,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8838100855204954,562,11,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8960483633146564,562,25,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8967856089649071,562,25,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.897817752875258,562,25,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8961958124447066,562,29,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8849896785608965,562,15,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.884399882040696,562,15,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8972279563550575,562,24,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8975228546151578,562,25,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.896638159834857,562,25,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8967856089649071,562,23,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8857269242111472,562,15,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8830728398702448,562,12,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8969330580949573,562,28,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8973754054851076,562,25,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8848422294308463,826,15,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8833677381303451,826,14,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8849896785608965,826,15,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8936891772338543,826,21,45,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8973754054851076,826,21,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8864641698613979,826,14,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8802713063992923,826,11,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8972279563550575,826,31,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8973754054851076,826,21,45,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8841049837805957,826,14,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8975228546151578,826,22,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8854320259510469,826,14,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8857269242111472,826,14,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8857269242111472,826,14,45,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8835151872603951,826,14,46,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.25,,,0.8972279563550575,1090,22,42,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.25,,,0.8973754054851076,1090,23,43,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.25,,,0.8969330580949573,1090,22,44,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.25,,,0.8839575346505456,1090,15,45,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.25,,,0.8975228546151578,1090,23,46,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.5,,,0.897670303745208,1090,23,42,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.5,,,0.8972279563550575,1090,22,43,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.5,,,0.8975228546151578,1090,24,44,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.5,,,0.8849896785608965,1090,14,45,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.5,,,0.8981126511353583,1090,22,46,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.75,,,0.8817457976997936,1090,12,42,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.75,,,0.8854320259510469,1090,13,43,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.75,,,0.8842524329106458,1090,14,44,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.75,,,0.8981126511353583,1090,23,45,100,5.0,0.25,10,tt_lin_type1
bank,2,16,0.75,,,0.8970805072250073,1090,22,46,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.25,,,0.8801238572692421,1090,12,42,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.25,,,0.8814508994396933,1090,14,43,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.25,,,0.8857269242111472,1090,20,44,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.25,,,0.8815983485697434,1090,14,45,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.25,,,0.8817457976997936,1090,12,46,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.5,,,0.8805662046593925,1090,7,42,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.5,,,0.8808611029194928,1090,14,43,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.5,,,0.8808611029194928,1090,11,44,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.5,,,0.8867590681214981,1090,23,45,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.5,,,0.8787968150987909,1090,14,46,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.75,,,0.8815983485697434,1090,13,42,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.75,,,0.8879386611618991,1090,28,43,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.75,,,0.881156001179593,1090,7,44,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.75,,,0.8807136537894427,1090,13,45,100,5.0,0.25,10,tt_lin_type1
bank,3,4,0.75,,,0.8845473311707461,1090,18,46,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.25,,,0.884399882040696,3202,17,42,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.25,,,0.8814508994396933,3202,7,43,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.25,,,0.8827779416101444,3202,15,44,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.25,,,0.8860218224712474,3202,18,45,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.25,,,0.8804187555293423,3202,8,46,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.5,,,0.8815983485697434,3202,15,42,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.5,,,0.8787968150987909,3202,8,43,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.5,,,0.8846947803007962,3202,18,44,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.5,,,0.8879386611618991,3202,21,45,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.5,,,0.8821881450899439,3202,9,46,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.75,,,0.8885284576820996,3202,20,42,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.75,,,0.8823355942199941,3202,13,43,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.75,,,0.8802713063992923,3202,8,44,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.75,,,0.8824830433500442,3202,14,45,100,5.0,0.25,10,tt_lin_type1
bank,3,8,0.75,,,0.885579475081097,3202,17,46,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.25,,,0.8814508994396933,6370,8,42,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.25,,,0.8805662046593925,6370,7,43,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.25,,,0.8842524329106458,6370,17,44,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.25,,,0.8845473311707461,6370,17,45,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.25,,,0.8848422294308463,6370,17,46,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.5,,,0.8830728398702448,6370,14,42,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.5,,,0.8802713063992923,6370,7,43,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.5,,,0.8810085520495429,6370,8,44,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.5,,,0.8845473311707461,6370,17,45,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.5,,,0.8839575346505456,6370,13,46,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.75,,,0.8905927455028015,6370,20,42,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.75,,,0.8821881450899439,6370,8,43,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.75,,,0.879976408139192,6370,8,44,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.75,,,0.8818932468298437,6370,8,45,100,5.0,0.25,10,tt_lin_type1
bank,3,12,0.75,,,0.8817457976997936,6370,7,46,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.25,,,0.8802713063992923,10594,7,42,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.25,,,0.8826304924800944,10594,8,43,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.25,,,0.893394278973754,10594,19,44,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.25,,,0.8802713063992923,10594,7,45,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.25,,,0.8854320259510469,10594,14,46,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.5,,,0.8815983485697434,10594,7,42,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.5,,,0.885579475081097,10594,17,43,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.5,,,0.8814508994396933,10594,7,44,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.5,,,0.8826304924800944,10594,8,45,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.5,,,0.8813034503096432,10594,7,46,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.75,,,0.8851371276909467,10594,17,42,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.75,,,0.8858743733411973,10594,17,43,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.75,,,0.893394278973754,10594,19,44,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.75,,,0.8818932468298437,10594,7,45,100,5.0,0.25,10,tt_lin_type1
bank,3,16,0.75,,,0.8857269242111472,10594,17,46,100,5.0,0.25,10,tt_lin_type1
bank,4,4,0.25,,,0.8817457976997936,2410,13,42,100,5.0,0.25,10,tt_lin_type1
