dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,,122.02195521659705,0.5400611830951129,,109,55,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,4,,122.16675599323439,0.5389689368045735,,109,57,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,4,,121.85550376470923,0.5413151421433355,,109,57,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,4,,122.10492082639539,0.5394355239342687,,109,57,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,4,,121.9390575262848,0.5406859053286119,,109,58,826749499,100,5.0,0.25,10,cpd_type1
bike,2,4,,121.81442667917887,0.541624332304842,,109,59,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,4,,121.78135967676218,0.5418731542629018,,109,58,358916519,100,5.0,0.25,10,cpd_type1
bike,2,4,,122.3838077356863,0.5373292683197447,,109,38,328531638,100,5.0,0.25,10,cpd_type1
bike,2,4,,122.04085246059581,0.539918712847791,,109,34,787755760,100,5.0,0.25,10,cpd_type1
bike,2,4,,121.79180963126254,0.5417945279426242,,109,59,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.81822753720022,0.5415957273512044,,205,28,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.82466576632724,0.5415472717171035,,205,55,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.87884784031505,0.5411393831615134,,205,25,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.82635136292028,0.5415345850957515,,205,25,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.81899412544483,0.5415899579611962,,205,55,826749499,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.83739186239599,0.5414514845764686,,205,32,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.84234304466794,0.5414142151737564,,205,28,358916519,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.82346249126388,0.541556328044209,,205,57,328531638,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.7647279984369,0.5419982784700675,,205,25,787755760,100,5.0,0.25,10,cpd_type1
bike,2,8,,121.7550620016141,0.5420709902897034,,205,25,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.84414540528289,0.5414006477545853,,301,28,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.84917252449267,0.5413628046368042,,301,29,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.83870776072345,0.5414415794648474,,301,25,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.75660315056867,0.5420593974857656,,301,28,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.78136697934936,0.5418730993199887,,301,28,826749499,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.82990829282109,0.5415078133319994,,301,25,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.83213609819724,0.5414910450242538,,301,28,358916519,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.83628624110901,0.541459806794988,,301,28,328531638,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.83026615632876,0.5415051197756232,,301,25,787755760,100,5.0,0.25,10,cpd_type1
bike,2,12,,121.7693493421202,0.5419635126793015,,301,28,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.8207083925094,0.5415770561510636,,397,24,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.86788449170886,0.54122193108074,,397,25,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.85429145343481,0.5413242687899178,,397,24,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.82881262865945,0.5415160600951372,,397,53,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.85106285201815,0.5413485742366855,,397,25,826749499,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.86216943335064,0.5412649593481063,,397,24,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.85766550076158,0.5412988677140576,,397,24,358916519,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.83760717989921,0.5414498638325052,,397,24,328531638,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.85024460857234,0.5413547340067228,,397,24,787755760,100,5.0,0.25,10,cpd_type1
bike,2,16,,121.85803413131545,0.5412960924843251,,397,25,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82228626172811,0.5415651807294504,,1549,51,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82227462601986,0.5415652683031402,,1549,50,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.8222656957573,0.5415653355148613,,1549,50,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82229079140495,0.5415651466377964,,1549,50,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82227140334221,0.5415652925579385,,1549,51,826749499,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.8224490217229,0.5415639557499999,,1549,50,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82236046802458,0.5415646222313051,,1549,50,358916519,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82236311760069,0.5415646022898193,,1549,50,328531638,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82234723438819,0.5415647218315222,,1549,50,787755760,100,5.0,0.25,10,cpd_type1
bike,2,64,,121.82236041981687,0.5415646225941304,,1549,50,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82138167017108,0.5415719889209567,,3469,50,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82138864615206,0.5415719364181015,,3469,50,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82139909048567,0.5415718578116122,,3469,50,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82134174458614,0.5415722894101359,,3469,49,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82137494092953,0.5415720395667907,,3469,50,826749499,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.8213242057915,0.5415724214111266,,3469,50,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82124444576074,0.5415730217031696,,3469,49,358916519,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82130427280816,0.5415725714313073,,3469,49,328531638,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82110237311183,0.5415740909731062,,3469,50,787755760,100,5.0,0.25,10,cpd_type1
bike,2,144,,121.82116273359145,0.5415736366870414,,3469,50,4192420569,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82076166181126,0.5415766552360495,,6157,49,2582264110,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82077708851234,0.5415765391316965,,6157,50,1011906602,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82076362474702,0.5415766404626139,,6157,50,1729841207,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82078227180185,0.5415765001212482,,6157,49,3653141251,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.8207750847245,0.5415765542125943,,6157,49,826749499,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82076651679104,0.5415766186965288,,6157,50,1399498030,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82077274483437,0.5415765718230633,,6157,49,358916519,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82079110312878,0.5415764336549544,,6157,50,328531638,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82083962417654,0.5415760684759733,,6157,49,787755760,100,5.0,0.25,10,cpd_type1
bike,2,256,,121.82070698170577,0.5415770667690407,,6157,49,4192420569,100,5.0,0.25,10,cpd_type1
bike,3,4,,112.77014882954225,0.6071629765526709,,253,141,2582264110,100,5.0,0.25,10,cpd_type1
bike,3,4,,110.82398786323532,0.6206049574269696,,253,141,1011906602,100,5.0,0.25,10,cpd_type1
bike,3,4,,109.72184177217167,0.6281136118897523,,253,141,1729841207,100,5.0,0.25,10,cpd_type1
bike,3,4,,110.01718964841048,0.6261088390835035,,253,141,3653141251,100,5.0,0.25,10,cpd_type1
bike,3,4,,110.42584230154937,0.6233260851646676,,253,141,826749499,100,5.0,0.25,10,cpd_type1
bike,3,4,,112.35576833659691,0.61004467745414,,253,141,1399498030,100,5.0,0.25,10,cpd_type1
bike,3,4,,109.84515759485205,0.6272772196861807,,253,134,358916519,100,5.0,0.25,10,cpd_type1
bike,3,4,,111.10808646433405,0.6186572968569124,,253,148,328531638,100,5.0,0.25,10,cpd_type1
bike,3,4,,110.46564967637785,0.6230544621085705,,253,141,787755760,100,5.0,0.25,10,cpd_type1
bike,3,4,,110.7759192377553,0.6209340024923609,,253,142,4192420569,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.29239808770747,0.6310189901158858,,493,116,2582264110,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.57911194582744,0.6290805069963343,,493,138,1011906602,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.42172531047231,0.6301452326808251,,493,138,1729841207,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.94922520967253,0.6265706478956236,,493,138,3653141251,100,5.0,0.25,10,cpd_type1
bike,3,8,,110.16379713856585,0.6251116900395562,,493,138,826749499,100,5.0,0.25,10,cpd_type1
bike,3,8,,108.9812733857832,0.6331167701691339,,493,138,1399498030,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.22907780019034,0.6314464162844997,,493,141,358916519,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.30947632513136,0.6309036657612612,,493,138,328531638,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.50489361757798,0.6295827870649218,,493,141,787755760,100,5.0,0.25,10,cpd_type1
bike,3,8,,109.58742729161818,0.629024210849813,,493,139,4192420569,100,5.0,0.25,10,cpd_type1
bike,3,12,,109.49872790990956,0.6296244988072459,,733,131,2582264110,100,5.0,0.25,10,cpd_type1
bike,3,12,,109.48078326640443,0.629745883080192,,733,88,1011906602,100,5.0,0.25,10,cpd_type1
bike,3,12,,108.95030866607335,0.6333252247432349,,733,69,1729841207,100,5.0,0.25,10,cpd_type1
bike,3,12,,109.5897652224685,0.6290083819355801,,733,131,3653141251,100,5.0,0.25,10,cpd_type1
