dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,1,4,,129.65258175724426,0.4807381180612472,,296,139,2582264110,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.99674486097302,0.4779776952047332,,296,132,1011906602,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,130.43026506639254,0.4744901529920419,,296,99,1729841207,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.59700873368078,0.4811831654012627,,296,177,3653141251,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.80828505033614,0.47949017788379733,,296,221,826749499,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.7767051761749,0.47974340725501374,,296,132,1399498030,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.87417079690616,0.4789616618276169,,296,132,358916519,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,130.27319472852733,0.4757550788690147,,296,186,328531638,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,130.3912158062391,0.47480476860494414,,296,112,787755760,100,5.0,0.25,13,tnml_polynomial
bike,1,4,,129.91514516848127,0.4786328422308491,,296,150,4192420569,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,131.5198556377699,0.4656734533920941,,936,98,2582264110,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.55773459917316,0.47346248924244894,,936,91,1011906602,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.726804153983,0.47209789597219176,,936,91,1729841207,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.9976275386493,0.469908347664431,,936,91,3653141251,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.4308078318838,0.4744857793261047,,936,101,826749499,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.97377932292792,0.4701013372566156,,936,80,1399498030,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.60621066242592,0.47307141008701536,,936,101,358916519,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.28458417618288,0.47566340811343444,,936,131,328531638,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,130.80758770502365,0.47144525272156224,,936,109,787755760,100,5.0,0.25,13,tnml_polynomial
bike,1,8,,129.9413407331119,0.47842256830193697,,936,101,4192420569,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.0678044577879,0.46934024327954993,,1704,75,2582264110,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.53750391757822,0.4655300442156366,,1704,87,1011906602,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,130.83992998333204,0.4711838492606122,,1704,97,1729841207,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,130.93888783073962,0.47038363028370844,,1704,88,3653141251,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,130.10707190693273,0.4770912481129038,,1704,87,826749499,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.34358089250492,0.46710479857771314,,1704,80,1399498030,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,130.94534809021496,0.4703313685968805,,1704,79,358916519,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.2263829185224,0.4680553798477871,,1704,79,328531638,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.232397196742,0.46800661928325615,,1704,90,787755760,100,5.0,0.25,13,tnml_polynomial
bike,1,12,,131.05281610241187,0.46946160431514206,,1704,75,4192420569,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.9698516300411,0.4701331183965055,,2728,86,2582264110,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.9730902246019,0.47010691320201103,,2728,86,1011906602,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.75768148188703,0.4718484883391395,,2728,75,1729841207,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.77125870323266,0.47173880144062497,,2728,86,3653141251,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.72429669872804,0.4721181470326935,,2728,86,826749499,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,131.3906731356564,0.4667225990201681,,2728,74,1399498030,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.5824250499326,0.47326331792849485,,2728,90,358916519,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,131.02623687897378,0.46967678272972235,,2728,86,328531638,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,130.94319421813623,0.4703487931042829,,2728,86,787755760,100,5.0,0.25,13,tnml_polynomial
bike,1,16,,131.5663199413808,0.4652958450633612,,2728,75,4192420569,100,5.0,0.25,13,tnml_polynomial
bike,2,4,,110.17099966755264,0.6250626679060172,,474,231,2582264110,100,5.0,0.25,13,tnml_polynomial
bike,2,4,,112.02029131155955,0.6123698939994104,,474,177,1011906602,100,5.0,0.25,13,tnml_polynomial
bike,2,4,,110.28964982581311,0.6242546453042794,,474,128,1729841207,100,5.0,0.25,13,tnml_polynomial
