dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,,121.7275659853143,0.5422777956835247,,104,22,42,100,5.0,0.25,10,tt
bike,2,4,,121.93331149100868,0.5407291920795689,,104,30,43,100,5.0,0.25,10,tt
bike,2,4,,121.80571664941702,0.5416898799264336,,104,20,44,100,5.0,0.25,10,tt
bike,2,4,,121.91464332994525,0.5408698113243552,,104,25,45,100,5.0,0.25,10,tt
bike,2,4,,121.73814005956562,0.5421982705775603,,104,20,46,100,5.0,0.25,10,tt
bike,2,8,,121.7069325020129,0.5424329553294794,,208,18,42,100,5.0,0.25,10,tt
bike,2,8,,121.72265855014068,0.5423147009933206,,208,18,43,100,5.0,0.25,10,tt
bike,2,8,,121.72005020660642,0.542334315873802,,208,18,44,100,5.0,0.25,10,tt
bike,2,8,,121.71765458272289,0.5423523307210254,,208,18,45,100,5.0,0.25,10,tt
bike,2,8,,121.714175177311,0.542378494863334,,208,18,46,100,5.0,0.25,10,tt
bike,2,12,,121.66191685326154,0.5427713726688412,,312,18,42,100,5.0,0.25,10,tt
bike,2,12,,121.68165880686527,0.5426229725951293,,312,18,43,100,5.0,0.25,10,tt
bike,2,12,,121.67132581369692,0.5427006486077826,,312,18,44,100,5.0,0.25,10,tt
bike,2,12,,121.6818012363621,0.5426219018664977,,312,18,45,100,5.0,0.25,10,tt
bike,2,12,,121.66583978892479,0.542741885916487,,312,18,46,100,5.0,0.25,10,tt
bike,2,16,,121.67204983215358,0.5426952061725414,,416,18,42,100,5.0,0.25,10,tt
bike,2,16,,121.67345797279265,0.542684621108974,,416,18,43,100,5.0,0.25,10,tt
bike,2,16,,121.66694239922298,0.5427335979731993,,416,18,44,100,5.0,0.25,10,tt
bike,2,16,,121.66455656372382,0.5427515313854536,,416,18,45,100,5.0,0.25,10,tt
bike,2,16,,121.66039985684732,0.5427827749199607,,416,18,46,100,5.0,0.25,10,tt
bike,3,4,,109.54380524337846,0.629319491126872,,312,53,42,100,5.0,0.25,10,tt
bike,3,4,,109.59481654636237,0.6289741808948153,,312,53,43,100,5.0,0.25,10,tt
bike,3,4,,109.42528585883625,0.6301211623747052,,312,55,44,100,5.0,0.25,10,tt
bike,3,4,,109.77982652451284,0.6277204460867529,,312,53,45,100,5.0,0.25,10,tt
bike,3,4,,109.69590168679869,0.6282894314744819,,312,36,46,100,5.0,0.25,10,tt
bike,3,8,,109.07503696040904,0.6324851922766348,,1040,26,42,100,5.0,0.25,10,tt
bike,3,8,,109.11576366207592,0.6322106939004493,,1040,25,43,100,5.0,0.25,10,tt
bike,3,8,,109.08724715963052,0.6324029061676846,,1040,27,44,100,5.0,0.25,10,tt
bike,3,8,,109.07459958678236,0.632488139623095,,1040,26,45,100,5.0,0.25,10,tt
bike,3,8,,109.05622289551812,0.6326119646584036,,1040,27,46,100,5.0,0.25,10,tt
bike,3,12,,108.99406474631792,0.6330306414071741,,2184,25,42,100,5.0,0.25,10,tt
bike,3,12,,109.04538867607225,0.6326849575564871,,2184,25,43,100,5.0,0.25,10,tt
bike,3,12,,109.00807665687277,0.632936282648166,,2184,24,44,100,5.0,0.25,10,tt
bike,3,12,,109.03180617985436,0.6327764560512239,,2184,24,45,100,5.0,0.25,10,tt
bike,3,12,,109.00640816886501,0.632947519186636,,2184,24,46,100,5.0,0.25,10,tt
bike,3,16,,109.03864741424819,0.6327303714958368,,3744,24,42,100,5.0,0.25,10,tt
bike,3,16,,108.96811204459783,0.6332053795905633,,3744,23,43,100,5.0,0.25,10,tt
bike,3,16,,109.03372780122479,0.6327635117397801,,3744,24,44,100,5.0,0.25,10,tt
bike,3,16,,109.07309502772308,0.6324982783627723,,3744,24,45,100,5.0,0.25,10,tt
bike,3,16,,109.03630410054105,0.6327461570677851,,3744,24,46,100,5.0,0.25,10,tt
bike,4,4,,104.23484709132579,0.6643783471976085,,520,50,42,100,5.0,0.25,10,tt
bike,4,4,,104.05260935853047,0.6655508814134824,,520,74,43,100,5.0,0.25,10,tt
bike,4,4,,104.45440732231181,0.6629629515005839,,520,76,44,100,5.0,0.25,10,tt
bike,4,4,,104.55947783640403,0.6622845604661032,,520,77,45,100,5.0,0.25,10,tt
bike,4,4,,103.93555106448481,0.666302962918721,,520,76,46,100,5.0,0.25,10,tt
bike,4,8,,103.82288090075956,0.6670260518086375,,1872,39,42,100,5.0,0.25,10,tt
bike,4,8,,103.84999592623662,0.6668521060272802,,1872,33,43,100,5.0,0.25,10,tt
bike,4,8,,104.18371597857596,0.664707536524652,,1872,34,44,100,5.0,0.25,10,tt
bike,4,8,,103.60511567103784,0.6684213917146811,,1872,34,45,100,5.0,0.25,10,tt
bike,4,8,,104.00939603650393,0.6658286189241271,,1872,40,46,100,5.0,0.25,10,tt
bike,4,12,,103.98082402463356,0.66601219151643,,4056,27,42,100,5.0,0.25,10,tt
bike,4,12,,103.89265705276269,0.6665783383965902,,4056,33,43,100,5.0,0.25,10,tt
bike,4,12,,103.98831616630501,0.6659640600623885,,4056,33,44,100,5.0,0.25,10,tt
bike,4,12,,103.83639435837108,0.666939367214092,,4056,31,45,100,5.0,0.25,10,tt
bike,4,12,,103.72880898237297,0.6676291810417598,,4056,28,46,100,5.0,0.25,10,tt
bike,4,16,,104.03120692691643,0.6656884519803559,,7072,27,42,100,5.0,0.25,10,tt
bike,4,16,,103.63220305936215,0.6682479876780828,,7072,28,43,100,5.0,0.25,10,tt
bike,4,16,,103.91906776347166,0.6664087975920796,,7072,27,44,100,5.0,0.25,10,tt
bike,4,16,,103.88273251800523,0.6666420367735805,,7072,31,45,100,5.0,0.25,10,tt
bike,4,16,,103.83592083855585,0.6669424048860118,,7072,28,46,100,5.0,0.25,10,tt
bike,5,4,,98.87294593887029,0.6980193935259298,,728,82,42,100,5.0,0.25,10,tt
bike,5,4,,99.90082980277803,0.6917079712226601,,728,66,43,100,5.0,0.25,10,tt
bike,5,4,,99.75883608927997,0.6925837281106064,,728,60,44,100,5.0,0.25,10,tt
bike,5,4,,99.34480866523651,0.6951301621042743,,728,103,45,100,5.0,0.25,10,tt
bike,5,4,,99.86767986108961,0.6919125374344989,,728,73,46,100,5.0,0.25,10,tt
bike,5,8,,98.77632591080986,0.6986093045096603,,2704,42,42,100,5.0,0.25,10,tt
bike,5,8,,98.79738023910306,0.6984808070205331,,2704,40,43,100,5.0,0.25,10,tt
bike,5,8,,98.34590244433919,0.7012302358576317,,2704,40,44,100,5.0,0.25,10,tt
bike,5,8,,98.42556143108914,0.700746040078774,,2704,48,45,100,5.0,0.25,10,tt
bike,5,8,,98.82447579680195,0.6983153987683202,,2704,41,46,100,5.0,0.25,10,tt
bike,5,12,,98.97624876811685,0.697388042911405,,5928,35,42,100,5.0,0.25,10,tt
bike,5,12,,98.38343616581831,0.7010021413313587,,5928,33,43,100,5.0,0.25,10,tt
bike,5,12,,98.22830177983943,0.7019443381158386,,5928,33,44,100,5.0,0.25,10,tt
bike,5,12,,98.30543870130933,0.7014760387964947,,5928,37,45,100,5.0,0.25,10,tt
bike,5,12,,98.30151602507419,0.7014998622898898,,5928,33,46,100,5.0,0.25,10,tt
bike,5,16,,98.8966424215841,0.6978746272167318,,10400,32,42,100,5.0,0.25,10,tt
bike,5,16,,98.33016510028892,0.7013258466814295,,10400,32,43,100,5.0,0.25,10,tt
bike,5,16,,98.4956251165309,0.7003198439245963,,10400,33,44,100,5.0,0.25,10,tt
bike,5,16,,98.08892578483183,0.7027895595415891,,10400,32,45,100,5.0,0.25,10,tt
bike,5,16,,98.26822752553566,0.7017019942537867,,10400,32,46,100,5.0,0.25,10,tt
bike,6,4,,91.79951588541209,0.7396815879898597,,936,128,42,100,5.0,0.25,10,tt
