dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,,121.75466149127132,0.5420740029776356,,104,22,42,100,5.0,0.25,10,tt_cumsum
bike,2,4,,121.93990899520291,0.5406794907630308,,104,28,43,100,5.0,0.25,10,tt_cumsum
bike,2,4,,121.89909734643979,0.5409868961152628,,104,26,44,100,5.0,0.25,10,tt_cumsum
bike,2,4,,121.73471064391482,0.5422240631566386,,104,20,45,100,5.0,0.25,10,tt_cumsum
bike,2,4,,121.77606218016403,0.5419130104876566,,104,20,46,100,5.0,0.25,10,tt_cumsum
bike,2,8,,121.71216530765362,0.5423936081725669,,208,18,42,100,5.0,0.25,10,tt_cumsum
bike,2,8,,121.76670403371267,0.5419834131652044,,208,20,43,100,5.0,0.25,10,tt_cumsum
bike,2,8,,121.71076911540911,0.5424041067587873,,208,18,44,100,5.0,0.25,10,tt_cumsum
bike,2,8,,121.69732268902334,0.5425052102132933,,208,18,45,100,5.0,0.25,10,tt_cumsum
bike,2,8,,121.71291005256045,0.5423880080573862,,208,18,46,100,5.0,0.25,10,tt_cumsum
bike,2,12,,121.66974019979935,0.5427125675291445,,312,18,42,100,5.0,0.25,10,tt_cumsum
bike,2,12,,121.66126067066293,0.5427763047736036,,312,18,43,100,5.0,0.25,10,tt_cumsum
bike,2,12,,121.6662058164817,0.5427391346212601,,312,18,44,100,5.0,0.25,10,tt_cumsum
bike,2,12,,121.6735438983036,0.5426839751986476,,312,18,45,100,5.0,0.25,10,tt_cumsum
bike,2,12,,121.66804760129217,0.5427252904730833,,312,18,46,100,5.0,0.25,10,tt_cumsum
bike,2,16,,121.66803593156295,0.5427253781916237,,416,18,42,100,5.0,0.25,10,tt_cumsum
bike,2,16,,121.67450009198382,0.5426767873680478,,416,18,43,100,5.0,0.25,10,tt_cumsum
bike,2,16,,121.66837862723587,0.5427228022273829,,416,18,44,100,5.0,0.25,10,tt_cumsum
bike,2,16,,121.66964715179718,0.5427132669580357,,416,18,45,100,5.0,0.25,10,tt_cumsum
bike,2,16,,121.67283963172373,0.5426892692247816,,416,18,46,100,5.0,0.25,10,tt_cumsum
bike,3,4,,109.84267434808727,0.6272940716293458,,312,53,42,100,5.0,0.25,10,tt_cumsum
bike,3,4,,109.67554031502372,0.6284274099137725,,312,55,43,100,5.0,0.25,10,tt_cumsum
bike,3,4,,109.70213213559774,0.628247205841638,,312,55,44,100,5.0,0.25,10,tt_cumsum
