dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,0.25,121.88000176409778,0.5411306943251047,,104,20,42,100,5.0,0.25,10,tt_lin
bike,2,4,0.25,121.93197358994482,0.5407392706302778,,104,30,43,100,5.0,0.25,10,tt_lin
bike,2,4,0.25,121.76187652327793,0.5420197291029644,,104,20,44,100,5.0,0.25,10,tt_lin
bike,2,4,0.25,121.91570358469319,0.5408618254570972,,104,30,45,100,5.0,0.25,10,tt_lin
bike,2,4,0.25,121.72281835850113,0.5423134992123848,,104,20,46,100,5.0,0.25,10,tt_lin
bike,2,4,0.5,121.73341684963783,0.54223379357349,,104,19,42,100,5.0,0.25,10,tt_lin
bike,2,4,0.5,121.83558827715125,0.5414650604615465,,104,20,43,100,5.0,0.25,10,tt_lin
bike,2,4,0.5,121.86444580354387,0.5412478209608409,,104,20,44,100,5.0,0.25,10,tt_lin
bike,2,4,0.5,121.79501948446824,0.5417703753877177,,104,20,45,100,5.0,0.25,10,tt_lin
bike,2,4,0.5,121.7515324386587,0.5420975397540946,,104,20,46,100,5.0,0.25,10,tt_lin
bike,2,4,0.75,121.741245545626,0.542174913640747,,104,20,42,100,5.0,0.25,10,tt_lin
bike,2,4,0.75,121.90181741596969,0.5409664109514676,,104,30,43,100,5.0,0.25,10,tt_lin
bike,2,4,0.75,121.9466747614021,0.5406285190768152,,104,30,44,100,5.0,0.25,10,tt_lin
bike,2,4,0.75,121.8086648744959,0.5416676934842939,,104,20,45,100,5.0,0.25,10,tt_lin
bike,2,4,0.75,121.85945332658031,0.5412854080151561,,104,20,46,100,5.0,0.25,10,tt_lin
bike,2,8,0.25,121.72368270075329,0.5423069992119615,,208,18,42,100,5.0,0.25,10,tt_lin
bike,2,8,0.25,121.68976009116665,0.5425620683517979,,208,18,43,100,5.0,0.25,10,tt_lin
bike,2,8,0.25,121.69484637887275,0.5425238283297906,,208,18,44,100,5.0,0.25,10,tt_lin
bike,2,8,0.25,121.75463450537644,0.5420742059684911,,208,18,45,100,5.0,0.25,10,tt_lin
bike,2,8,0.25,121.70952108943193,0.5424134911154546,,208,18,46,100,5.0,0.25,10,tt_lin
bike,2,8,0.5,121.70503763801733,0.5424472030070977,,208,18,42,100,5.0,0.25,10,tt_lin
bike,2,8,0.5,121.76134326945557,0.5420237405259519,,208,18,43,100,5.0,0.25,10,tt_lin
bike,2,8,0.5,121.68779237953797,0.5425768616862496,,208,18,44,100,5.0,0.25,10,tt_lin
bike,2,8,0.5,121.73838976048889,0.5421963925526178,,208,18,45,100,5.0,0.25,10,tt_lin
bike,2,8,0.5,121.69319594460765,0.5425362368951776,,208,18,46,100,5.0,0.25,10,tt_lin
bike,2,8,0.75,121.7388556213448,0.5421928887574896,,208,18,42,100,5.0,0.25,10,tt_lin
bike,2,8,0.75,121.72350842150655,0.5423083098251889,,208,18,43,100,5.0,0.25,10,tt_lin
bike,2,8,0.75,121.6972397560932,0.5425058337499444,,208,18,44,100,5.0,0.25,10,tt_lin
bike,2,8,0.75,121.7177274944203,0.5423517824377302,,208,18,45,100,5.0,0.25,10,tt_lin
bike,2,8,0.75,121.69726560855922,0.542505639376536,,208,18,46,100,5.0,0.25,10,tt_lin
bike,2,12,0.25,121.66658658461999,0.5427362725176923,,312,18,42,100,5.0,0.25,10,tt_lin
bike,2,12,0.25,121.66250800808228,0.5427669293135022,,312,18,43,100,5.0,0.25,10,tt_lin
bike,2,12,0.25,121.6764260224486,0.5426623097301293,,312,18,44,100,5.0,0.25,10,tt_lin
bike,2,12,0.25,121.67857100608497,0.5426461851521701,,312,18,45,100,5.0,0.25,10,tt_lin
bike,2,12,0.25,121.65138417217183,0.5428505368802797,,312,18,46,100,5.0,0.25,10,tt_lin
bike,2,12,0.5,121.68139980715682,0.5426249196493005,,312,18,42,100,5.0,0.25,10,tt_lin
bike,2,12,0.5,121.65787336908535,0.5428017645292454,,312,18,43,100,5.0,0.25,10,tt_lin
bike,2,12,0.5,121.69067439795646,0.5425551944755126,,312,18,44,100,5.0,0.25,10,tt_lin
bike,2,12,0.5,121.69436683274311,0.5425274337494417,,312,18,45,100,5.0,0.25,10,tt_lin
bike,2,12,0.5,121.68228371923496,0.5426182747417505,,312,18,46,100,5.0,0.25,10,tt_lin
bike,2,12,0.75,121.66418118193157,0.542754352954688,,312,18,42,100,5.0,0.25,10,tt_lin
bike,2,12,0.75,121.67434402226853,0.5426779605679831,,312,18,43,100,5.0,0.25,10,tt_lin
bike,2,12,0.75,121.6955552770328,0.5425184985237951,,312,18,44,100,5.0,0.25,10,tt_lin
bike,2,12,0.75,121.68674625262472,0.542584726412686,,312,18,45,100,5.0,0.25,10,tt_lin
bike,2,12,0.75,121.65541144412452,0.5428202684916743,,312,18,46,100,5.0,0.25,10,tt_lin
bike,2,16,0.25,121.6663408638547,0.5427381195174767,,416,18,42,100,5.0,0.25,10,tt_lin
bike,2,16,0.25,121.66559695996054,0.5427437111684003,,416,18,43,100,5.0,0.25,10,tt_lin
bike,2,16,0.25,121.6658499881153,0.5427418092530156,,416,18,44,100,5.0,0.25,10,tt_lin
bike,2,16,0.25,121.66605396372877,0.5427402760438502,,416,18,45,100,5.0,0.25,10,tt_lin
bike,2,16,0.25,121.67201394039502,0.5426954759710835,,416,18,46,100,5.0,0.25,10,tt_lin
bike,2,16,0.5,121.66602484221316,0.5427404949396581,,416,18,42,100,5.0,0.25,10,tt_lin
bike,2,16,0.5,121.66040491989808,0.5427827368646188,,416,18,43,100,5.0,0.25,10,tt_lin
