dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,0.25,121.90252024269851,0.5409611178063336,,109,32,42,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.25,121.89382206012615,0.5410266236145274,,109,61,43,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.25,121.85291726462603,0.5413346139898298,,109,30,44,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.25,121.94426376517957,0.5406466832778294,,109,61,45,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.25,121.93351380962383,0.5407276679823425,,109,26,46,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.5,121.90047302591925,0.5409765357683092,,109,57,42,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.5,121.867844272315,0.5412222338967424,,109,36,43,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.5,121.92371092869402,0.540801511683995,,109,29,44,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.5,121.98138461078028,0.5403669787908547,,109,61,45,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.5,121.88503005759195,0.5410928312285064,,109,36,46,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.75,122.01590655600073,0.5401067805425723,,109,29,42,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.75,121.88368845073597,0.5411029336933486,,109,57,43,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.75,121.85045884516882,0.5413531212288828,,109,36,44,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.75,121.87534984742874,0.5411657219096792,,109,61,45,100,5.0,0.25,10,tt_lin_type1
bike,2,4,0.75,121.9546159241632,0.5405686886225296,,109,29,46,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.25,121.76128036113981,0.5420242137550889,,205,25,42,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.25,121.79144949241845,0.5417972377692633,,205,25,43,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.25,121.75914360872852,0.5420402873751471,,205,25,44,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.25,121.76714170885249,0.5419801205929771,,205,25,45,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.25,121.78687207186246,0.5418316793879024,,205,25,46,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.5,121.78587008241641,0.5418392184259849,,205,25,42,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.5,121.77611788442194,0.5419125914003387,,205,25,43,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.5,121.75877392761993,0.5420430682553705,,205,25,44,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.5,121.83173391492066,0.5414940722112571,,205,25,45,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.5,121.74872163297869,0.5421186821570427,,205,25,46,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.75,121.7718777912498,0.541944490914174,,205,25,42,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.75,121.7895169502654,0.5418117788414154,,205,25,43,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.75,121.77128235041901,0.5419489705081655,,205,25,44,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.75,121.76478247201725,0.5419978686798177,,205,25,45,100,5.0,0.25,10,tt_lin_type1
bike,2,8,0.75,121.77684299386102,0.5419071360697107,,205,25,46,100,5.0,0.25,10,tt_lin_type1
bike,2,12,0.25,121.79717238144174,0.541754175548098,,301,25,42,100,5.0,0.25,10,tt_lin_type1
bike,2,12,0.25,121.78818305644633,0.541821815355305,,301,25,43,100,5.0,0.25,10,tt_lin_type1
bike,2,12,0.25,121.78667983488057,0.5418331257970948,,301,25,44,100,5.0,0.25,10,tt_lin_type1
bike,2,12,0.25,121.79536887845882,0.5417677463326469,,301,25,45,100,5.0,0.25,10,tt_lin_type1
