dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,,,,0.9764705882352941,248,14,2582264110,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9764705882352941,248,17,1011906602,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9647058823529412,248,14,1729841207,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9764705882352941,248,15,3653141251,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9647058823529412,248,15,826749499,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9647058823529412,248,15,1399498030,100,5.0,0.25,10,cpd
breast,2,4,,,,0.8588235294117647,248,9,358916519,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9764705882352941,248,16,328531638,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9647058823529412,248,16,787755760,100,5.0,0.25,10,cpd
breast,2,4,,,,0.9647058823529412,248,16,4192420569,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,14,2582264110,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,14,1011906602,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,14,1729841207,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,16,3653141251,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,15,826749499,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,15,1399498030,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,16,358916519,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,14,328531638,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,14,787755760,100,5.0,0.25,10,cpd
breast,2,8,,,,0.9647058823529412,496,17,4192420569,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9529411764705882,744,14,2582264110,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,14,1011906602,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,15,1729841207,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,15,3653141251,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,16,826749499,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,16,1399498030,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9764705882352941,744,16,358916519,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,14,328531638,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,16,787755760,100,5.0,0.25,10,cpd
breast,2,12,,,,0.9647058823529412,744,16,4192420569,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9764705882352941,992,16,2582264110,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9647058823529412,992,16,1011906602,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9529411764705882,992,14,1729841207,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9647058823529412,992,14,3653141251,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9647058823529412,992,16,826749499,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9529411764705882,992,14,1399498030,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9529411764705882,992,14,358916519,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9764705882352941,992,16,328531638,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9647058823529412,992,15,787755760,100,5.0,0.25,10,cpd
breast,2,16,,,,0.9529411764705882,992,13,4192420569,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,16,2582264110,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9764705882352941,3968,15,1011906602,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,15,1729841207,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,15,3653141251,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,15,826749499,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,16,1399498030,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,16,358916519,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,16,328531638,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,15,787755760,100,5.0,0.25,10,cpd
breast,2,64,,,,0.9647058823529412,3968,15,4192420569,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,2582264110,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,1011906602,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,1729841207,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,14,3653141251,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,14,826749499,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,14,1399498030,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,358916519,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,328531638,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,12,787755760,100,5.0,0.25,10,cpd
breast,2,144,,,,0.9647058823529412,8928,14,4192420569,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,2582264110,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,1011906602,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,1729841207,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,3653141251,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,826749499,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,1399498030,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,358916519,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,328531638,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,787755760,100,5.0,0.25,10,cpd
breast,2,256,,,,0.9647058823529412,15872,14,4192420569,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9647058823529412,372,12,2582264110,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9882352941176471,372,15,1011906602,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9764705882352941,372,18,1729841207,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9764705882352941,372,16,3653141251,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9764705882352941,372,15,826749499,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9647058823529412,372,15,1399498030,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9647058823529412,372,17,358916519,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9764705882352941,372,14,328531638,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9882352941176471,372,19,787755760,100,5.0,0.25,10,cpd
breast,3,4,,,,0.9764705882352941,372,21,4192420569,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9882352941176471,744,13,2582264110,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9647058823529412,744,13,1011906602,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9764705882352941,744,14,1729841207,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9764705882352941,744,16,3653141251,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9764705882352941,744,16,826749499,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9764705882352941,744,15,1399498030,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9647058823529412,744,16,358916519,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9647058823529412,744,15,328531638,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9882352941176471,744,14,787755760,100,5.0,0.25,10,cpd
breast,3,8,,,,0.9882352941176471,744,13,4192420569,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9764705882352941,1116,17,2582264110,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,13,1011906602,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,13,1729841207,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9764705882352941,1116,12,3653141251,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,16,826749499,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,15,1399498030,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9764705882352941,1116,12,358916519,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,13,328531638,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9647058823529412,1116,16,787755760,100,5.0,0.25,10,cpd
breast,3,12,,,,0.9529411764705882,1116,13,4192420569,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9764705882352941,1488,15,2582264110,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9647058823529412,1488,15,1011906602,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9647058823529412,1488,15,1729841207,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9764705882352941,1488,11,3653141251,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9764705882352941,1488,12,826749499,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9764705882352941,1488,17,1399498030,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9764705882352941,1488,13,358916519,100,5.0,0.25,10,cpd
breast,3,16,,,,0.9647058823529412,1488,12,328531638,100,5.0,0.25,10,cpd
