dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,,,,0.9529411764705882,271,12,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9411764705882353,271,13,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,15,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9411764705882353,271,15,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9647058823529412,271,13,826749499,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,12,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,15,358916519,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,12,328531638,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,15,787755760,100,5.0,0.25,10,cpd_type1
breast,2,4,,,,0.9529411764705882,271,12,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,12,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,15,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9411764705882353,511,12,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,13,826749499,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9411764705882353,511,11,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9411764705882353,511,12,358916519,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,11,328531638,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9529411764705882,511,13,787755760,100,5.0,0.25,10,cpd_type1
breast,2,8,,,,0.9411764705882353,511,11,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9411764705882353,751,12,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,15,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9411764705882353,751,15,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,11,826749499,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,12,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,11,358916519,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9529411764705882,751,11,328531638,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9411764705882353,751,11,787755760,100,5.0,0.25,10,cpd_type1
breast,2,12,,,,0.9647058823529412,751,11,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9529411764705882,991,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,12,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,11,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,11,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,12,826749499,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9529411764705882,991,12,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,11,358916519,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,11,328531638,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9411764705882353,991,12,787755760,100,5.0,0.25,10,cpd_type1
breast,2,16,,,,0.9529411764705882,991,11,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9529411764705882,3871,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9411764705882353,3871,11,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9411764705882353,3871,11,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9294117647058824,3871,11,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9647058823529412,3871,11,826749499,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9647058823529412,3871,11,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9529411764705882,3871,11,358916519,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9411764705882353,3871,11,328531638,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9411764705882353,3871,12,787755760,100,5.0,0.25,10,cpd_type1
breast,2,64,,,,0.9529411764705882,3871,11,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9647058823529412,8671,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9294117647058824,8671,11,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9529411764705882,8671,11,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9294117647058824,8671,11,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9411764705882353,8671,11,826749499,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9647058823529412,8671,11,1399498030,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9529411764705882,8671,11,358916519,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9529411764705882,8671,11,328531638,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9294117647058824,8671,11,787755760,100,5.0,0.25,10,cpd_type1
breast,2,144,,,,0.9529411764705882,8671,11,4192420569,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9647058823529412,15391,11,2582264110,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9294117647058824,15391,11,1011906602,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9529411764705882,15391,11,1729841207,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9176470588235294,15391,11,3653141251,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9529411764705882,15391,11,826749499,100,5.0,0.25,10,cpd_type1
breast,2,256,,,,0.9411764705882353,15391,11,1399498030,100,5.0,0.25,10,cpd_type1
