dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,1,4,,,,0.6,872,52,42,100,5.0,0.25,31,tnml_polynomial
breast,1,4,,,,0.6588235294117647,872,42,43,100,5.0,0.25,31,tnml_polynomial
breast,1,4,,,,0.6,872,39,44,100,5.0,0.25,31,tnml_polynomial
breast,1,4,,,,0.6,872,50,45,100,5.0,0.25,31,tnml_polynomial
breast,1,4,,,,0.6352941176470588,872,35,46,100,5.0,0.25,31,tnml_polynomial
breast,1,8,,,,0.611764705882353,3240,34,42,100,5.0,0.25,31,tnml_polynomial
breast,1,8,,,,0.6705882352941176,3240,68,43,100,5.0,0.25,31,tnml_polynomial
breast,1,8,,,,0.611764705882353,3240,42,44,100,5.0,0.25,31,tnml_polynomial
breast,1,8,,,,0.6705882352941176,3240,56,45,100,5.0,0.25,31,tnml_polynomial
breast,1,8,,,,0.6352941176470588,3240,36,46,100,5.0,0.25,31,tnml_polynomial
breast,1,12,,,,0.7294117647058823,6888,71,42,100,5.0,0.25,31,tnml_polynomial
breast,1,12,,,,0.7411764705882353,6888,77,43,100,5.0,0.25,31,tnml_polynomial
breast,1,12,,,,0.7176470588235294,6888,70,44,100,5.0,0.25,31,tnml_polynomial
breast,1,12,,,,0.6588235294117647,6888,43,45,100,5.0,0.25,31,tnml_polynomial
breast,1,12,,,,0.6588235294117647,6888,56,46,100,5.0,0.25,31,tnml_polynomial
breast,1,16,,,,0.7058823529411765,11944,81,42,100,5.0,0.25,31,tnml_polynomial
breast,1,16,,,,0.6705882352941176,11944,57,43,100,5.0,0.25,31,tnml_polynomial
breast,1,16,,,,0.6588235294117647,11944,57,44,100,5.0,0.25,31,tnml_polynomial
breast,1,16,,,,0.6588235294117647,11944,33,45,100,5.0,0.25,31,tnml_polynomial
breast,1,16,,,,0.7411764705882353,11944,53,46,100,5.0,0.25,31,tnml_polynomial
breast,2,4,,,,0.49411764705882355,1338,3,42,100,5.0,0.25,31,tnml_polynomial
breast,2,4,,,,0.5882352941176471,1338,4,43,100,5.0,0.25,31,tnml_polynomial
breast,2,4,,,,0.5882352941176471,1338,4,44,100,5.0,0.25,31,tnml_polynomial
breast,2,4,,,,0.5411764705882353,1338,3,45,100,5.0,0.25,31,tnml_polynomial
breast,2,4,,,,0.5411764705882353,1338,6,46,100,5.0,0.25,31,tnml_polynomial
breast,2,8,,,,0.6352941176470588,5154,5,42,100,5.0,0.25,31,tnml_polynomial
breast,2,8,,,,0.5529411764705883,5154,7,43,100,5.0,0.25,31,tnml_polynomial
breast,2,8,,,,0.8705882352941177,5154,87,44,100,5.0,0.25,31,tnml_polynomial
breast,2,8,,,,0.611764705882353,5154,4,45,100,5.0,0.25,31,tnml_polynomial
breast,2,8,,,,0.5647058823529412,5154,7,46,100,5.0,0.25,31,tnml_polynomial
breast,2,12,,,,0.8705882352941177,11196,86,42,100,5.0,0.25,31,tnml_polynomial
breast,2,12,,,,0.8588235294117647,11196,73,43,100,5.0,0.25,31,tnml_polynomial
breast,2,12,,,,0.5411764705882353,11196,7,44,100,5.0,0.25,31,tnml_polynomial
breast,2,12,,,,0.8705882352941177,11196,71,45,100,5.0,0.25,31,tnml_polynomial
breast,2,12,,,,0.5411764705882353,11196,6,46,100,5.0,0.25,31,tnml_polynomial
breast,2,16,,,,0.8705882352941177,19476,58,42,100,5.0,0.25,31,tnml_polynomial
breast,2,16,,,,0.8588235294117647,19476,73,43,100,5.0,0.25,31,tnml_polynomial
breast,2,16,,,,0.5764705882352941,19476,11,44,100,5.0,0.25,31,tnml_polynomial
breast,2,16,,,,0.8588235294117647,19476,80,45,100,5.0,0.25,31,tnml_polynomial
breast,2,16,,,,0.5764705882352941,19476,6,46,100,5.0,0.25,31,tnml_polynomial
breast,3,4,,,,0.5176470588235295,1824,2,42,100,5.0,0.25,31,tnml_polynomial
breast,3,4,,,,0.6,1824,2,43,100,5.0,0.25,31,tnml_polynomial
breast,3,4,,,,0.5058823529411764,1824,2,44,100,5.0,0.25,31,tnml_polynomial
breast,3,4,,,,0.5411764705882353,1824,2,45,100,5.0,0.25,31,tnml_polynomial
breast,3,4,,,,0.5411764705882353,1824,2,46,100,5.0,0.25,31,tnml_polynomial
breast,3,8,,,,0.5294117647058824,6944,3,42,100,5.0,0.25,31,tnml_polynomial
breast,3,8,,,,0.5764705882352941,6944,3,43,100,5.0,0.25,31,tnml_polynomial
breast,3,8,,,,0.5411764705882353,6944,3,44,100,5.0,0.25,31,tnml_polynomial
breast,3,8,,,,0.5176470588235295,6944,3,45,100,5.0,0.25,31,tnml_polynomial
breast,3,8,,,,0.5529411764705883,6944,2,46,100,5.0,0.25,31,tnml_polynomial
breast,3,12,,,,0.5529411764705883,15392,3,42,100,5.0,0.25,31,tnml_polynomial
breast,3,12,,,,0.5058823529411764,15392,3,43,100,5.0,0.25,31,tnml_polynomial
breast,3,12,,,,0.5882352941176471,15392,3,44,100,5.0,0.25,31,tnml_polynomial
breast,3,12,,,,0.5411764705882353,15392,3,45,100,5.0,0.25,31,tnml_polynomial
breast,3,12,,,,0.5294117647058824,15392,3,46,100,5.0,0.25,31,tnml_polynomial
breast,3,16,,,,0.5647058823529412,27168,4,42,100,5.0,0.25,31,tnml_polynomial
breast,3,16,,,,0.5058823529411764,27168,3,43,100,5.0,0.25,31,tnml_polynomial
breast,3,16,,,,0.5294117647058824,27168,3,44,100,5.0,0.25,31,tnml_polynomial
