dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,3,8,,,,0.9764705882352941,2480,15,2582264110,100,5.0,0.25,10,tt
breast,3,8,,,,0.9647058823529412,2480,15,1011906602,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,15,1729841207,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,15,3653141251,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,15,826749499,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,15,1399498030,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,13,358916519,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,13,328531638,100,5.0,0.25,10,tt
breast,3,8,,,,0.9647058823529412,2480,14,787755760,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,15,4192420569,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,2582264110,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,1011906602,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,1729841207,100,5.0,0.25,10,tt
breast,3,12,,,,0.9647058823529412,5208,15,3653141251,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,826749499,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,1399498030,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,358916519,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,12,328531638,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,14,787755760,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,15,4192420569,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,12,2582264110,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,13,1011906602,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,13,1729841207,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,15,3653141251,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,15,826749499,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,15,1399498030,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,15,358916519,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,14,328531638,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,13,787755760,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,15,4192420569,100,5.0,0.25,10,tt
breast,4,8,,,,0.9294117647058824,4464,13,2582264110,100,5.0,0.25,10,tt
breast,4,8,,,,0.9294117647058824,4464,13,1011906602,100,5.0,0.25,10,tt
breast,4,8,,,,0.9411764705882353,4464,12,1729841207,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,17,3653141251,100,5.0,0.25,10,tt
breast,4,8,,,,0.9294117647058824,4464,15,826749499,100,5.0,0.25,10,tt
breast,4,8,,,,0.9176470588235294,4464,14,1399498030,100,5.0,0.25,10,tt
breast,4,8,,,,0.9764705882352941,4464,17,358916519,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,17,328531638,100,5.0,0.25,10,tt
breast,4,8,,,,0.9294117647058824,4464,14,787755760,100,5.0,0.25,10,tt
breast,4,8,,,,0.9411764705882353,4464,15,4192420569,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,15,2582264110,100,5.0,0.25,10,tt
breast,4,12,,,,0.9411764705882353,9672,15,1011906602,100,5.0,0.25,10,tt
breast,4,12,,,,0.9411764705882353,9672,13,1729841207,100,5.0,0.25,10,tt
breast,4,12,,,,0.9294117647058824,9672,14,3653141251,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,12,826749499,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,13,1399498030,100,5.0,0.25,10,tt
breast,4,12,,,,0.9176470588235294,9672,14,358916519,100,5.0,0.25,10,tt
breast,4,12,,,,0.9176470588235294,9672,13,328531638,100,5.0,0.25,10,tt
breast,4,12,,,,0.9411764705882353,9672,13,787755760,100,5.0,0.25,10,tt
breast,4,12,,,,0.9411764705882353,9672,13,4192420569,100,5.0,0.25,10,tt
breast,4,16,,,,0.9411764705882353,16864,13,2582264110,100,5.0,0.25,10,tt
breast,4,16,,,,0.9529411764705882,16864,13,1011906602,100,5.0,0.25,10,tt
breast,4,16,,,,0.9529411764705882,16864,14,1729841207,100,5.0,0.25,10,tt
breast,4,16,,,,0.9529411764705882,16864,14,3653141251,100,5.0,0.25,10,tt
breast,4,16,,,,0.9294117647058824,16864,13,826749499,100,5.0,0.25,10,tt
breast,4,16,,,,0.9764705882352941,16864,17,1399498030,100,5.0,0.25,10,tt
breast,4,16,,,,0.9294117647058824,16864,12,358916519,100,5.0,0.25,10,tt
breast,4,16,,,,0.9647058823529412,16864,17,328531638,100,5.0,0.25,10,tt
breast,4,16,,,,0.9411764705882353,16864,13,787755760,100,5.0,0.25,10,tt
breast,4,16,,,,0.9529411764705882,16864,14,4192420569,100,5.0,0.25,10,tt
