dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,,,,0.9647058823529412,248,15,42,100,5.0,0.25,10,tt_cumsum
breast,2,4,,,,0.9647058823529412,248,14,43,100,5.0,0.25,10,tt_cumsum
breast,2,4,,,,0.9647058823529412,248,13,44,100,5.0,0.25,10,tt_cumsum
breast,2,4,,,,0.9647058823529412,248,16,45,100,5.0,0.25,10,tt_cumsum
breast,2,4,,,,0.9647058823529412,248,16,46,100,5.0,0.25,10,tt_cumsum
breast,2,8,,,,0.9647058823529412,496,13,42,100,5.0,0.25,10,tt_cumsum
breast,2,8,,,,0.9647058823529412,496,13,43,100,5.0,0.25,10,tt_cumsum
breast,2,8,,,,0.9647058823529412,496,15,44,100,5.0,0.25,10,tt_cumsum
breast,2,8,,,,0.9529411764705882,496,13,45,100,5.0,0.25,10,tt_cumsum
breast,2,8,,,,0.9647058823529412,496,18,46,100,5.0,0.25,10,tt_cumsum
breast,2,12,,,,0.9647058823529412,744,13,42,100,5.0,0.25,10,tt_cumsum
breast,2,12,,,,0.9647058823529412,744,13,43,100,5.0,0.25,10,tt_cumsum
breast,2,12,,,,0.9647058823529412,744,18,44,100,5.0,0.25,10,tt_cumsum
breast,2,12,,,,0.9647058823529412,744,13,45,100,5.0,0.25,10,tt_cumsum
breast,2,12,,,,0.9647058823529412,744,15,46,100,5.0,0.25,10,tt_cumsum
breast,2,16,,,,0.9647058823529412,992,13,42,100,5.0,0.25,10,tt_cumsum
breast,2,16,,,,0.9647058823529412,992,13,43,100,5.0,0.25,10,tt_cumsum
breast,2,16,,,,0.9647058823529412,992,13,44,100,5.0,0.25,10,tt_cumsum
breast,2,16,,,,0.9529411764705882,992,13,45,100,5.0,0.25,10,tt_cumsum
breast,2,16,,,,0.9529411764705882,992,13,46,100,5.0,0.25,10,tt_cumsum
breast,3,4,,,,0.9764705882352941,744,10,42,100,5.0,0.25,10,tt_cumsum
breast,3,4,,,,0.9882352941176471,744,18,43,100,5.0,0.25,10,tt_cumsum
