dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,3,8,,,,0.9529411764705882,2911,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,16,1011906602,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,12,1729841207,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,15,3653141251,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,18,826749499,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9529411764705882,2911,15,1399498030,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,26,358916519,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9529411764705882,2911,16,328531638,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9647058823529412,2911,11,787755760,100,5.0,0.25,10,tt_cumsum_type1
breast,3,8,,,,0.9764705882352941,2911,18,4192420569,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,17,2582264110,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,16,1011906602,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9529411764705882,5791,11,1729841207,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,17,3653141251,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,16,826749499,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9529411764705882,5791,11,1399498030,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,17,358916519,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,16,328531638,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9647058823529412,5791,11,787755760,100,5.0,0.25,10,tt_cumsum_type1
breast,3,12,,,,0.9529411764705882,5791,15,4192420569,100,5.0,0.25,10,tt_cumsum_type1
breast,3,16,,,,0.9647058823529412,9631,15,2582264110,100,5.0,0.25,10,tt_cumsum_type1
breast,3,16,,,,0.9529411764705882,9631,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
