dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,,,,0.9647058823529412,271,12,42,100,5.0,0.25,10,tt_type1
breast,2,4,,,,0.9529411764705882,271,12,43,100,5.0,0.25,10,tt_type1
breast,2,4,,,,0.9294117647058824,271,12,44,100,5.0,0.25,10,tt_type1
breast,2,4,,,,0.9647058823529412,271,11,45,100,5.0,0.25,10,tt_type1
breast,2,4,,,,0.9529411764705882,271,15,46,100,5.0,0.25,10,tt_type1
breast,2,8,,,,0.9411764705882353,511,11,42,100,5.0,0.25,10,tt_type1
breast,2,8,,,,0.9529411764705882,511,15,43,100,5.0,0.25,10,tt_type1
breast,2,8,,,,0.9529411764705882,511,15,44,100,5.0,0.25,10,tt_type1
breast,2,8,,,,0.9529411764705882,511,11,45,100,5.0,0.25,10,tt_type1
breast,2,8,,,,0.9411764705882353,511,11,46,100,5.0,0.25,10,tt_type1
breast,2,12,,,,0.9647058823529412,751,11,42,100,5.0,0.25,10,tt_type1
breast,2,12,,,,0.9411764705882353,751,11,43,100,5.0,0.25,10,tt_type1
breast,2,12,,,,0.9529411764705882,751,11,44,100,5.0,0.25,10,tt_type1
breast,2,12,,,,0.9411764705882353,751,12,45,100,5.0,0.25,10,tt_type1
breast,2,12,,,,0.9529411764705882,751,15,46,100,5.0,0.25,10,tt_type1
breast,2,16,,,,0.9411764705882353,991,11,42,100,5.0,0.25,10,tt_type1
breast,2,16,,,,0.9411764705882353,991,11,43,100,5.0,0.25,10,tt_type1
breast,2,16,,,,0.9411764705882353,991,12,44,100,5.0,0.25,10,tt_type1
breast,2,16,,,,0.9529411764705882,991,12,45,100,5.0,0.25,10,tt_type1
breast,2,16,,,,0.9411764705882353,991,11,46,100,5.0,0.25,10,tt_type1
breast,3,4,,,,0.9647058823529412,991,21,42,100,5.0,0.25,10,tt_type1
breast,3,4,,,,0.9647058823529412,991,12,43,100,5.0,0.25,10,tt_type1
breast,3,4,,,,0.9529411764705882,991,13,44,100,5.0,0.25,10,tt_type1
breast,3,4,,,,0.9529411764705882,991,13,45,100,5.0,0.25,10,tt_type1
breast,3,4,,,,0.9529411764705882,991,17,46,100,5.0,0.25,10,tt_type1
breast,3,8,,,,0.9529411764705882,2911,14,42,100,5.0,0.25,10,tt_type1
breast,3,8,,,,0.9647058823529412,2911,17,43,100,5.0,0.25,10,tt_type1
breast,3,8,,,,0.9647058823529412,2911,17,44,100,5.0,0.25,10,tt_type1
breast,3,8,,,,0.9764705882352941,2911,27,45,100,5.0,0.25,10,tt_type1
breast,3,8,,,,0.9647058823529412,2911,18,46,100,5.0,0.25,10,tt_type1
breast,3,12,,,,0.9647058823529412,5791,18,42,100,5.0,0.25,10,tt_type1
breast,3,12,,,,0.9764705882352941,5791,18,43,100,5.0,0.25,10,tt_type1
breast,3,12,,,,0.9647058823529412,5791,17,44,100,5.0,0.25,10,tt_type1
breast,3,12,,,,0.9647058823529412,5791,16,45,100,5.0,0.25,10,tt_type1
breast,3,12,,,,0.9647058823529412,5791,18,46,100,5.0,0.25,10,tt_type1
breast,3,16,,,,0.9764705882352941,9631,18,42,100,5.0,0.25,10,tt_type1
breast,3,16,,,,0.9647058823529412,9631,11,43,100,5.0,0.25,10,tt_type1
breast,3,16,,,,0.9647058823529412,9631,15,44,100,5.0,0.25,10,tt_type1
breast,3,16,,,,0.9529411764705882,9631,14,45,100,5.0,0.25,10,tt_type1
breast,3,16,,,,0.9647058823529412,9631,11,46,100,5.0,0.25,10,tt_type1
breast,4,4,,,,0.9411764705882353,2191,11,42,100,5.0,0.25,10,tt_type1
breast,4,4,,,,0.9411764705882353,2191,11,43,100,5.0,0.25,10,tt_type1
breast,4,4,,,,0.9529411764705882,2191,11,44,100,5.0,0.25,10,tt_type1
breast,4,4,,,,0.9529411764705882,2191,11,45,100,5.0,0.25,10,tt_type1
breast,4,4,,,,0.9411764705882353,2191,11,46,100,5.0,0.25,10,tt_type1
breast,4,8,,,,0.9411764705882353,7231,11,42,100,5.0,0.25,10,tt_type1
breast,4,8,,,,0.9647058823529412,7231,25,43,100,5.0,0.25,10,tt_type1
breast,4,8,,,,0.9647058823529412,7231,12,44,100,5.0,0.25,10,tt_type1
breast,4,8,,,,0.9647058823529412,7231,14,45,100,5.0,0.25,10,tt_type1
breast,4,8,,,,0.9647058823529412,7231,16,46,100,5.0,0.25,10,tt_type1
breast,4,12,,,,0.9647058823529412,15151,16,42,100,5.0,0.25,10,tt_type1
breast,4,12,,,,0.9529411764705882,15151,13,43,100,5.0,0.25,10,tt_type1
breast,4,12,,,,0.9529411764705882,15151,13,44,100,5.0,0.25,10,tt_type1
breast,4,12,,,,0.9647058823529412,15151,16,45,100,5.0,0.25,10,tt_type1
breast,4,12,,,,0.9647058823529412,15151,15,46,100,5.0,0.25,10,tt_type1
breast,4,16,,,,0.9647058823529412,25951,13,42,100,5.0,0.25,10,tt_type1
breast,4,16,,,,0.9529411764705882,25951,11,43,100,5.0,0.25,10,tt_type1
breast,4,16,,,,0.9529411764705882,25951,18,44,100,5.0,0.25,10,tt_type1
breast,4,16,,,,0.9529411764705882,25951,12,45,100,5.0,0.25,10,tt_type1
breast,4,16,,,,0.9647058823529412,25951,13,46,100,5.0,0.25,10,tt_type1
breast,5,4,,,,0.9411764705882353,3871,13,42,100,5.0,0.25,10,tt_type1
breast,5,4,,,,0.9647058823529412,3871,15,43,100,5.0,0.25,10,tt_type1
breast,5,4,,,,0.9529411764705882,3871,11,44,100,5.0,0.25,10,tt_type1
breast,5,4,,,,0.9529411764705882,3871,16,45,100,5.0,0.25,10,tt_type1
breast,5,4,,,,0.9529411764705882,3871,17,46,100,5.0,0.25,10,tt_type1
breast,5,8,,,,0.9529411764705882,13471,12,42,100,5.0,0.25,10,tt_type1
breast,5,8,,,,0.9647058823529412,13471,23,43,100,5.0,0.25,10,tt_type1
breast,5,8,,,,0.9529411764705882,13471,13,44,100,5.0,0.25,10,tt_type1
breast,5,8,,,,0.9411764705882353,13471,12,45,100,5.0,0.25,10,tt_type1
breast,5,8,,,,0.9529411764705882,13471,16,46,100,5.0,0.25,10,tt_type1
breast,5,12,,,,0.9411764705882353,28831,11,42,100,5.0,0.25,10,tt_type1
breast,5,12,,,,0.9529411764705882,28831,14,43,100,5.0,0.25,10,tt_type1
breast,5,12,,,,0.9647058823529412,28831,15,44,100,5.0,0.25,10,tt_type1
breast,5,12,,,,0.9647058823529412,28831,16,45,100,5.0,0.25,10,tt_type1
breast,5,12,,,,0.9647058823529412,28831,15,46,100,5.0,0.25,10,tt_type1
breast,5,16,,,,0.9529411764705882,49951,13,42,100,5.0,0.25,10,tt_type1
breast,5,16,,,,0.9529411764705882,49951,11,43,100,5.0,0.25,10,tt_type1
breast,5,16,,,,0.9647058823529412,49951,11,44,100,5.0,0.25,10,tt_type1
breast,5,16,,,,0.9529411764705882,49951,11,45,100,5.0,0.25,10,tt_type1
breast,5,16,,,,0.9529411764705882,49951,15,46,100,5.0,0.25,10,tt_type1
breast,6,4,,,,0.9294117647058824,6031,12,42,100,5.0,0.25,10,tt_type1
breast,6,4,,,,0.9529411764705882,6031,11,43,100,5.0,0.25,10,tt_type1
breast,6,4,,,,0.9529411764705882,6031,15,44,100,5.0,0.25,10,tt_type1
breast,6,4,,,,0.9529411764705882,6031,12,45,100,5.0,0.25,10,tt_type1
breast,6,4,,,,0.9529411764705882,6031,13,46,100,5.0,0.25,10,tt_type1
breast,6,8,,,,0.9529411764705882,21631,15,42,100,5.0,0.25,10,tt_type1
breast,6,8,,,,0.9529411764705882,21631,11,43,100,5.0,0.25,10,tt_type1
breast,6,8,,,,0.9529411764705882,21631,11,44,100,5.0,0.25,10,tt_type1
breast,6,8,,,,0.9647058823529412,21631,16,45,100,5.0,0.25,10,tt_type1
breast,6,8,,,,0.9529411764705882,21631,15,46,100,5.0,0.25,10,tt_type1
breast,6,12,,,,0.9529411764705882,46831,12,42,100,5.0,0.25,10,tt_type1
breast,6,12,,,,0.9529411764705882,46831,11,43,100,5.0,0.25,10,tt_type1
breast,6,12,,,,0.9529411764705882,46831,14,44,100,5.0,0.25,10,tt_type1
breast,6,12,,,,0.9529411764705882,46831,13,45,100,5.0,0.25,10,tt_type1
breast,6,12,,,,0.9411764705882353,46831,12,46,100,5.0,0.25,10,tt_type1
breast,6,16,,,,0.9647058823529412,81631,21,42,100,5.0,0.25,10,tt_type1
breast,6,16,,,,0.9764705882352941,81631,11,43,100,5.0,0.25,10,tt_type1
breast,6,16,,,,0.9529411764705882,81631,12,44,100,5.0,0.25,10,tt_type1
breast,6,16,,,,0.9529411764705882,81631,11,45,100,5.0,0.25,10,tt_type1
breast,6,16,,,,0.9529411764705882,81631,14,46,100,5.0,0.25,10,tt_type1
