dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
car_evaluation,2,4,,,,0.9498069498069498,516,22,2582264110,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9459459459459459,516,18,1011906602,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9575289575289575,516,30,1729841207,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9613899613899614,516,30,3653141251,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9536679536679536,516,22,826749499,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9536679536679536,516,23,1399498030,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9536679536679536,516,25,358916519,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9575289575289575,516,27,328531638,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9536679536679536,516,26,787755760,100,5.0,0.25,10,cpd_type1
car_evaluation,2,4,,,,0.9536679536679536,516,28,4192420569,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9652509652509652,948,25,2582264110,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9382239382239382,948,16,1011906602,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9420849420849421,948,16,1729841207,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9845559845559846,948,23,3653141251,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9806949806949807,948,26,826749499,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9768339768339769,948,23,1399498030,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9652509652509652,948,26,358916519,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9382239382239382,948,16,328531638,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9459459459459459,948,17,787755760,100,5.0,0.25,10,cpd_type1
car_evaluation,2,8,,,,0.9652509652509652,948,23,4192420569,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9691119691119691,1380,24,2582264110,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9498069498069498,1380,16,1011906602,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.972972972972973,1380,22,1729841207,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9613899613899614,1380,22,3653141251,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9420849420849421,1380,17,826749499,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9459459459459459,1380,16,1399498030,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9420849420849421,1380,20,358916519,100,5.0,0.25,10,cpd_type1
car_evaluation,2,12,,,,0.9459459459459459,1380,16,328531638,100,5.0,0.25,10,cpd_type1
