dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
car_evaluation,16,1,,,0.9111969111969112,548,42,mlp,28
car_evaluation,16,1,,,0.9343629343629344,548,43,mlp,28
car_evaluation,16,1,,,0.9382239382239382,548,44,mlp,28
car_evaluation,16,1,,,0.9420849420849421,548,45,mlp,28
car_evaluation,16,1,,,0.9266409266409267,548,46,mlp,28
car_evaluation,64,1,,,0.9691119691119691,2180,42,mlp,28
car_evaluation,64,1,,,0.9691119691119691,2180,43,mlp,28
car_evaluation,64,1,,,0.972972972972973,2180,44,mlp,28
car_evaluation,64,1,,,0.972972972972973,2180,45,mlp,28
car_evaluation,64,1,,,0.972972972972973,2180,46,mlp,28
car_evaluation,256,1,,,0.9768339768339769,8708,42,mlp,28
car_evaluation,256,1,,,0.9768339768339769,8708,43,mlp,28
car_evaluation,256,1,,,0.9768339768339769,8708,44,mlp,28
car_evaluation,256,1,,,0.972972972972973,8708,45,mlp,28
car_evaluation,256,1,,,0.9806949806949807,8708,46,mlp,28
car_evaluation,16,3,,,0.9652509652509652,1156,42,mlp,28
car_evaluation,16,3,,,0.9806949806949807,1156,43,mlp,28
car_evaluation,16,3,,,0.9652509652509652,1156,44,mlp,28
car_evaluation,16,3,,,0.972972972972973,1156,45,mlp,28
car_evaluation,16,3,,,0.9652509652509652,1156,46,mlp,28
car_evaluation,64,3,,,0.9768339768339769,10756,42,mlp,28
car_evaluation,64,3,,,0.9768339768339769,10756,43,mlp,28
car_evaluation,64,3,,,0.9768339768339769,10756,44,mlp,28
car_evaluation,64,3,,,0.9691119691119691,10756,45,mlp,28
car_evaluation,64,3,,,0.9806949806949807,10756,46,mlp,28
car_evaluation,256,3,,,0.9845559845559846,141316,42,mlp,28
car_evaluation,256,3,,,0.9768339768339769,141316,43,mlp,28
car_evaluation,256,3,,,0.9806949806949807,141316,44,mlp,28
car_evaluation,256,3,,,0.9884169884169884,141316,45,mlp,28
car_evaluation,256,3,,,0.9845559845559846,141316,46,mlp,28
car_evaluation,16,5,,,0.9768339768339769,1764,42,mlp,28
car_evaluation,16,5,,,0.9691119691119691,1764,43,mlp,28
car_evaluation,16,5,,,0.9691119691119691,1764,44,mlp,28
car_evaluation,16,5,,,0.9806949806949807,1764,45,mlp,28
car_evaluation,16,5,,,0.972972972972973,1764,46,mlp,28
car_evaluation,64,5,,,0.9613899613899614,19332,42,mlp,28
car_evaluation,64,5,,,0.9613899613899614,19332,43,mlp,28
car_evaluation,64,5,,,0.9768339768339769,19332,44,mlp,28
car_evaluation,64,5,,,0.9768339768339769,19332,45,mlp,28
car_evaluation,64,5,,,0.9806949806949807,19332,46,mlp,28
car_evaluation,256,5,,,0.9922779922779923,273924,42,mlp,28
car_evaluation,256,5,,,0.972972972972973,273924,43,mlp,28
car_evaluation,256,5,,,0.9806949806949807,273924,44,mlp,28
car_evaluation,256,5,,,0.9961389961389961,273924,45,mlp,28
car_evaluation,256,5,,,0.9884169884169884,273924,46,mlp,28
