dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
car_evaluation,2,4,,,,0.9961389961389961,448,23,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,4,,,,0.9806949806949807,448,22,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,4,,,,0.9806949806949807,448,24,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,4,,,,0.9845559845559846,448,21,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,4,,,,0.9845559845559846,448,23,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,8,,,,0.9768339768339769,896,19,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,8,,,,0.9884169884169884,896,25,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,8,,,,0.9806949806949807,896,20,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,8,,,,0.9806949806949807,896,20,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,8,,,,0.9806949806949807,896,19,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,12,,,,0.9768339768339769,1344,19,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,12,,,,0.9768339768339769,1344,19,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,12,,,,0.9768339768339769,1344,19,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,12,,,,0.9768339768339769,1344,19,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,12,,,,0.9768339768339769,1344,19,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,16,,,,0.9768339768339769,1792,19,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,16,,,,0.9768339768339769,1792,19,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,16,,,,0.9768339768339769,1792,19,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,16,,,,0.9768339768339769,1792,19,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,2,16,,,,0.9768339768339769,1792,19,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,4,,,,0.9806949806949807,896,30,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,4,,,,0.972972972972973,896,24,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,4,,,,0.9922779922779923,896,28,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,4,,,,0.9845559845559846,896,29,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,4,,,,1.0,896,29,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,8,,,,0.9768339768339769,2688,20,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,8,,,,0.9806949806949807,2688,19,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,8,,,,0.9884169884169884,2688,23,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,8,,,,0.9884169884169884,2688,20,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,8,,,,0.9845559845559846,2688,19,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,12,,,,0.9845559845559846,5376,19,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,12,,,,0.9806949806949807,5376,18,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,12,,,,0.9845559845559846,5376,18,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,12,,,,0.9806949806949807,5376,18,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,12,,,,0.9845559845559846,5376,19,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,16,,,,0.9884169884169884,8960,18,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,16,,,,0.9845559845559846,8960,18,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,16,,,,0.9845559845559846,8960,18,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,16,,,,0.9806949806949807,8960,19,45,100,5.0,0.25,10,tt_cumsum
car_evaluation,3,16,,,,0.9845559845559846,8960,18,46,100,5.0,0.25,10,tt_cumsum
car_evaluation,4,4,,,,0.9884169884169884,1344,30,42,100,5.0,0.25,10,tt_cumsum
car_evaluation,4,4,,,,0.9922779922779923,1344,33,43,100,5.0,0.25,10,tt_cumsum
car_evaluation,4,4,,,,0.9922779922779923,1344,31,44,100,5.0,0.25,10,tt_cumsum
car_evaluation,4,4,,,,0.9922779922779923,1344,37,45,100,5.0,0.25,10,tt_cumsum
