dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
car_evaluation,2,4,0.25,,,0.9768339768339769,516,37,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.25,,,0.9652509652509652,516,26,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.25,,,0.9845559845559846,516,32,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.25,,,0.9691119691119691,516,24,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.25,,,0.9768339768339769,516,28,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.5,,,0.9845559845559846,516,37,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.5,,,0.9691119691119691,516,26,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.5,,,0.9691119691119691,516,33,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.5,,,0.9845559845559846,516,28,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.5,,,0.9845559845559846,516,26,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.75,,,0.9922779922779923,516,29,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.75,,,0.9884169884169884,516,34,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.75,,,0.9806949806949807,516,37,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.75,,,0.9806949806949807,516,33,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,4,0.75,,,0.9845559845559846,516,35,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.25,,,0.972972972972973,948,27,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.25,,,0.9845559845559846,948,35,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.25,,,0.9806949806949807,948,28,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.25,,,0.9884169884169884,948,30,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.25,,,0.9884169884169884,948,33,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.5,,,0.972972972972973,948,22,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.5,,,0.9845559845559846,948,34,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.5,,,0.9768339768339769,948,24,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.5,,,0.9806949806949807,948,33,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.5,,,0.9845559845559846,948,28,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.75,,,0.9806949806949807,948,33,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.75,,,0.9884169884169884,948,29,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.75,,,0.9806949806949807,948,24,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.75,,,0.9845559845559846,948,31,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,8,0.75,,,0.9768339768339769,948,27,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.25,,,0.9806949806949807,1380,24,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.25,,,0.9806949806949807,1380,24,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.25,,,0.9806949806949807,1380,27,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.25,,,0.9806949806949807,1380,24,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.25,,,0.972972972972973,1380,24,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.5,,,0.972972972972973,1380,24,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.5,,,0.9806949806949807,1380,24,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.5,,,0.9806949806949807,1380,24,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.5,,,0.9806949806949807,1380,24,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.5,,,0.9845559845559846,1380,27,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.75,,,0.9806949806949807,1380,24,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.75,,,0.9768339768339769,1380,24,43,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.75,,,0.9768339768339769,1380,24,44,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.75,,,0.9806949806949807,1380,31,45,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,12,0.75,,,0.9806949806949807,1380,24,46,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,16,0.25,,,0.9768339768339769,1812,27,42,100,5.0,0.25,10,tt_lin_type1
car_evaluation,2,16,0.25,,,0.972972972972973,1812,20,43,100,5.0,0.25,10,tt_lin_type1
