dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,8.104331941916147,0.7722578601604673,,72,27,2582264110,100,5.0,0.25,10,cpd
concrete,2,4,,8.185991513913022,0.7676452605047251,,72,19,1011906602,100,5.0,0.25,10,cpd
concrete,2,4,,8.100390574344344,0.7724793212810466,,72,28,1729841207,100,5.0,0.25,10,cpd
concrete,2,4,,8.129057626357188,0.7708660933085371,,72,20,3653141251,100,5.0,0.25,10,cpd
concrete,2,4,,8.105241320371016,0.7722067478871377,,72,21,826749499,100,5.0,0.25,10,cpd
concrete,2,4,,8.23487154710858,0.7648621117013543,,72,28,1399498030,100,5.0,0.25,10,cpd
concrete,2,4,,8.021476890270872,0.7768907231282326,,72,20,358916519,100,5.0,0.25,10,cpd
concrete,2,4,,7.973027315126361,0.7795777357770308,,72,20,328531638,100,5.0,0.25,10,cpd
concrete,2,4,,8.212328282563496,0.7661477468338116,,72,28,787755760,100,5.0,0.25,10,cpd
concrete,2,4,,8.165549504495003,0.7688042812981426,,72,18,4192420569,100,5.0,0.25,10,cpd
concrete,2,8,,8.101863913311375,0.7723965485890458,,144,23,2582264110,100,5.0,0.25,10,cpd
concrete,2,8,,8.093980680235857,0.7728392561336515,,144,19,1011906602,100,5.0,0.25,10,cpd
concrete,2,8,,8.089560031137845,0.773087322875653,,144,19,1729841207,100,5.0,0.25,10,cpd
concrete,2,8,,8.095184292157771,0.7727716914286636,,144,21,3653141251,100,5.0,0.25,10,cpd
concrete,2,8,,8.101863913323454,0.7723965485883673,,144,24,826749499,100,5.0,0.25,10,cpd
concrete,2,8,,8.025728616699014,0.7766541454952014,,144,20,1399498030,100,5.0,0.25,10,cpd
concrete,2,8,,8.101763064570644,0.7724022147860712,,144,21,358916519,100,5.0,0.25,10,cpd
concrete,2,8,,8.101863913301084,0.7723965485896241,,144,24,328531638,100,5.0,0.25,10,cpd
concrete,2,8,,8.08700164899255,0.7732308257463036,,144,18,787755760,100,5.0,0.25,10,cpd
concrete,2,8,,8.100975859249079,0.772446441575217,,144,21,4192420569,100,5.0,0.25,10,cpd
concrete,2,12,,8.098188686107733,0.7726029960625758,,216,20,2582264110,100,5.0,0.25,10,cpd
concrete,2,12,,8.072302490170776,0.7740544404526714,,216,18,1011906602,100,5.0,0.25,10,cpd
concrete,2,12,,8.087305148522361,0.7732138044491124,,216,17,1729841207,100,5.0,0.25,10,cpd
concrete,2,12,,8.079350952850826,0.7736596920807235,,216,17,3653141251,100,5.0,0.25,10,cpd
concrete,2,12,,8.044391798938847,0.7756141923250488,,216,18,826749499,100,5.0,0.25,10,cpd
concrete,2,12,,8.101352708248623,0.7724252699714738,,216,20,1399498030,100,5.0,0.25,10,cpd
concrete,2,12,,8.067592500205746,0.7743180308847094,,216,17,358916519,100,5.0,0.25,10,cpd
concrete,2,12,,8.04511406880139,0.7755738973254624,,216,17,328531638,100,5.0,0.25,10,cpd
