dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,9.247189734711677,0.7034974091866062,,73,57,2582264110,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.362239721544583,0.6960735694658627,,73,55,1011906602,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.326905742666943,0.6983633346345307,,73,55,1729841207,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.325130145637011,0.6984781710446473,,73,55,3653141251,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.347935051503079,0.6970016050827039,,73,55,826749499,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.279709570995543,0.7014083052522471,,73,54,1399498030,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.265579496536848,0.7023169351290214,,73,54,358916519,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.340169508430195,0.6975048113523995,,73,55,328531638,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.356713487153158,0.6964322599170041,,73,55,787755760,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.384469144761844,0.6946285883064924,,73,55,4192420569,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.390756059399072,0.6942192977975554,,137,55,2582264110,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.392335060368437,0.6941164586620273,,137,55,1011906602,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.312196833526622,0.6993139709896118,,137,57,1729841207,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.391176349501366,0.6941919263105905,,137,54,3653141251,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.401847231387181,0.6934965723593429,,137,55,1399498030,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.39875091175324,0.6936984212693715,,137,55,358916519,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.397692423816894,0.6937674087917287,,137,55,328531638,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.397122894822138,0.6938045249362303,,137,55,787755760,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.449769901238573,0.690364018321444,,201,54,2582264110,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.444999592542983,0.6906765521537992,,201,54,1011906602,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.449740104785814,0.6903659709699108,,201,54,1729841207,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.448354656683835,0.6904567566266724,,201,54,3653141251,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.625420933620935,0.6787460937244003,,201,53,826749499,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.450412446752987,0.6903219089415805,,201,54,1399498030,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.449018039008298,0.6904132881641576,,201,54,358916519,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.443922477677228,0.6907470990887918,,201,54,328531638,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.449611470154203,0.6903744007018879,,201,54,787755760,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.62421152896056,0.6788268177915435,,201,53,4192420569,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.656632751193962,0.6766592914428231,,265,53,2582264110,100,5.0,0.25,10,cpd_type1
