dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,1,4,,9.299851449585383,0.7001106946723783,,168,65,2582264110,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,8.614645188954878,0.742673955024067,,168,78,1011906602,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,8.576388927623434,0.7449543678920876,,168,78,1729841207,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.2059267306157,0.7061376255664136,,168,78,3653141251,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.060010681579614,0.7153793705894527,,168,69,826749499,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,8.48728906966517,0.7502261641089363,,168,105,1399498030,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.258001965540464,0.7028036354542704,,168,83,358916519,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.109878885511183,0.7122375240400365,,168,74,328531638,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.168422492080227,0.7085270938694048,,168,75,787755760,100,5.0,0.25,10,tnml_polynomial
concrete,1,4,,9.117437830471726,0.7117597826395897,,168,66,4192420569,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.5462137624533,0.7467459156541134,,424,77,2582264110,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.534122009572698,0.7474620501964817,,424,77,1011906602,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.474086220864532,0.7510026573300079,,424,77,1729841207,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.50830455382321,0.7489876963833579,,424,77,3653141251,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.47795455461604,0.7507752759590482,,424,77,826749499,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.524666668273909,0.7480213367193554,,424,77,1399498030,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.529620307176891,0.7477284046852375,,424,77,358916519,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.549272526963733,0.746564599517427,,424,77,328531638,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.474893011375435,0.7509552425997224,,424,77,787755760,100,5.0,0.25,10,tnml_polynomial
concrete,1,8,,8.527532012098883,0.7478519161715278,,424,77,4192420569,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.56470408615961,0.7456488647596902,,552,77,2582264110,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.55615804902796,0.746156205059149,,552,77,1011906602,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.55517228371789,0.7462146929905596,,552,77,1729841207,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.55644386037251,0.74613924589414,,552,77,3653141251,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.564952777752133,0.7456340934595711,,552,77,826749499,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.55537522268864,0.7462026526626403,,552,77,1399498030,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.56025697360482,0.7459129333027719,,552,77,358916519,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.524037190718698,0.748058548510241,,552,84,328531638,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.56840294364824,0.7454291229574299,,552,77,787755760,100,5.0,0.25,10,tnml_polynomial
concrete,1,12,,8.555932250707174,0.7461696028355813,,552,77,4192420569,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.576974701652997,0.7449195270724978,,680,77,2582264110,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.579707561927048,0.7447569498531599,,680,77,1011906602,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.558106455607593,0.7460405813805073,,680,77,1729841207,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.581573484022345,0.7446459168295718,,680,77,3653141251,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.579294782840352,0.7447815093053083,,680,77,826749499,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.564560273445405,0.7456574064721996,,680,77,1399498030,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.560207690797577,0.7459158589364119,,680,77,358916519,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.57596455186294,0.7449796075371551,,680,77,328531638,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.582196254890569,0.7446088530312531,,680,77,787755760,100,5.0,0.25,10,tnml_polynomial
concrete,1,16,,8.55390956272743,0.7462896035532168,,680,77,4192420569,100,5.0,0.25,10,tnml_polynomial
concrete,2,4,,8.204793502071361,0.766576667112871,,282,82,2582264110,100,5.0,0.25,10,tnml_polynomial
concrete,2,4,,6.754986230304539,0.8417812709882174,,282,93,1011906602,100,5.0,0.25,10,tnml_polynomial
concrete,2,4,,7.719863650445445,0.7933534234034118,,282,107,1729841207,100,5.0,0.25,10,tnml_polynomial
concrete,2,4,,6.954610250080051,0.8322917033824854,,282,90,3653141251,100,5.0,0.25,10,tnml_polynomial
