dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,,4,,28.66744764883884,-1.8496204020925138,,168,50,2582264110,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.34882567698131,-1.9866918211411586,,168,43,1011906602,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,30.781877379393425,-2.2854825353643893,,168,52,1729841207,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.55119391714865,-2.028021949071658,,168,43,3653141251,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.02532641740618,-1.921212701515162,,168,43,826749499,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.63941619840864,-2.046128680316291,,168,43,1399498030,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.37138555031388,-1.9912852100913914,,168,41,358916519,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,30.1619478066523,-2.1544796023812416,,168,43,328531638,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,28.380861776974502,-1.7929303950371103,,168,51,787755760,100,5.0,0.25,10,tnml_sin-cos
concrete,,4,,29.520265435446433,-2.0216869689532406,,168,43,4192420569,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.05045181643391,-1.926272310570996,,424,35,2582264110,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.26520891947945,-1.969697497134637,,424,35,1011906602,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.290009858338443,-1.9747329981162398,,424,35,1729841207,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.112862384052622,-1.9388591366952235,,424,35,3653141251,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.219503299950688,-1.960428752592425,,424,35,826749499,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.244084062834762,-1.9654117398107585,,424,35,1399498030,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.07014554060382,-1.930241180585921,,424,35,358916519,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.16098153022998,-1.94858214226055,,424,36,328531638,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.0303440936607,-1.9222227825975544,,424,35,787755760,100,5.0,0.25,10,tnml_sin-cos
concrete,,8,,29.100054059983464,-1.9362737791048912,,424,36,4192420569,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.798947889238132,-2.0790079961052026,,552,38,2582264110,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.810765993501537,-2.081450716788644,,552,38,1011906602,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.79669948076053,-2.078543375237879,,552,38,1729841207,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.8146809692666,-2.0822601288671696,,552,38,3653141251,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.797146111034078,-2.0786356660619405,,552,38,826749499,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.814035567381676,-2.0821266862207244,,552,38,1399498030,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.80187363312408,-2.079612636986301,,552,38,358916519,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.830313170687685,-2.0854931094619227,,552,38,328531638,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.811951278783564,-2.081695760528408,,552,38,787755760,100,5.0,0.25,10,tnml_sin-cos
concrete,,12,,29.820838191419725,-2.083533335179046,,552,38,4192420569,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.793427291771977,-2.077867258568381,,680,38,2582264110,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.793072578711385,-2.077793970375949,,680,38,1011906602,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.793800129178052,-2.077944292419768,,680,38,1729841207,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.790768391142052,-2.0773179174042835,,680,38,3653141251,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.792068301463736,-2.077586478761677,,680,38,826749499,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.793755688499434,-2.077935110252304,,680,38,1399498030,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.79046731229527,-2.077255716212579,,680,38,358916519,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.793235226794895,-2.077827575413217,,680,38,328531638,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.79314917118671,-2.0778097952735743,,680,38,787755760,100,5.0,0.25,10,tnml_sin-cos
concrete,,16,,29.79131517870333,-2.077430882238157,,680,38,4192420569,100,5.0,0.25,10,tnml_sin-cos
