dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,8.031593930626647,0.7763275777044295,,72,18,42,100,5.0,0.25,10,tt_cumsum
concrete,2,4,,8.033351137768618,0.7762296938280351,,72,20,43,100,5.0,0.25,10,tt_cumsum
concrete,2,4,,7.962863675383503,0.7801393454358718,,72,22,44,100,5.0,0.25,10,tt_cumsum
concrete,2,4,,8.072350669923452,0.7740517433204276,,72,23,45,100,5.0,0.25,10,tt_cumsum
concrete,2,4,,8.033704199988117,0.7762100241843922,,72,18,46,100,5.0,0.25,10,tt_cumsum
concrete,2,8,,8.030354761848411,0.7763965917763521,,144,18,42,100,5.0,0.25,10,tt_cumsum
concrete,2,8,,8.029206042392968,0.7764605588666171,,144,18,43,100,5.0,0.25,10,tt_cumsum
concrete,2,8,,8.02227350697411,0.7768464067499925,,144,18,44,100,5.0,0.25,10,tt_cumsum
concrete,2,8,,8.033977473854582,0.7761947990801107,,144,18,45,100,5.0,0.25,10,tt_cumsum
concrete,2,8,,8.032127829717231,0.7762978395296541,,144,18,46,100,5.0,0.25,10,tt_cumsum
concrete,2,12,,7.9968977305366336,0.7782559173251726,,216,18,42,100,5.0,0.25,10,tt_cumsum
concrete,2,12,,8.04201785719576,0.7757466076152446,,216,16,43,100,5.0,0.25,10,tt_cumsum
concrete,2,12,,7.999203972976507,0.7781280003821962,,216,18,44,100,5.0,0.25,10,tt_cumsum
concrete,2,12,,7.9937179081778025,0.778432227346702,,216,18,45,100,5.0,0.25,10,tt_cumsum
concrete,2,12,,7.995919520958197,0.778310163090518,,216,18,46,100,5.0,0.25,10,tt_cumsum
concrete,2,16,,7.98370155671705,0.7789871406638657,,288,18,42,100,5.0,0.25,10,tt_cumsum
concrete,2,16,,7.999947891631327,0.7780867306771044,,288,18,43,100,5.0,0.25,10,tt_cumsum
concrete,2,16,,8.013481747203326,0.7773352551378356,,288,18,44,100,5.0,0.25,10,tt_cumsum
concrete,2,16,,8.02825380789059,0.7765135776445735,,288,18,45,100,5.0,0.25,10,tt_cumsum
concrete,2,16,,8.011229588542244,0.7774603957147947,,288,16,46,100,5.0,0.25,10,tt_cumsum
concrete,3,4,,6.305333908956791,0.8621441704860112,,216,51,42,100,5.0,0.25,10,tt_cumsum
concrete,3,4,,6.05866294177712,0.8727193044522266,,216,49,43,100,5.0,0.25,10,tt_cumsum
concrete,3,4,,5.635959458267965,0.8898601004399882,,216,51,44,100,5.0,0.25,10,tt_cumsum
concrete,3,4,,6.15492076749872,0.8686427981675379,,216,53,45,100,5.0,0.25,10,tt_cumsum
concrete,3,4,,6.444678111143431,0.8559837770012599,,216,32,46,100,5.0,0.25,10,tt_cumsum
concrete,3,8,,5.498630901613863,0.8951621533207385,,720,45,42,100,5.0,0.25,10,tt_cumsum
concrete,3,8,,5.470458265784211,0.8962336899059027,,720,49,43,100,5.0,0.25,10,tt_cumsum
concrete,3,8,,5.435378052724106,0.8975602598488462,,720,49,44,100,5.0,0.25,10,tt_cumsum
concrete,3,8,,5.440544692866466,0.897365417532828,,720,49,45,100,5.0,0.25,10,tt_cumsum
concrete,3,8,,5.466249924225595,0.896393280231498,,720,49,46,100,5.0,0.25,10,tt_cumsum
concrete,3,12,,5.450118689588792,0.8970038773573324,,1512,45,42,100,5.0,0.25,10,tt_cumsum
concrete,3,12,,5.449921194298284,0.8970113417381173,,1512,49,43,100,5.0,0.25,10,tt_cumsum
concrete,3,12,,5.449684095321597,0.8970203025922103,,1512,49,44,100,5.0,0.25,10,tt_cumsum
concrete,3,12,,5.450379495412264,0.8969940197256636,,1512,45,45,100,5.0,0.25,10,tt_cumsum
concrete,3,12,,5.4495465071048805,0.8970255023850118,,1512,45,46,100,5.0,0.25,10,tt_cumsum
concrete,3,16,,5.452286923074234,0.8969219106785886,,2592,45,42,100,5.0,0.25,10,tt_cumsum
concrete,3,16,,5.449702967847042,0.8970195893434089,,2592,45,43,100,5.0,0.25,10,tt_cumsum
concrete,3,16,,5.449197409423858,0.8970386950449355,,2592,41,44,100,5.0,0.25,10,tt_cumsum
concrete,3,16,,5.449357255212326,0.8970326544590941,,2592,49,45,100,5.0,0.25,10,tt_cumsum
concrete,3,16,,5.449619613392107,0.8970227395372464,,2592,45,46,100,5.0,0.25,10,tt_cumsum
concrete,4,4,,5.352321161932779,0.9006670609724907,,360,53,42,100,5.0,0.25,10,tt_cumsum
concrete,4,4,,4.863062533550579,0.9179972034164042,,360,72,43,100,5.0,0.25,10,tt_cumsum
concrete,4,4,,4.89066315062713,0.9170637378886175,,360,41,44,100,5.0,0.25,10,tt_cumsum
concrete,4,4,,6.041936902121324,0.8734210973630656,,360,42,45,100,5.0,0.25,10,tt_cumsum
concrete,4,4,,5.41348751907705,0.8983837333570384,,360,54,46,100,5.0,0.25,10,tt_cumsum
concrete,4,8,,4.444267369905229,0.9315128155795686,,1296,34,42,100,5.0,0.25,10,tt_cumsum
concrete,4,8,,4.9143328094904675,0.9162590112588136,,1296,36,43,100,5.0,0.25,10,tt_cumsum
concrete,4,8,,4.568306854137068,0.9276365121855207,,1296,36,44,100,5.0,0.25,10,tt_cumsum
concrete,4,8,,4.535778972223481,0.9286633481784,,1296,35,45,100,5.0,0.25,10,tt_cumsum
concrete,4,8,,4.926936441891308,0.9158289247720438,,1296,34,46,100,5.0,0.25,10,tt_cumsum
concrete,4,12,,4.9443233968185245,0.9152338040570352,,2808,34,42,100,5.0,0.25,10,tt_cumsum
concrete,4,12,,4.999574656303809,0.913328747818064,,2808,34,43,100,5.0,0.25,10,tt_cumsum
concrete,4,12,,4.995224586914269,0.9134795054181059,,2808,36,44,100,5.0,0.25,10,tt_cumsum
concrete,4,12,,4.680991943166414,0.9240225448995479,,2808,34,45,100,5.0,0.25,10,tt_cumsum
concrete,4,12,,4.545936964293776,0.9283434699084929,,2808,36,46,100,5.0,0.25,10,tt_cumsum
concrete,4,16,,4.889938738496236,0.9170883053482619,,4896,36,42,100,5.0,0.25,10,tt_cumsum
concrete,4,16,,4.62251442688714,0.9259089915738079,,4896,39,43,100,5.0,0.25,10,tt_cumsum
concrete,4,16,,5.290129591136779,0.9029620580170615,,4896,30,44,100,5.0,0.25,10,tt_cumsum
concrete,4,16,,5.206260258149551,0.9060145328853073,,4896,30,45,100,5.0,0.25,10,tt_cumsum
concrete,4,16,,5.108352122021437,0.9095162467061784,,4896,35,46,100,5.0,0.25,10,tt_cumsum
concrete,5,4,,4.4725626511708025,0.9306379658567762,,504,56,42,100,5.0,0.25,10,tt_cumsum
concrete,5,4,,4.866852054325526,0.9178693529621167,,504,59,43,100,5.0,0.25,10,tt_cumsum
concrete,5,4,,5.221706068440762,0.9054560379078667,,504,72,44,100,5.0,0.25,10,tt_cumsum
concrete,5,4,,5.052632210285664,0.9114794042662417,,504,56,45,100,5.0,0.25,10,tt_cumsum
concrete,5,4,,5.218822642119172,0.9055604234391444,,504,65,46,100,5.0,0.25,10,tt_cumsum
concrete,5,8,,4.572779894363693,0.9274947339426672,,1872,41,42,100,5.0,0.25,10,tt_cumsum
concrete,5,8,,4.2987638520860925,0.9359238909444807,,1872,44,43,100,5.0,0.25,10,tt_cumsum
concrete,5,8,,4.541054954755383,0.9284972951907839,,1872,43,44,100,5.0,0.25,10,tt_cumsum
concrete,5,8,,5.174506808053597,0.9071574883824994,,1872,46,45,100,5.0,0.25,10,tt_cumsum
concrete,5,8,,4.102591863178844,0.941638615778089,,1872,54,46,100,5.0,0.25,10,tt_cumsum
concrete,5,12,,4.2726965189651,0.9366986387929197,,4104,43,42,100,5.0,0.25,10,tt_cumsum
concrete,5,12,,4.97854007405037,0.9140565131103746,,4104,40,43,100,5.0,0.25,10,tt_cumsum
concrete,5,12,,4.531026461781266,0.9288127604715688,,4104,42,44,100,5.0,0.25,10,tt_cumsum
concrete,5,12,,4.336375587219507,0.9347977268429961,,4104,42,45,100,5.0,0.25,10,tt_cumsum
concrete,5,12,,4.253722651356255,0.9372595982842431,,4104,44,46,100,5.0,0.25,10,tt_cumsum
concrete,5,16,,4.601056691415852,0.9265952567207225,,7200,42,42,100,5.0,0.25,10,tt_cumsum
concrete,5,16,,4.788635307087601,0.9204880358256048,,7200,44,43,100,5.0,0.25,10,tt_cumsum
concrete,5,16,,4.599102696807433,0.9266575911040993,,7200,49,44,100,5.0,0.25,10,tt_cumsum
concrete,5,16,,4.231951804524387,0.9379001742560963,,7200,41,45,100,5.0,0.25,10,tt_cumsum
concrete,5,16,,4.396145086218493,0.9329879368051363,,7200,44,46,100,5.0,0.25,10,tt_cumsum
concrete,6,4,,37.11024599598237,-3.7752555908085013,,648,12,42,100,5.0,0.25,10,tt_cumsum
concrete,6,4,,5.190865787556059,0.9065695252683249,,648,74,43,100,5.0,0.25,10,tt_cumsum
