dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,8,,9.276911558683622,0.7015883404737312,,777,124,2582264110,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.338857331512326,0.6975897989583095,,777,124,1011906602,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.258297105979475,0.7027846862114466,,777,124,1729841207,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.295156358589335,0.700413420401699,,777,124,3653141251,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.348260578813624,0.6969805018188395,,777,124,826749499,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.290827227198728,0.7006924146638469,,777,124,1399498030,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.264128538172466,0.7024101601483561,,777,124,358916519,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.276412104134662,0.701620471651817,,777,126,328531638,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.266221955518906,0.7022756520577693,,777,126,787755760,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,8,,9.34365032338462,0.6972793066709708,,777,124,4192420569,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.421851261524568,0.6921909084086616,,1545,116,2582264110,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.461056714429061,0.689623917638162,,1545,116,1011906602,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.391124887390042,0.694195277857921,,1545,124,1729841207,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.386510298832906,0.694495735211323,,1545,124,3653141251,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.429938172042592,0.6916622876992387,,1545,116,826749499,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.308811916136627,0.6995325257314544,,1545,124,1399498030,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.438349238350341,0.6911119965915073,,1545,121,358916519,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.343873047093918,0.6972648746498774,,1545,124,328531638,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.43836097207002,0.6911112285742608,,1545,124,787755760,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,12,,9.337168334511036,0.6976991750235927,,1545,124,4192420569,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.461013987086114,0.6896267210280514,,2569,116,2582264110,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.51646164008303,0.6859780848036081,,2569,116,1011906602,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.473883641082063,0.6887817558964373,,2569,116,1729841207,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.457665648035842,0.6898463700158236,,2569,116,3653141251,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.58447016352047,0.6814737895020129,,2569,119,826749499,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.505087625588088,0.686728270223292,,2569,116,1399498030,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.583620049487159,0.6815302916535251,,2569,116,358916519,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.48188456489329,0.6882558712643596,,2569,116,328531638,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.521755551051047,0.6856286132220066,,2569,116,787755760,100,5.0,0.25,10,tt_cumsum_type1
concrete,3,16,,9.4358774742493,0.6912737618079311,,2569,116,4192420569,100,5.0,0.25,10,tt_cumsum_type1
concrete,4,8,,11.621479156310095,0.5316917910751007,,1929,75,2582264110,100,5.0,0.25,10,tt_cumsum_type1
concrete,4,8,,10.755687372580493,0.5988698590169453,,1929,73,1011906602,100,5.0,0.25,10,tt_cumsum_type1
concrete,4,8,,9.428977183640146,0.6917251288042362,,1929,108,1729841207,100,5.0,0.25,10,tt_cumsum_type1
concrete,4,8,,13.651886739243228,0.3537592967353048,,1929,55,3653141251,100,5.0,0.25,10,tt_cumsum_type1
concrete,4,8,,14.036359123673169,0.3168471291334496,,1929,56,826749499,100,5.0,0.25,10,tt_cumsum_type1
